Billy Sunshine,2023-01-10T14:55:27Z,"It's too bad blk ppl always claim they quit things because they see no one who looks like them doing it. The culture needs more individuality. In terms of the European sport of cycling, its not rocket science as to why its not appealed to a culture that lacks individuality.",0
mrmotomoto,2023-01-01T05:19:24Z,"It’s amazing just how much positivity they bring out of most people. I mean, just read these comments. It’s so unusual to find a comment section on the internet so positive.",0
Mike Fowler,2022-12-16T01:40:24Z,"Really enjoyed the video, fun to see guys and girls who love each other and love racing their bikes.",0
Luca Bodareu,2022-11-19T19:30:39Z,this is not pro cycling this is the new era of free and encouraging criterium style racing,0
Rebels of the Light,2022-11-03T19:38:03Z,"LOVE, LOVE, LOVE every single aspect of LEGION and the shake up they have been brave enough to ignite within the sport...AMEN. Nic, Sunshine Coast, AUSTRALIA",0
Tim Taylor,2022-08-24T18:02:08Z,"cycling is no different than thing else, stay relevant and get your worth. and there are many paths and ways to find success especially today. you dont even need to win races to get noticed",0
Tim Taylor,2022-08-24T17:59:17Z,i like ralphs designs but it cost way too much,0
Red,2022-08-17T21:12:49Z,i just get a bunch of white boys that fux with me cuz theres no asian in cycling lol,0
Krob777,2022-08-15T21:39:25Z,Ooh ooh ooh,0
jezzasing,2022-08-05T11:42:05Z,Inspirational stuff.,0
J L T,2022-07-09T16:09:55Z,"Wow, awesome video but that last minute really touched my heart. So proud of you guys...Legion is the truth",0
starblazers01,2022-06-09T16:29:17Z,"There is nothing new that Legion team is introducing. Much like football ⚽,  cycling is already one most diverse sports. Don't let current negative media dictate the temperature of society.",1
Andrew Hall,2022-06-06T22:13:46Z,"The Americans just love boring race formats, going round in circles. Whether it be Nascar or crit racing. I'll stick to the good old fashioned European cycling calendar of the 5 monuments and 3 grand tours. Tradition trumps whatever this is in my book.",2
Cody Newlon,2022-06-06T16:11:04Z,I LOVE THIS! I just got into cycling and this just made my transition into the sport more welcoming,1
O C,2022-06-05T07:10:43Z,Can't wait to race y'all,0
Matthew O. Sloan,2022-06-04T03:28:40Z,Great Doc! Thank you for making this for us and sharing it with us - inspiring! I definitely want to put some hard sessions in my legs to lift my game! Legion - Winning For Life!,0
Vinh Le,2022-05-28T23:44:34Z,Anyone else came here to watch this and anticipating for 2022 years video?,0
Shep Shape,2022-05-27T12:14:50Z,"Yeah, you guys are amazing bike racers, but we all know that what you're doing is way bigger than that.  To remove the elitism that exists in the cycling community, to give poc heroes to look up to, to be inspired by, is what it's all about.  I know it sounds hokey, but it truly is a matter of you have to see it to be it.  Maybe 15 or 20 years from now those two little girls will be racing for the US in the Olympics, or winning grand tours, or maybe they'll be the national crit champions...but even if they just love riding bikes, that will be awesome.  I love it, and hopefully you guys will be in FL some day and you'll organize a big group ride where we can all come out and share some time on the road with you and your amazing team.  Until then, keep inspiring, keep winning, and keep loving.",0
Khalid Bel,2022-04-24T17:53:11Z,"Good to see diversity in cycling, real competition!",0
Steve Dinverno,2022-04-19T12:05:46Z,"Wow! Fantastic film. Feel the passion, feel the emotion. Full of motivation. Love the team. Watched it twice straight over… Amazing.",0
Steve Dinverno,2022-04-19T12:05:13Z,"Wow! Fantastic film. Feel the passion, feel the emotion. Full of motivation. Love the team. Watched it twice straight over… Amazing.",0
Levi Welch,2022-03-30T21:07:58Z,I never thought I fit in with your typical ""cyclers"" justins and cory help me get past that and now I can be myself on my bike and express myself how I want to.,0
Michael Montalvo,2022-03-02T02:35:48Z,Emotions flow out of me every time I watch this video.,0
WilliansBR,2022-02-05T15:57:14Z,Big respect from São Paulo - Brazil,0
starblazers01,2022-01-25T01:32:36Z,Overdramatized 🥶,2
Mic Canyon,2022-01-19T11:12:43Z,Inspiring!! 🙌,0
Ashley Cannon,2022-01-10T17:47:38Z,I was always into bikes. But never thought about getting into it on this level until I found the Williams brothers on YT. So yes I appreciate them form  being one of many black cyclist making it ok for us to be comfortable and confident with cycling.,0
Randy Schanaman,2022-01-10T00:24:34Z,"No place in the English language for the ""F"" word, shows ignorance!!",0
Road Race Junkies,2022-01-01T23:46:32Z,The children of 200 Rebellious fallen angels is un-worthy to be on black cycling team.,0
Cyclingnerd Delux,2021-12-16T09:52:33Z,Keep it up. You are the future of cycling. The future is bright because of forward thinking people like you.,0
Live Your Life,2021-11-07T01:33:29Z,Absolutely Awesome!!,0
Bennett Hasty,2021-11-03T14:19:24Z,I’m not even black myself but still rollin tears 😭 by the end of this - way to go Team 👏,0
paul doherty,2021-10-30T19:38:37Z,"Hi Legion, great wins in tulsa. respect. Part of your reason to ride is to change cycling. Have you guys watched ""thereabouts"" featuring Gus and Lachlann Morton ? They have changed my perspective on cycling and what the joy of cycling does for your psyche, changes you as a person. Check it out guys. I wish ye every success in the future",0
Ryan O'connor,2021-10-26T21:02:11Z,How do I get into this ?! Just start by getting a road bike ?,0
Alan Johnson,2021-10-15T10:44:31Z,The best Rapha Gone Racing film I've seen to date. Keep on winning at life you guys! Greetings from Europe.,0
racerx8410712,2021-10-13T17:12:21Z,No Lachlan Morton?,0
Joanne Johnston,2021-10-10T12:59:27Z,Wow!  So moved and inspired by your awesome team.  Huge well done on your amazing and incredible achievements and being such an inspiration to us all!,2
Franco Buhay,2021-10-08T15:13:11Z,Seeing someone who's discovered his purpose in life and is living it to the fullest is so moving. Tearing up man.,1
Jean-Marin Grillon,2021-10-06T09:50:55Z,To follow the RCC ITL chapterhttps://www.instagram.com/rapha_rccitl/,0
Gasolinewine,2021-10-06T01:29:58Z,"What an awesome video…and team. I hated you guys, now I love you ❤️😊",0
P Rex,2021-10-02T01:34:14Z,This what a team looks like.Who doesn't love the sound of a crisp freewheel? JS,0
PookieNumnums,2021-09-29T22:35:08Z,What a wholesome ending. The way they kept the camera on him kinda reminded me of nardwuar for some reason lol.,0
Matt Trask,2021-09-29T13:29:28Z,"Between them and EF, they are changing the conversation about pro cycling and its awesome.",0
Kevin._.Farren,2021-09-29T13:27:04Z,Ephing amazing!  Keep doing your thing!!!,1
Midwest E-MTB,2021-09-28T15:07:21Z,This racing gets rowdy!!!!,0
J,2021-09-25T10:55:19Z,The Williams brothers are inspirational.,0
bigg bee Perez,2021-09-17T05:13:10Z,Legion is such an inspiration to watch the Williams brothers and the Legion team are really the 🐐 🐐 of cycling. Str8 🔥 🔥 🔥,0
William Hamilton,2021-09-14T16:53:32Z,I am a black 29 year old from Minnesota. I have been so truly inspired by the Williams bros and Legion of Los Angeles. I can’t afford a nice road bike but the road bike I have I feel like I am riding with y’all. Keep doing what y’all are doing. Inspiring young Black youth!,21
Tammo Klaassen,2021-09-14T08:18:31Z,"This team, and this documentary .... WORLD CLASS",0
Joe P,2021-09-14T01:05:47Z,Wow. This was really well made. Not to mention inspiring,0
KoyukonMC,2021-09-12T01:18:32Z,So sick,0
Le Aja,2021-08-27T16:54:14Z,Totally impressed! Thanks Legion for making a lasting difference that will count for the long term. Totally excellent!,0
mycoolcar,2021-08-24T02:12:30Z,Great story.,0
G F,2021-08-23T17:47:06Z,Inspirational stuff for sure. But did you have to us so many cuss words...? I wouldn't show this to my son because of the unnecessary F-bomb and that's a shame that he misses out on being inspired by this...,0
DJ Battle,2021-08-18T19:59:43Z,Much respect to L39ION and those who paved their way. Bike racing is the hardest and most humbling sport out here.  L39ION is holding it down right now!!  Imagine what cycling would be in America if ESPN and other sports networks got with it!?  I mean ESPN be showing curling and corn hole.  But won't show the Superbowl of cycling races.  Yeah very strange.,0
Andy Holak,2021-08-18T19:19:38Z,This is just fucking awesome!  Thank you!,0
Colin Matthews,2021-08-16T20:38:50Z,"Amazing, soul-tingling stuff here.... Beyond inspiring.",0
SleepCycle,2021-08-12T05:48:13Z,This was amazing. Hard not to like what they've done for the sport.,0
Steve Cervantes,2021-08-12T04:15:57Z,This is dope but random thought why are they wearing nose plugs at some points during the video? ha,0
#AkoSi- Bong,2021-08-12T03:37:25Z,nice white bikes !! not a fan of diskbrakes (on roadbikes) though ..,0
Stephen Jones,2021-08-11T22:54:08Z,Just Awesome!,0
Elsworth Anthony,2021-08-11T14:50:38Z,Was absolutely moved by this short film. long time fan of Legion and the William’s brothers,0
GEE,2021-08-09T02:33:02Z,No way Matt Sheldon at 17:06! Not the crossover I ever expected,0
David Wren,2021-08-08T09:32:36Z,"I'm not crying, you're crying.",1
nayr497,2021-08-06T15:31:02Z,"All that cursing in the first 90 seconds. Yowch. No need, I get it.The state of pro cycling in the U.S.? Non-existent on the road. Semi-existent on gravel and mtb. Our infrastructure is too terrible. Why take the chance of getting run over by an angry motorist when you play football and develop CTE over the course of pee wee, high school and college?",0
Brock Middlebrook,2021-08-05T22:46:25Z,Incredible 👊🏻👊🏻👊🏻👊🏻,0
Highnoonshred,2021-08-05T17:42:27Z,Love this team! As someone who is out of the norm with Cerebral Palsy and does 100 plus mile rides I like the spirit of you all!! Much love!!,0
AJ Colaizzi,2021-08-05T17:39:51Z,"These folks are the truth! Couldn't be more stoked and proud of them and their mission. Great people trying to make the world a better place.If you talk trash on them, you're projecting your insecurities and issues onto the world and are the problem. There's enough room for non white males in this sport and Legion is making that happen. You wanna talk trash on them behind a keyboard then we gon come find you!",0
Michael Strasser,2021-08-04T20:15:07Z,Called Instagram Cyclists by instagram nobodies. Love you L39ion. You're what this sport needs. Badly.,0
Tom,2021-08-04T17:56:00Z,This is what happens when you teams mental head space is spot on. Pro teams take note of this.,1
Adam Bradshaw,2021-08-04T01:54:11Z,"This might be one of my favorite videos I've ever watched. What a team, what a mission, and oh how incredible they are at pursuing it!",0
Bobby Technical,2021-08-03T20:54:37Z,17:05 @becomeelite soccer YouTuber. See you bro,1
rapidsk8,2021-08-03T10:51:14Z,thanks Rapha for this. Legion of Los Angeles salute!,1
Robert Moody,2021-08-03T09:49:13Z,Dang had to use my Kleenex 🤜🏾❤️,1
