Volition,2022-12-24T00:21:54Z,I hope this series isn't done. It's been such an insightful view on how this sport is changing and evolving through the lens of some its most interesting and charismatic athletes.,67
Peter Tobey,2023-01-11T01:48:16Z,Almost 72. I don't race. I just mtn bike for fun. My fun ride being the Vermont 50. This video is inspirational. My best to the three EF riders. May their future continue to bring bring them joy in their life and riding. Thank you for sharing.,0
Keith Klotzle,2023-01-09T22:27:02Z,"somehow it makes me, joe-blow-slow-bike-rider, feel like i have this connection to these elite athletes. how is that possible? many thanks for the inspiration and just....humility and honesty expressed by emily, lachlan, and alex.",0
Duker,2023-01-09T19:37:36Z,This is fucking awesome.,0
Kessler O'Brien,2023-01-07T17:10:01Z,WOW! Very well made! Thank You!Would've absolutely eaten up another 3 hours for sure!,0
Wanderings of Alan and Caz,2023-01-07T08:58:49Z,Really enjoyed this.,0
paul dyer,2023-01-06T08:31:39Z,"Pure road biker but loved this, might have to give mountain biking a go?",0
Eddie Jack,2023-01-03T19:49:29Z,Inspirational.,0
Sweden unofficial,2023-01-02T21:45:52Z,"Beautiful shots and great editing but feel cheated if the end, it just felt like it abruptly stopped and I’m left wondering the purpose of the video. What was the conclusion and what does the future look like for these riders?",0
Humberto Leandro,2023-01-02T20:28:46Z,You guys inspire me so much! I hope to see more of the three of you riding and racing in 2023,0
rswc55,2023-01-02T20:06:11Z,"Absolutely love this series. Keep them coming, please!",0
Albert Viquez,2023-01-01T10:41:57Z,"This was a great watch, short yeah but very good. Hope to see them in the near future",0
David Marquez,2022-12-31T14:43:39Z,Gravel people are the new surfers.,0
Yakov Shkedi,2022-12-30T16:03:01Z,"I just want to send the whole crew, directors, supporters, graphic designers and of course the athletes a lot of love & admiration from Germany. In May I got a thrombosis in my shoulder for no apparent reason and was pretty devastated. I discovered this series through forced time off the bike, but was able to slowly claw my way back into full training. Am now fully back to shredding centuries with efforts and beating records on climbs in Switzerland. You guys were a huge support throughout the year. Keep up the great work :) THANK YOU SO MUCH!! 🙏🙏🙏❤‍🩹",0
N W,2022-12-30T15:59:35Z,Solid performances from all 3 despite the obstacles they came across in several races. Some recognition of who the winners of the series would've been good.,1
Florian Aubisse,2022-12-30T11:39:58Z,Awesome,0
Gene West,2022-12-29T21:30:45Z,"BIG respect Emily, Alex and Lachy",0
Emerson Cortes,2022-12-29T18:35:10Z,"On a positive note... love how it's film in wide format... thanks, nice touch.",0
oitotheworld23,2022-12-29T15:36:26Z,"I'm going to provide a counterpoint to all of the lavish praise in the comments. One reason cycling is dying is that there are not enough aspirational figures in the sport. An ""aw shucks,"" self-deprecating dorkiness permeates the culture. The men at the forefront of the sport do not exactly embody the hard-nosed, badass masculinity like an Armstrong did, or to compare to other sports, a Lebron or Ronaldo or Tom Brady. These cyclists would get eaten by those other sportsmen. And for better or worse, LA back in the day wouldn't... his vibe was totally different, and an entire generation was attracted to that. Alex and Lachlan are super chill, likeable guys. But kids watching this are not going to leave thinking ""wow, cycling is super badass!"" like they feel after watching a Nike commercial about myriad other sports. It's too bad because cycling is a pretty badass sport.",3
David Carroll,2022-12-28T19:18:51Z,God Bless you for the memory dedications. Never forgotten.,1
The Reeder,2022-12-28T15:48:04Z,This has been a great series.  Take advantage of all the content and make more video’s.  Iove what EF is doing and the riders.  Met Alex and Lachlan at Chequamegon.  Class acts and great ambassadors!,4
Auckland Today,2022-12-28T12:09:07Z,Sweet vid,0
peter hehn,2022-12-28T00:48:35Z,Fabulous! Loved this film. More please! I subscribed!❤,0
carlos flanders,2022-12-27T21:35:06Z,Been watching Lachy since he was a teenager and still waiting on a complete coherent sentence.,2
brian morgan,2022-12-27T14:37:05Z,"So great, loved every minute of it. Been watching Alex and Lachi for many years as an EF fan. Cheering all three of y’all on for next year. Come to Roanoke,VA and we’ll taking u riding!",1
Steven Chalmers,2022-12-27T12:57:58Z,Inclusive my arse 😆🤢,0
Mack Faint,2022-12-26T22:20:15Z,Anyone know the last song?,0
Derek Mann,2022-12-26T21:25:14Z,Those poc glasses are sweet,0
Derek Mann,2022-12-26T21:15:12Z,Are these the dudes that went to Colombia? Colombia greatest country in the world!!!,0
Hank Payne,2022-12-26T20:43:02Z,Where do I get my hands on one of those FIRE baseball hats?,0
JD Dallager,2022-12-26T19:34:35Z,"Kudos to EF and Rapha et al for supporting this effort. And even more to Emily, Alex,and Lachlan for their world-class talents/accomplishment .... and their willingness to share the sacrifices, agony, and dedication it takes to compete at any level, much less theirs. Also for sharing the personal and family insights that show their humanity and life perspectives.  Well done!",0
Kelvin Suddith,2022-12-26T17:12:13Z,I feel robbed of 5 more videos worth of cut content,0
Malcolm Hales,2022-12-26T13:04:29Z,Thank you. I've fallen out of love with cycling since I had an illness. This film has helped me get back in the saddle. It just needed to be longer.. 😎❤,0
Rincewind Scheibenwelt,2022-12-26T10:02:37Z,I was always wondering if Americans could talk without saying like every ten seconds. But I made a drinking game out of it. Shitfaced after 3 min. 😂,2
Gary Bird,2022-12-26T08:28:48Z,"Watching this and my van can wait a day for a clean, I'm going riding.",0
Zeus Fitter,2022-12-26T07:39:03Z,Cornelius would be proud,0
ibrahim k sais,2022-12-26T05:56:38Z,"Hello From Kenya,May Suleiman Kangangi Rest In Peace, He was a great mentor to all us.",0
Faceless Man,2022-12-26T04:58:28Z,All three of you are amazing ambassadors to cycling as a whole!,4
Andy Cunningham,2022-12-26T03:29:28Z,Great editing here. Prob not the ending we wanted but fits with the way the sport’s going. Change is the only constant. Thanks for everything,2
Marcus Bowling,2022-12-26T02:56:29Z,Gonna miss Alex! Cheers to future endeavors!,0
C B,2022-12-26T01:26:52Z,Thank you for that..Legends !,0
James Goddard,2022-12-25T20:33:54Z,I miss the old hype train!,0
Agostinho Franco,2022-12-25T13:15:59Z,BORINNNNNNNNNNNG😮😮😮😮,1
Henning Andersen,2022-12-25T12:37:16Z,Inspiring as always. The journey is the purpose not the goal!,0
Alex Ball,2022-12-25T11:21:33Z,This has been such a great series of films.,0
Shawn Walsh,2022-12-25T08:06:50Z,So good. Really enjoyed that. Such a unique perspective on the sport of cycling. Thank you!,1
Nils Mack,2022-12-25T07:28:06Z,Great film... It's amazing how much luck plays into even our top athlete.  Good luck everyone with the next chapter!,1
Alvaro Parra,2022-12-24T21:34:59Z,"Great action camera work in some of the races. Really felt up close. Conclusion = racing gravel is really hard, even for pros. 🎄👼🏽🎄👼🏽🎄🎄👼🏽🎄🎄👼🏽🎄👼🏽🎄",1
davidvonslingshot,2022-12-24T20:23:59Z,wonderful humans.,1
Defaid Du,2022-12-24T20:01:41Z,"Really nice upload 😎, a question for Lachy, as it was only him shown running, but if Emily or Alex also run , do they find running makes their cycling easier? I'm only an average ""Joe"" but it has always benefited me. Thanks in advance if guys. 👍",1
Richy Coles,2022-12-24T19:45:42Z,Three dead set legends. 👍,0
ARACENA works,2022-12-24T19:22:24Z,Very nice,0
myles mills,2022-12-24T16:23:40Z,"This series has been really profound for me. It motivated me to my first century and double, and now I just love to ride and see what I can do. Thanks for way more than just the video!",23
Jadhiel Asaph,2022-12-24T15:47:17Z,"That shot at 11:55. Oh my! Well done Rapah, always bringing the cinematic A game",9
Aaron Edge,2022-12-24T13:55:02Z,Another stunner.,0
Peter Berry,2022-12-24T09:36:25Z,amazing film and people,0
HonestlyThough,2022-12-24T06:27:02Z,i dig it,0
Ash Cameron,2022-12-24T06:26:36Z,Alternative racing calender got depressing quick.,5
Randy Gravel,2022-12-24T04:41:00Z,Shit it’s 36 minutes of complaining and negativity. Gonna throw my bike into the dumpster.,7
tyler belcher,2022-12-24T03:49:02Z,"Well done, both the race efforts and putting together a film showcasing the uniquely North American gravel season.",1
Bret Staz,2022-12-24T02:43:08Z,"Miss the old Rapha videos while I appreciate this marketing struggle the old videos were more normal people,   GGs EFT pros  what ever",1
Lily Bailey,2022-12-24T01:29:59Z,that first drone shot of lachlan running on the mountain 😮‍💨,2
Tim Smith,2022-12-24T01:00:41Z,keep gone racing going! keep howesie in pink! sick video.,3
