August Schilling,2021-08-23T03:02:06Z,"Mr Morton, no one will ever be sick of hearing you talk about this s&*t.  Thank you for sharing your experience.",0
John Payne,2021-06-13T02:28:22Z,"A year on and the world hasn't really worked this situation out. Thanks for making the video, I respect your efforts and motivations.",0
Jack McCauley,2021-04-06T00:43:55Z,Does anyone know what pack they are using? I thought it was a camelbak chase vest at first but it is different.,0
Strenki,2021-02-21T20:49:36Z,"I hope EF guys will try next time on Cape Epic, is really TdF or MTB marathon stage racing :) Love your videos!",0
Bear,2021-02-13T15:59:30Z,3rd time watching this one,0
Glen Mellor,2021-02-05T15:33:18Z,My favourite video ever about a race that didn't happen.,0
Richard Smith,2021-01-26T15:56:19Z,Loving these films Have you guys thought of doing BCBR ? It would be amazing to see you compete there,0
WildMeff,2021-01-25T23:46:15Z,Mountain biking is frickin' sweetso is the EF Alternative Race series,0
Some Time RVing,2020-12-09T14:45:30Z,"I just binge watched all of the Alternate races with Lachlan and Alex, and the GBDuro and some others with the EF guys.  So great to see, inspirational, the realness of the guys is so nice to see.  I doubt other World Tour riders would open up their lives like this.  Perhaps I will get to shake your hands one day and say ""Thank you"".",0
K W,2020-07-28T10:07:00Z,What's the song called from the beginning?,0
Rob Lennon,2020-07-25T05:23:26Z,Burbufbhhfehfbhiuvgi dfgui g if gi& gsdivbgeid fbigervygywuyubgvigibg2vbbaeybcydaebycdwbqucwdioqbuqechuewqdupqehdwuwhpdueqphqdwuewphqdpuehcphupewchqqeupchphcuehwupiwfheuiwpqhfuphuewphfuewiphfuieqwhhfqbohu.,0
tgoods504,2020-07-17T02:15:05Z,These guys have amazing perspective,1
Amanita Muscaria,2020-06-23T13:22:49Z,Too loud music ruins a bit from other exxellent video.,0
Jonny Steel,2020-06-16T19:54:15Z,"This is the best thing to watch in cycling,the guys are both entertaining and humble.",0
Tex Judd,2020-06-15T04:45:07Z,https://www.youtube.com/watch?v=7tcutmdnFvk,0
Mieke,2020-06-06T10:26:56Z,"12:02 you are in Nederland? Wow, there actually is a place called Nederland somewhere outside of Nederland. Wild.",0
EJDM,2020-05-31T23:18:20Z,Hallo,0
1badcrossfitter,2020-05-18T16:44:05Z,I could listen to these guys talk bikes all day. The love they have for this sport is so genuine and pure. Hands down one of my favorite series,0
justin stepchuk,2020-05-01T03:32:31Z,What’s the song at 1:23?,1
rswc55,2020-04-28T19:13:10Z,These are just simply brilliant and beautiful and inspiring and...and...and...,0
yumyumhungry,2020-04-24T07:27:34Z,"A bummer that this virus affects us all, but we'll be back! Just hold tight and stay safe for now.",0
twyfordlion,2020-04-18T09:43:09Z,The riders and team on EF are true cyclists and fans if the sport. Bravo everyone.,0
Andrew Smalley,2020-04-16T22:34:58Z,"Absolutely love these videos. Great to see thoughtful, beautifully shot videos from a really human perspective. Well done.",0
Laucycle,2020-04-15T07:46:46Z,"I love your videos, they're amazing!",1
shayne compton,2020-04-13T17:15:31Z,I love listening to these two talk about what they do and their life. Keep it coming.,3
