Justin L,2023-01-25T18:00:20Z,"Awesome filming, great story thanks for making it and highlighting her story.",1
Lydia,2023-01-25T14:24:17Z,Absolutely inspiring woman and mother.,0
itstrbo,2023-01-18T06:19:48Z,"Raphael revealed himself to be the true hero...I think the Rapha team made it too easy for her quit, if she had to sit there and figure out a way home, I think she eventually would've decided to continue on...",0
belturbet4,2023-01-18T01:20:36Z,"The main thing I learned from watching this is that if I am in a sporting event and I am nearly at the end and I know I am not going to win, then I will not quit. I will finish the race. Even if I finish last. Winning isn´t everything.",0
2 wheels r best,2023-01-06T21:32:09Z,Ana I am only half way through watching this and I already feel I need to comment. You've been through a tough time and I can understand how you are feeling but honestly you look fine. If I was to meet you I would say you were clearly a very intelligent lady who is super fit and is as stubborn as a mule. If any says otherwise then there is something wrong with them rather than you. Just kep on doing what you are doing and you will be fine. Just wish I had your fitness. Best wishes for the future.,0
Arne Schiereck,2023-01-06T10:06:14Z,To be honest I had to quit watching the video. I had several accidents on my own and I know live is dangerous. I love riding though darkness and I know about animals who are merely active in the night. I don`t need horror stories (although with a good end) about bicycle accidents.,0
Cho Khou,2023-01-03T02:24:48Z,Amazing story! good work film crew 👏,0
Raff,2023-01-01T17:30:15Z,When you think you are down and out watch this and consider how strong you can be when you set aside the doubt and self pity your brain fools you into. Thank you Ana for having the bravery to share your story.,0
jorin gauci,2023-01-01T17:18:48Z,You made me cry and felt sorry  for you but i also felt that you also gave me inspiration and gave me high hopes. Truly an amazing woman. May you have what you wish for and continue do what you love to do ❤️.,0
Anne Racioppi,2022-12-31T21:05:48Z,"holy shit, rapha. what a woman. what a story. wow.",0
Brendan Ford,2022-12-30T20:26:21Z,Oh my goodness that was so raw and refreshing.  I am so thankful for all involved.,0
Ian McCroft,2022-12-30T16:13:40Z,A truly beautiful and tragic story at the same time. A depiction of human spirit in the face of adversity. For most being able to walk again would be enough but for a cyclist the feeling of freedom on 2 wheels is where its at. Inspirational human beings both Ana and Ruby.,0
Edgardo Rodriguez,2022-12-30T14:40:31Z,"After hundreds of inspirational videos, Rapha brought me to tears. I hope they continue to present similar true stories that motivate us to continue forward in cycling and in life.",0
Michael Bass,2022-12-28T18:25:57Z,"Films like this will help her make $. As a plastic surgeon, I can tell you a lot can be done to improve the scars. I LOVE this film - so raw and honest and emotional. Never give up!!",0
Triple B,2022-12-28T02:31:20Z,Thank you Anna for the lesson on life. You are a beautiful woman and a wonderful strong woman! Thank you for the inspiration. God bless you and your daughter. 🤗😘🚴🏻‍♀️🔝💪,0
micheandmikey,2022-12-28T00:27:12Z,I F@#$ING LOVE THIS STUFF!!!!! You're an amazing and inspirational woman Ana!!!! Cheers to you and Ruby!,0
Lamento,2022-12-27T22:02:27Z,Thank you,0
Myroslawa Chrin,2022-12-25T00:34:33Z,"I am glad I am not the only one who cried. I was like 'wow, this is moving' - I can relate a lot to her, she is so human.",2
DIGITAL CITY,2022-12-20T04:58:54Z,"I feel she thinks she looks bad. she does not. yes there is slight changes in the nose but really, she is fine. I hope she realizes soon that she only has slight changes.",0
DIGITAL CITY,2022-12-20T04:50:37Z,A strong woman. great film,0
Nuno Bértolo,2022-12-19T23:40:59Z,"... brutalmente  , belo registo . Bom trabalho  . Acreditar , sempre , até ao fim .",0
powerofpositive,2022-12-15T06:14:46Z,"Wow, Anna brings a whole new meaning to the word ""endurance "" ...  she's a strong  a-f rider but her ego she speaks of can really do not only her harm but her beautiful daughter too. I hope she find a reasonable balance in her life/sport and can enjoy her cycling for years to come.",0
Jorge Rodriguez,2022-12-13T13:37:05Z,What an amazing film!!!!  Where is it at tho?,0
Maureen Drennan,2022-12-12T20:38:15Z,Thoroughly enjoyed watching the film. 🌹,0
