Smelly elle,2022-12-07T08:53:09Z,"Woah, nice work Lael! Is that rig a Specialized Epic with gravel bars?",0
Tim Taylor,2022-08-24T18:27:48Z,yes i knew it,0
KuriosPC,2022-07-16T02:32:19Z,"I do not mean this to be offensive, but why are a lot of gay cyclist, or pro gay cyclist being showcased?",0
Antony Page,2022-06-20T00:10:20Z,"""i could try""  thats probably the best motivation, most will not reach top 10 finishes as this is a tough grueling sport but if it gets more people out riding with friends and family's then i think we have all come out better for this ...amazing video",0
1 Legged Adventures,2022-06-08T23:23:49Z,I was literally at hoosier pass less than a week ago!!!!,0
kh12myzk,2022-04-13T15:24:41Z,たこ,0
Jim Hansen,2022-04-01T19:33:21Z,What a LEGEND !,0
Steven C,2021-12-02T11:15:46Z,These films are so spectacular,0
Joanne leyva,2021-10-28T23:06:21Z,Lael is my shero!,0
Pchy kins,2021-10-23T19:06:02Z,"Damn, I wish I can ride endurance like that! I'm just done after 120km...poor me :(",0
Alessandro Mesquita,2021-10-23T17:06:59Z,Big fan of Lael,0
Roberto Ambrosi,2021-10-21T10:27:10Z,Bellissimo video.Ed è sempre un piacere vedere Leal con il suo sorriso!,0
Oh well,2021-10-12T13:21:26Z,Glad it is raining today in Kingman AZ ( 10/12/21)  surfing channels on riding and found yours. I am 77 and try to ride 1 hour every day on my trail bike. Keep the ridding up and good rides to you.,0
Noman,2021-10-12T12:25:50Z,❤️ Lael!,0
Robert Botta,2021-10-10T12:21:54Z,Lael you are just plain awesome and a total inspiration of how to be a better person always!,0
Dodging Lions,2021-10-09T16:32:23Z,amazing … she’s a beast!!!,0
Gualter Amaro,2021-10-07T22:18:57Z,"Top-notch Lael and also filmmaking, to make her justice!",0
Dobra Cobra,2021-10-05T07:03:41Z,"Very boring movie. In 3 days nothing happenned. The girl is alive, there's no wolf attack, bear attack, truck driver attack, locals attack at night, ufo... No smashing wind... nothing.You watching three same days. Even girl is not so tired. Director of the movie isnt good. And Look, that film crew was more tired than cyclista. Sad, that Rapha participate this project.",1
