Tarmac basher,2022-10-10T18:10:41Z,This team is nothing new rock racing team did it years ago,0
David Cox,2022-04-15T11:56:13Z,Lachlan seems like such a genuine person. He would be cool to go ride with for some miles and get some pizza. I think it is really strange to come across this video after getting into cycling and applying for a few jobs at EF. They are a really impressive company and this guy is one cool dude. The video series is very neat to watch as a cyclist that is not a professional.,0
Simon Guard,2022-03-12T12:38:10Z,"Lachlan Morton you are not a joke, you’ve done more in the last couple of years to inspire me than any other cyclist. Keep those alternative films comin.",0
Two-eyed Roy,2022-01-03T14:41:29Z,"I guess it's like the saying ""Work to live, not live to work"". Where for racing (all sports really); Let winning mean everything, but don't let winning *be* everything.",0
Don Solomon,2021-10-25T06:05:51Z,Awesome kit that year,1
Adam Girgis,2021-08-24T00:18:24Z,"you guys should have a restock of this kit, would be amazing",0
David Brownlee,2021-06-28T17:53:45Z,Hi Rapha could we have much more like this rather than short minute long arty clips.,0
KEIRINSTREETS,2021-05-18T18:40:03Z,This made me wanna watch Road racing.,0
Breite Masse,2021-02-27T22:05:04Z,love lachlan,0
GerrMoney,2021-01-30T12:12:20Z,two likes ! Heia EF !,0
chromebomb,2021-01-23T18:48:42Z,cycling is too conservative,0
Nuestra vida en la bici,2021-01-22T17:53:51Z,Great video guys! Thanks! an good luck in the 2021 season!,0
Leonardo,2021-01-17T21:49:27Z,the only good thing about EF is Rigo,0
Simon Greenthumb,2021-01-17T17:48:41Z,BRUTAL. imagine being stuck in a lift with one of these guys talking about themselves for 6 millions years.,0
dirk westerduin,2021-01-16T12:17:44Z,Lachlan's reflections make sense.,0
James Herd,2021-01-08T00:00:12Z,"Lachlan I am a 71 year old mountain biker living in Scotland  But I  Love What you do on a BIKE  don,t stop  what you are doing its great .",1
Keith Moore,2020-12-31T06:58:24Z,2:30.  Using a pillow to pin on the numbers.  Brilliant!  I learned something today.,0
Humberto Mousinho Canilhas,2020-12-23T22:06:27Z,Rúben Guerreiro!!,1
Buzz Man,2020-12-20T15:41:57Z,Lachlon's appeal is based on his existential crisis every timehe is challenged,0
Keukeleire Tv,2020-12-20T10:21:50Z,Coolest team in the world!,0
Morgan Hensley,2020-12-17T23:59:33Z,"The homeless chin developmentally tip because copyright coincidentally employ through a squeamish manx. divergent, elastic butcher",0
Kelly Mckenzie,2020-12-09T05:40:15Z,The mighty ducks! Every team needs a mascot now,0
Veloradio,2020-12-08T23:16:27Z,"Great content, we love it!/Team Veloradio",0
ben mw,2020-12-07T08:52:03Z,No Festive 500 videos???  Why only on IGTV - come on Rapha...give us what we want!!,0
Rubenn Dean Paul Alws,2020-12-06T16:41:56Z,I`m a super fan!,1
tommoelbommo,2020-12-02T21:07:32Z,"Awesome cannondale advert, such a sweet looking bike",1
Joanne leyva,2020-12-02T02:05:16Z,"Love, love, love Lachy!  He is the most exciting rider in cycling right now IMO!",0
Mauricio Jumpa,2020-12-02T01:31:01Z,YES.,0
