Peter Foster,2022-12-30T16:33:05Z,chapeau! very inspirational to watch,0
Windmill Cancer Survivor,2022-12-29T01:34:26Z,Made my day!,0
Sean C,2022-12-27T17:41:32Z,"Professional sport is about being the fastest, strongest, best. That's what people want to watch. That's what most people will pay to watch. Whether it's men or women doesn't matter. Amateur sport is available to all in the  western world.",0
powerofpositive,2022-12-22T03:45:12Z,Amazing women cyclists!👍,0
Will I Aint,2022-12-18T08:55:12Z,Watched a bit of this with my 4 year old daughter. Thanks 😊 x,0
Carlos Barros,2022-12-12T17:54:45Z,So inspiring!,0
Angellos Malefakis,2022-12-10T09:53:10Z,"Plain and simple, I believe in EQUALITY. Meaning if you want to be equal to your male counterparts than you should be doing 20 stages versus an abbreviated version of 10 stages. I blame the girls in that they should fight for equality. I blame UCI treating the girls as secondary. I blame the team. Looking at the meeting it is like secondary to the males. What kind of van is that? Have you seen the buses the guys have? What kind of director is that? He is an amateur! Can you not communicate or talk tactics with the girls? Watching this film is like watching Division III or the minor leagues versus their males in Division I or the major leagues. Remember Joan Benoit won the first womans marathon in the LA Olympics. That was a turning point for womans sports. If you want to do the same than you need to request the same distance, the same buses and the same equipment, the same tactics, the same everything.",0
Jeremy Waite,2022-09-23T10:20:31Z,"Love it, thank you!!",0
clue son,2022-09-20T14:38:49Z,respect to the performance,0
Shaun Turner,2022-09-20T06:19:24Z,𝓟Ř𝔬𝓂𝔬𝐒ϻ 👌,0
Alex Spodarev,2022-09-18T13:28:15Z,"Lame, so many crashes and these crashes were horrible like women didn't know they have the brakes. One stage at the end one of the girls took left instead of right and almost crashes all peloton. The powers are not close to men's watts. The always smiling and talking girls...where is the Sport then? The willingness to win at any cost.I know many will hate the comment, but just acknowledge the differences and cycling at level of TDF - is not a women's sport, it's too harsh, too brutal.Some girls so fit it, but they are very rare",0
Jack Gibbs,2022-09-18T12:55:09Z,More women's cycling stuff please!,2
simon mougin,2022-09-15T17:33:00Z,Is it Lael Wilcox on 40min?,0
raymond herrick,2022-09-14T04:23:57Z,Wow great film & insight to the sacrifices & training .,0
Julio Fortis,2022-09-13T18:22:15Z,Bravo!! 👏👏👏👏👏,0
David Thompson,2022-09-12T22:03:19Z,A very polished and well done piece. Great insights into one of my favorite riders-Veronica Ewers!,3
J. R. Newton,2022-09-11T15:12:05Z,Just epic.,0
Gareth Williams,2022-09-11T08:55:12Z,"Great film, thanks for your continued support of women’s cycling. The team was fantastic.",1
Lucy,2022-09-10T09:27:34Z,"I enjoyed watching this and so pleased the Tour is back and giving women's cycling a higher profile. This was more of a stylistic film than a documentary though  and at times confusing. In particular, it is not true that there hasn't been a women's Tour for 33 years. There have been various versions of the event from the 1990s through to 2013, and the fact that they may not have been organised by ASO should not diminish the achievements of the riders who won them. Nicole Cooke won the Grande Boucle Feminine in 2006 and 2007. She and riders such as Emma Pooley did a huge amount to raise the profile of women's cycling and campaign for more equal representation in the sport. I'd love to watch a film that documents the history accurately.",4
AnnonY Mouss,2022-09-10T05:25:59Z,Inspirational & amazing! Why it took this long to get women to be part of Tour de France is just incredible!,1
Régis L,2022-09-09T18:02:28Z,"Magnifique Film, merci beaucoup 🙏",0
Freehub Magazine,2022-09-08T19:09:14Z,Great Story telling! Beautiful to see the dedication and heart.,1
Karla Hovde,2022-09-08T15:11:54Z,Fantastic!,0
Marc Peloquin,2022-09-08T02:51:08Z,"I would pay very dearly, like a fine Rapha article for the playlist on this doc, have not heard such a well executed ambient sound in a long time.",1
tracyverdegan01,2022-09-08T00:09:09Z,Really enjoy hearing the back stories and seeing behind the scenes Womens cycling is so dynamic.  The part with the father and his daughters was really special.  That’s what it’s about.  Great film ❤,4
Levente Juhasz,2022-09-07T20:44:54Z,"Rapha, you did it again. Kudos!",0
A C,2022-09-07T18:49:59Z,Excellent job including the unfiltered harsh and biased opinions over the years.,0
Jadhiel Asaph,2022-09-07T17:04:57Z,Total tearjerker. Bravo!,0
Reid Holbert,2022-09-07T14:37:08Z,Thanks for making this! Really enjoying it :),1
gamby16a,2022-09-07T05:59:59Z,"This was a beautiful, striking account of this important event. Tough, awesome women.I loved how the young girls were in awe of these superheroes. 😀",1
Shammer Diaz,2022-09-07T03:07:56Z,"Wow. Just, wow. Bravo.",0
Gasman1440 A.,2022-09-07T01:06:49Z,Men complain about passing a kidney stone…..women continue the humane race and we still ask well how can you be a mom and athlete…..any idiot ever ask Tom Brady that?,0
Crit Rey,2022-09-07T01:04:34Z,Could this have subtitles added?,0
John Records,2022-09-07T00:10:36Z,I think I saw 2 minutes of cycling in a 42 minute video about cycling,1
Highnoonshred,2022-09-07T00:06:27Z,I have not watched the Tour De France since high school because of several....Failures!! One of them being women not racing big tours! Goooo women!!!!,0
nluisa,2022-09-06T22:15:32Z,"What a wonderful piece of film making! This hits so many right notes: the timely archive footage, wonderful cinematography, the stories shown and how they are told, the storytelling... Even with these aside there is something else: relevance and transcendence. This matters a lot in our times, and I bet any woman, or women's rights advocate would relate to the story, regardless of whether they cycle or not.Well done! I will share! 💚",8
matteo caligiore,2022-09-06T19:18:59Z,thanks for the good things !!,0
