Watts Up,2021-12-07T17:37:17Z,Gorgeous!,0
madMike,2021-02-28T01:04:20Z,I was the 1000th like!!!,0
bigjuicefolife,2020-07-15T14:22:28Z,Gorgeous.  Amazing.  Splendid.,0
Johannes Ehm,2020-04-18T21:18:43Z,"Amazing shots, which inspires me I should go more often with my bicycle from bavaria to tirol.",2
Radler Heinz,2019-09-09T07:01:59Z,super gemachtes Video....gratuliere,0
stefga___,2019-08-26T15:55:06Z,"it's cycling mecca, but for cyclers and not poser boys",0
jlouis102000,2019-07-07T00:50:29Z,Keep getting better. Genious.,0
Joe Inglesfield,2019-04-19T21:11:33Z,Perfection,0
Hastin Nuraini,2019-03-10T22:07:11Z,yes,0
Ayaz Ahmed Khan,2018-11-02T08:16:34Z,Beautiful.,0
Zoltán Mechler,2018-08-27T16:33:56Z,Awesome!,0
Drew,2018-06-16T01:07:15Z,Never get bored of watching this. Can you do more of these and less of the L.A. hipsters?,2
Vladimir Maxakov,2017-12-21T16:20:17Z,name of song?,0
Jennifer Sommer,2017-11-28T23:59:52Z,what was this shot on?,0
Oliver Ingham,2017-10-25T13:19:34Z,Any ideas on the soundtrack for this? Or was an in-house creation?,0
Nicolò Weiss,2017-09-28T18:29:17Z,another one of these and I am going to quit my job and move there,1
David O Brien,2017-09-19T16:16:50Z,Nyceli Dunne,0
markk9468,2017-08-09T01:24:50Z,Captures the essence of cycling,1
Roy Love,2017-07-02T20:17:05Z,Epic,0
imjustinb,2017-07-02T00:30:03Z,Wow. This is the best one yet.,2
Triple Ace,2017-06-22T11:35:58Z,There is something to live for in Life yea. May we preserve to keep it with all its attributes. Thank you Rapha.,0
David O Brien,2017-06-22T00:32:09Z,I identify with this.,0
brianmcg321,2017-06-21T21:30:48Z,Beautiful,1
Rickie Allen,2017-06-21T19:07:38Z,Definitely a bucket list item!,4
Louis Goetz,2017-06-21T18:33:26Z,Amazing Edit !,3
Robin Bassett,2017-06-21T17:16:17Z,👌 that's it - I'm moving!,1
Tate Carlson,2017-06-21T16:56:17Z,Another awesome film! I wish they were longer.,25
