Sam SDB,2020-04-11T05:55:08Z,Julie geven geen koers!🤮,0
barrylyndon80,2020-04-10T11:32:21Z,"The atmosphere is a way more relaxed in comparison to quickstep Inside videos, there they are doomed to win",0
kchall5,2019-10-13T22:30:52Z,I think Egan Bernal may have staged a coup.,0
Lisiane Brizolla,2019-07-21T02:13:57Z,Quero ir a Colômbia ! Loucura!,3
urgeunity1,2019-05-24T17:50:54Z,"Thanks for coming guys, I had the chance to look at Rigo, Nairo and Chris in my hometown!!!!!!! the best in my life",0
manuel torres,2019-03-13T02:13:38Z,"Fascinante, gracias parce",0
一隻波波,2019-03-09T12:27:34Z,rigo,0
Manuel Carvajal,2019-02-28T07:25:59Z,I watch team Sky video and EF and me personally I like this video the best you guys put lots of passion behind love it!,0
juan esteban Restrepo,2019-02-26T03:12:51Z,La sacaron del estadio !,0
Sebastián Cruz,2019-02-25T23:11:33Z,"I had the fortune to be right there, at La Unión and at las Palmas climb, It was awesome. I've always cheered for Rigo (for 11 - 12 years), but this time I lost mi whole voice cheering, screaming ""VAMOS DANI!!"" Hope to live this again next year.",6
Daniel Sparkes,2019-02-25T21:48:14Z,That team talk at 7:54 ....made me feel a bit sad inside. :-S,0
juan Pablo De Gregorio,2019-02-25T20:54:18Z,Amazing!!!,1
Bernard,2019-02-25T13:03:12Z,Subtitles are on point. It's the little things.,5
Pratalax,2019-02-25T10:59:32Z,"oh my god, the colour of those mountains. lush.",6
Simone white,2019-02-24T21:13:35Z,Love is super cool. Cycling needs this. Rigo is a Rock star.,14
Cycling Watercolours,2019-02-24T20:28:15Z,Fabulous crowds...love Colombian racing,5
drifter,2019-02-24T19:17:29Z,"Awesome footage, keep'em coming!",0
Diego Cifuentes,2019-02-24T14:39:30Z,"The last stage was mad.  Nearly 400k people all over the climb of Las Palmas.  One of my best moments of my live, for sure.  Que viva Rigo, hijueputa!!",13
Baden Campbell,2019-02-24T07:37:25Z,Great video guys. Love that you made it in Spanish too!!,0
Bobby penny,2019-02-24T07:17:45Z,AMAZING!!! Incredible Fans !!!,4
David Anderson,2019-02-24T04:11:09Z,I think this is superb. I want to go next year. I only live a short distance from Colombia XXXXxxxxxXXXXX,0
Michael Dickerson,2019-02-24T04:08:37Z,Best Rapha video in a long time.,13
Glenn Walker,2019-02-24T03:16:05Z,Great vid.. more!,2
Kip Mann,2019-02-23T23:05:50Z,yo que voy a saber guevon,0
Joshua Monteith,2019-02-23T21:49:40Z,Yes dudes.,0
Timothy Topor,2019-02-23T20:41:56Z,Great edit guys,12
Moises_InestrozaSV El Salvador,2019-02-23T19:30:06Z,Loved the coverage! next year I will travel to Colombia to live this race! I am a big fan of the team and I am happy they are finally winning!,2
Angelo Trofa,2019-02-23T19:23:55Z,OOOOOOFFF!,0
thetalkingfly,2019-02-23T18:55:10Z,"This race coverage is SO GOOD! This video is art? sport? I love that it feels like both!!! Sport journalism can see so snoozy, this is RAD! Funky, personal, great stories!!! Bravo!",49
noch21Gramm,2019-02-23T18:25:30Z,thirst,0
