Craig M.,2022-05-12T20:41:57Z,Insane...coming back for 2022....now in san Francisco August 27. 2022,0
Pete the Pirate,2021-07-21T10:22:02Z,Looks like fun.,0
snail power,2020-12-18T20:01:58Z,crazy event,0
Cristian Regep,2018-01-03T01:00:22Z,"Is there only an Elite crit, or are there other category crits as well?",0
Ashwin Gohil,2017-11-05T14:24:14Z,"at 2:13 2:14 around, i can hear some good music. what is the track?",0
Cypher9,2017-06-19T17:11:28Z,0:28 Coors Light?,1
Triple Ace,2017-06-18T07:32:30Z,One of the best event :),0
Matt B,2017-06-15T22:48:58Z,No footage of the women's fixed crit?,0
Matthew Williams,2017-06-15T04:32:42Z,""Best crit in the world"" because he hasn't done Cry Baby Hill at Tulsa Tough.,0
John Bailey,2017-06-14T22:19:26Z,Lots of nice kit! Crazy racing...,2
President Interzone,2017-06-14T19:39:29Z,whats that nice little track playing in the beginning ?,1
