Frank J.K. ,2021-10-20T06:23:03Z,I miss content like this. Great film!,0
Duh Brain-Box,2021-06-19T05:21:16Z,"I ride in the American PNW and the weather can shift dramatically, from sun to hail and back again. The challenge of braving that kind of polarization can make one feel absolutely alive.",0
محمود صلاح الدين,2020-12-02T07:42:39Z,Ich mag,0
GP,2020-09-04T08:28:32Z,"If the editor for this video isn't a creative director or running a successful business by now, it's a crime. This was brilliantly put together.",2
pcmj pcmj,2020-04-06T09:48:19Z,Glad the vehicles had light as none of the cyclists did.,0
Carlo Gironi,2017-07-10T22:53:18Z,Inspiring,1
Jan qillihq,2017-01-16T05:18:15Z,"Und als Autofahrer/-in sieht man mal wieder nichts, weil keine Beleuchtung oder wenigstens so Blinker. The cardrivers see nothing of the bycicles, because no lights.",0
George Gilles,2015-06-28T00:06:16Z,Nice video. ,0
Francesco Fabrizio,2014-05-05T12:50:50Z,your video is faboulos is amazing...,3
nayr497,2013-08-01T20:42:22Z,"Not my words, but sums up my feelings towards Rapha quite nicely:“ Ever wondered what stopped these people from doing their 30-mile “epic"" solo rides before RAPHA came along?""",2
hulkrace,2013-03-03T09:41:38Z,3:14 He looks really happy. I want to go there too.,1
simon jagassar,2011-12-09T17:48:56Z,those are riders definitely in the ""Rouleur"" category. Great stuff and always inspirational. ,1
