BB 10,2022-10-14T09:47:07Z,"funny, not much riding of Milan, more of the passion for cycling and ends with Milan not really good to ride around :-)",0
edmasamo,2021-08-24T05:34:36Z,i would love a copy of that B&W photo,0
mansbre,2021-05-16T01:35:53Z,I bloody love these films,0
Marino Casini,2021-02-01T20:10:43Z,Sempre se ci arrivi vivo tra Milano e Como ...,0
2020,2019-05-20T10:49:01Z,"Beautiful. I was in Milan 2 years ago with my vintage racing bike, a Vicini with Campagnolo Nuovo Gran Sport. I cycled to Como. I will be in Milano again in 2 weeks with my Colnago Master. I am from Australia. Pure love for Italia.",3
Nathan Johnson,2019-03-12T10:30:40Z,Mesmerizing!,0
C345 OFR,2019-01-23T14:38:29Z,"Man, it ended just as it was starting.",4
Cristian Hamed / Le Domestique,2017-05-22T16:48:26Z,bellisimoooo!!!! bravo!!,0
Nicolò Weiss,2017-05-22T15:59:30Z,very cool,0
Maurice,2017-05-22T12:56:56Z,"Beautiful, I didn't think Milan was so scenic, next time I'm in Italy I'll surly visit.Please come to Montreal",3
Robin Bassett,2017-05-22T11:30:13Z,(Italian Tech Talk) - now there is either an album title or a PODcast discussion in the waiting!,4
