Hebbs,2021-02-09T15:42:17Z,Lachy is the coolest dude in pro cycling.,0
John Sumner,2020-07-17T01:49:02Z,"You guys should look into Ruta De Los RU2 in Costa Rica, a great cycling community in Costa Rica!",0
Johannes,2020-05-04T16:35:35Z,Thise videoe ise really goodee!,0
Enrico Gaoni,2020-03-03T16:07:43Z,Strade Biancheeeeee eeeeee not i!,0
Robert Botta,2020-01-14T11:09:35Z,So cool. Just getting that awesome pink kit would make it all worth it. LOL. Ride on !,1
John Payne,2019-10-18T22:57:26Z,"Cool race, awesome bucket hats :)Well done guys!",1
Michael Collins,2019-09-18T01:16:33Z,Soundtrack?,1
graham gillies,2019-06-29T07:52:08Z,"good vid - you could cut out the presenter though, he disappears by the end anyway",4
William Ward,2019-05-29T06:48:15Z,"Love the riders that are so real and don't try and gloss over the fact that racing is absolutely brutal..and despite being in some of the most beautiful places on Earth, most of the time, these riders are in the hurt locker. Guess that's what makes cycling such a crazy and addicting sport.",21
weera warakul,2019-03-17T05:34:20Z,Beautiful,1
Wü Di,2019-03-13T13:00:34Z,"whats the Name of the Hoodie - lachlan is wearing at 0:51 ?  Simon is wearing a Transfer jacket at 3:15, Right?? cheers mates, ride on",0
Alex Rodriguez,2019-03-13T01:59:30Z,I thought Lachlan Morton was American???,1
Sills71,2019-03-13T01:07:59Z,don't see the stupid ""system six"" crap bike in this vid...  or disk brakes.....,0
Nathan Johnson,2019-03-12T11:01:16Z,"Si, un Classico, mi piace",1
Simon Knowles,2019-03-12T08:15:45Z,Onya clarky from Australia,2
Simon Knowles,2019-03-12T08:11:06Z,Where can you get the bucket hats please,3
Chris Dutton,2019-03-12T03:11:00Z,Great video!,1
Daniele Banchi,2019-03-12T01:03:26Z,great to see this video,1
Allegro Alessandro,2019-03-11T21:39:46Z,"I was there, I love this race, grande Simon !",2
Florian Friedrich,2019-03-11T20:30:34Z,love these videos,1
Timothy Topor,2019-03-11T19:14:04Z,FIre,1
Yevhen,2019-03-11T18:27:10Z,When will Rapha Radio?,1
Garth Garthly,2019-03-11T17:36:26Z,These videos are good.,1
Various Styles,2019-03-11T16:53:31Z,Why so short?,1
Alex Jouvikin,2019-03-11T16:48:58Z,Well produced episode 👏🏻,2
Charlie Carabello,2019-03-11T16:24:05Z,more gorgeous filming. Cheers and Ciao!,5
Mani Matter,2019-03-11T16:04:32Z,No EPO Required,1
Mani Matter,2019-03-11T16:03:45Z,Last,0
