Joshua Langlais,2021-08-08T04:38:39Z,Fucking beautiful!,1
Michael Montalvo,2021-03-19T04:37:39Z,I never get tired of watching this video. So inspirational.,2
SkeetSystem,2021-01-17T07:05:18Z,""this is vodafone saying my internet is over"" LMAO,0
Tyler Durden,2020-12-06T14:57:28Z,7.23 ""Mydoping..."",0
Devdutt Menon,2020-07-17T17:09:54Z,The dislikes are from people who misclicked the like button,1
Tom Dwyer,2020-04-09T03:56:51Z,I love these; please endure.,0
Hc Maui,2020-04-05T08:00:13Z,Here in tuscany we still cheering for Alberto!,2
mlg8605,2020-03-31T00:02:56Z,Lets go!!!! Great job!!!!,1
If Only,2020-03-08T14:51:45Z,If this doesn't put a smile on your face than what does ?,0
Michael Montalvo,2019-12-22T13:58:49Z,Love the emotion of the soigners. They pour themselves into the riders and the sport. Got a little choked up myself.,1
maisterjj,2019-08-31T22:17:23Z,Alberto can win more than the tour van vlandres...,1
Brett Bale,2019-07-18T23:32:25Z,Phinney needs to just buy a van go to burning man and set up camp for a decade.,2
Jayson Mitchell,2019-05-07T05:27:30Z,So much bubbly...,1
JMS,2019-05-04T11:19:27Z,This bid has the same vibe as Hayman winning Roubaix. It’s made me a fan.,2
Jorge Trives,2019-04-28T09:22:41Z,Equipo guerrillero donde los haya....me recuerda al kelme..por eso los sigo....,0
Newwaveson,2019-04-23T12:28:34Z,"great piece of work by all of the team. Alberto is a Gent, loved the pre race clip about giving 110% and the team talk at the post race party. #Classy",2
Nicolò Weiss,2019-04-23T11:28:02Z,"much respect for Bettiol saying he'd be happy giving 110%, without talking about positions.",1
Peter Brendan,2019-04-18T13:05:55Z,Super awesome! Let's hope EF gets a taste of winning and grabs some more wins this year!,1
Christian Cummins,2019-04-17T07:53:37Z,"It was my first time in Flanders, tasting the passion for Cycling. i found it utterly intoxicating  https://youtu.be/PZghs06DemA",0
si no ya no sería un Guiro,2019-04-16T13:02:06Z,Hora me da a pensar en u a tentado Asia el tesoro ystorico  como es la Catedral de Notradaum es desde la época medieval un tesoro para la unidad Mundial des pues de la Catedral de México es lo que mas yo amo a pasar que noconosco esa Bella Catedral de Notradaum,1
yilmanbabilonia,2019-04-16T01:37:35Z,As soon as I saw him take off. I knew he was gonna win.,0
freshjiv,2019-04-15T12:56:58Z,hipster brand lol,1
daniele camboni,2019-04-14T10:41:12Z,"guardate il msg di  Pippo pozzato  al min 7,21 ""mi faccio una.....  hahahahahaha grande!!!!",0
CycloCop,2019-04-13T18:17:04Z,Happy for them 👍,0
Coffee Ride,2019-04-13T17:13:23Z,Taylor Phinney is the biggest hipster in the pro-peloton ... I had no idea!,0
Ross Pokorny,2019-04-13T13:45:54Z,Thanks for spoiling the finish for those who have not seen it. IDIOT!,0
Dave Young,2019-04-13T09:11:32Z,"Amazing win and an amazing way to win, well done to Alberto and well done to the team, the soigneur in bits, shows that it's a team effort.",1
Sons of Jesse,2019-04-13T03:39:25Z,THANK YOU RAPHA...people  need to see this side of the sport!!! Great production.,1
Oswin Calderón,2019-04-13T02:43:55Z,What a video!!!,1
DaveForNow,2019-04-13T02:14:54Z,You can’t help but like the guy and the team!,0
Saul Hernan Cifuentes Pardo,2019-04-13T00:40:28Z,Sueño con algùn dia estar en Belgica para presenciar estas competencias. Genial el video.,1
lee dorney,2019-04-12T22:47:18Z,Truly beautiful,1
athleticman,2019-04-12T19:49:54Z,Great win,1
Charles Knight,2019-04-12T18:34:02Z,So happy for this,0
Matt Gholson,2019-04-12T11:11:00Z,how insane is it that his first pro win is a monument!,11
Simon Acker,2019-04-12T10:41:32Z,Vaughters has shape-shifted into Paul Giamatti.,10
ArnageLM,2019-04-12T09:58:14Z,Yesss!!! Awesome video! Brings tears to my eyes. Well played EF!,6
Keis Layzell,2019-04-12T08:45:56Z,As long as you put in 110 per cent you can get in the bus happy? You did rather considerably more than that. What a way to get your first professional win.Chapeau to you Sir!!!,5
hapuka66 jones,2019-04-12T08:20:30Z,Bravo Alberto!,1
Cyclend,2019-04-12T08:07:22Z,The message from Pippo at 7:22 ahahaha,1
banuna,2019-04-12T07:15:41Z,I call this Kit doping,0
Komsan Karnbanchee🚵🏽,2019-04-12T00:27:15Z,Rapha make them faster,1
c-record,2019-04-11T23:11:58Z,"Bettiol = underrated, Phinney = overrated AF",2
Jason Riley,2019-04-11T22:40:34Z,Amazing! Great video showing the emotions. So great!,0
Min-yi Shen,2019-04-11T20:37:34Z,It must be fun eating Pasta in a Big Yellow Mustang in Pink.,1
mario,2019-04-11T20:30:21Z,"Great win Alberto, Matti, Sep, Sebas and all the team, especially JV. He's got the talent, and now to find the confidence. QuickStep can't win everything, and you guys showed! Bravissimo!!",1
Greg Stevenson,2019-04-11T20:02:29Z,"What a superb short story. I don't think edits get much better than that. Well done Rapha and EF, but even better the film makers. Enjoy.",14
Carlo Balzer,2019-04-11T20:00:11Z,He was 25 -1 win last Sunday,2
inmymind 80,2019-04-11T19:46:35Z,Italians do it better,0
mjv1967,2019-04-11T19:37:04Z,Great team spirit!,0
Timothy Topor,2019-04-11T17:28:13Z,sooo goood i watch and like these on both channels to show the support go EF & Rapha,2
Dirk B Cycling,2019-04-11T16:41:30Z,"A very nice video!Is it possible to get permission from you to use a small part of this video? I''m making a video of th last 5 winners Tour of Flanders.Naturally, mentioning the link to your video of course.I am waiting hopely for a good answerThanks in advance.When its finished i send you the clip!Regards Dirk B",2
Hulk Truck,2019-04-11T16:30:06Z,4:38 thought that was Phil gaimon LOL,1
cehlers41,2019-04-11T16:27:59Z,I love it!!!! What a great team and what a great winner.,1
Montana Jones,2019-04-11T15:42:33Z,I can't get enough of the pink.  Always luv'd the pink but now I want the pink.,3
J. Zee,2019-04-11T14:55:59Z,Perfect person to have won this race!! Awesome!!,2
javier oviedo,2019-04-11T14:44:09Z,Humble and honest! True champion!!!,5
Eurobubble70,2019-04-11T13:57:46Z,"his attack on the kwaremont was massive, without a question the strongest rider that day.",1
Ross Moore-Far,2019-04-11T13:34:05Z,What an enjoyable video!!!!! Bravo!!!!!,0
Wander Almeida,2019-04-11T13:26:29Z,Congrats Bettiol and EF! Best regards from Brazil.,4
Ezio Sala,2019-04-11T09:55:54Z,"grazie Alberto Bettiol !! emozione pura !!  un italiano che vince all'estero (e che ""estero""!!!) e' per me il massimo assoluto, complimenti al video Rapha.",11
Bill McCall,2019-04-11T08:23:50Z,"It is videos like this that [sell] cycling to the world.  Your athletes benefit, your team benefits, the race/event benefits and cycling (yeah, even the UCI) benefits.  A great team with great characters shared in a way that makes fans smile. Applause for the video crew and thank you to everyone who allowed themselves to be interviewed.  Oh and...  Great job Mr. Bettiol!",81
Stuart McGill,2019-04-11T08:02:23Z,"Thanks for this touching insight into what a (not just cycling) team is REALLY about! It beautifully shows the selfless effort, sacrifice and absolute passion, which allows people (collectively) to do amazing things and reach unimagined heights. Alberto remains humble and grateful throughout; a true champion! Enjoy your yellow Mustang and many more successes ;-))) Well deserved!",24
Fitfriends,2019-04-11T07:43:27Z,"I enjoyed that... thank you.  Refreshing to witness a new name and a new face that nobody mentioned before the race,  Good on you EF.",7
JonnyInToronto,2019-04-11T02:33:00Z,"What a nice guy, congrats on the win!",15
C. Medina,2019-04-11T02:30:24Z,What an achievement 👏👏👏,0
Le Président,2019-04-11T02:09:59Z,Who is the Mo**er F**ker who put a DISLIKE on it?,0
Yilan Ryan HUANG,2019-04-11T01:23:11Z,Nice video but I do still miss Race Radio more fun and celebration of cycling as such.,2
