Aaron ___,2019-03-22T00:09:52Z,Can someone provide me with a link for one of these horns?,0
Dun Kno,2019-01-25T21:40:06Z,duno bout dem man der,0
s3cr3td00rindar00m,2018-09-22T05:40:28Z,Why they’re not in the Vuelta too? :( hope this section doesn’t disappear,0
TheFragrantVagrant,2018-07-31T14:40:39Z,"No matter how long it takes, I will get myself a Rapha Race Radio t-shirt someday.",0
Joe Eisenbeis,2018-07-31T01:58:26Z,These shows started out a little slow but damn these last two TDF shows are awesome!,0
Eachann Gillies,2018-07-28T08:02:08Z,great work as ever. Looking forward to the Vuelta!,0
Ben Whitmore,2018-07-27T22:38:13Z,Love this show so much! Breath of fresh air,0
Matthew Addison,2018-07-27T20:57:53Z,"Great content guys, when can we get our hands on that camo shirt, keen !",2
Just the Pip,2018-07-27T19:18:17Z,Thumbed it up before the video even started. Glad I wasn't wrong.,0
Tom Osborne,2018-07-27T17:34:33Z,Such a breath of fresh air to cycling.,1
Robert Beer,2018-07-27T17:13:51Z,So much Quality,0
Luca Agati,2018-07-27T14:26:49Z,This show is so good!,2
MartyGG12,2018-07-27T14:03:11Z,You guys Rock!,0
jfafactory777,2018-07-27T12:38:16Z,ピレネー行きたい！,0
David O'Doherty,2018-07-27T10:00:22Z,I do like Potatoes,0
