Marci and John,2022-11-05T00:37:01Z,Who books this tour?,0
Tim Taylor,2022-08-18T15:11:36Z,lance did it better,0
Tim Taylor,2022-08-18T14:32:25Z,whats up with this ralph brand do the live up to hype or no?,0
Matthew Zapf,2022-06-22T15:36:02Z,"One of the most moving, motivating and powerful pieces I’ve seen.",3
Mr.marcos torres,2021-11-20T01:03:48Z,"Mis respetos, que vivan los sueños, ni un paso atrás, Love Rapha.........",2
Juels Major,2021-11-02T21:45:22Z,"Someone sent me this when I was at a very low ebb I have terminal rare appendix cancer and I am mostly alone to deal with it.  Before my diagnosis I was cycling and hiking, love the outdoors and nature, love camping and just being.  Today I struggle to see sense in it all, my pain is increasing and I am unable to cycle or walk far and feel my life is over but now I have to suffer the pain to reach that end.  After reaching out on Facebook someone sent me this video, from this day forth I will watch this every day and I know it’ll change my mindset. My cancer is incurable and now it’s a waiting game but I’m determined that my last breath will be taken doing what I love, cycling, walking and being with nature.  This video is my inspiration until my final breath Thank you for this great video and the truest words I’ve heard in a long time. Hope is all I have left.",3
Ernest Aldrin Espino,2021-10-20T11:49:22Z,I always come back here to renew my motivation to ride.,1
Herbert Orellana,2021-07-25T06:03:28Z,😭,0
Dave Vaughn,2021-03-19T13:55:20Z,Your a inspiration for everyone out there. Thanks so much for sharing your story.,0
Cheryl Parrish,2021-03-09T02:11:31Z,"I was given six months to live at 37 with multiple myeloma.  I had breast cancer at 30. Two bone-marrow transplants, years of chemo.   Mountain biking saved my life.... I took my first spin class during chemo.  Ride on, my friend.  Thank you for sharing this.  Most of my bikes have ""easier than cancer"" on them...my new Moots is engraved with it.",16
Grant Kaiser,2021-02-16T17:00:48Z,A beautiful film and a wonderful person taking what he can control on.  What more can be said really.,1
Robert,2021-01-28T12:31:23Z,"I was diagnosed with testicular cancer in 1993. I had radiotherapy only, so I think I was very lucky. I remember seeing the puir souls who were receiving chemo!at the Glasgow hospital I attended, sitting in their chairs with the ubiquitous drips attached to their arms.Cancer takes away choice (as Justin says), and to a certain extent dignity. Watching this man’s determination to tell cancer that he would make definitive choices every day is both humbling and inspirational. Lang may yer lum reek, Justin.",4
Mark Payne,2021-01-21T02:37:43Z,A very brave and inspiring man.,0
Chrima One,2020-10-24T23:29:05Z,Watching this makes me happy and sad at the same time. ... sad because I always thought I have a hard time .. and I saw this and I saw That he is suffering so much.  And I am freakin happy about the Way he choose and I am happy to see him riding.  I love it.  And that’s why I love cYcling so much.  It’s a simple thing but it can change everything ❤️ you are awesome ❤️,1
Tim Marrian,2020-09-25T13:54:05Z,"This is unreal, truly inspirational!!! Love the pure joy and optimism for life.",3
Marek Kapusta,2020-07-14T17:52:51Z,Waw,0
Shawn Clark,2020-06-23T16:34:31Z,"Man, I cry every time I watch this.",0
Shawn Clark,2020-06-23T16:33:15Z,Love this !!!,0
Dimitri Zlatarev,2020-06-20T12:24:12Z,I will never take another day for granted.....from time to time Videos like these put things in my life into perspective. What a powerful video. Godspeed chap,6
