Brian Rahl,2021-09-01T20:10:02Z,"In my opinion, this is the finest Rapha film.",0
Hastin Nuraini,2019-03-10T22:06:56Z,yes,0
Amer عامر ALotebi,2017-12-06T16:34:03Z,So really nice relax and enjoy the ride wonderful seeing,0
J Silva,2017-11-04T14:08:02Z,"The Raphael continental videos inspired me to ride more, they made me fall in love with the sport.  The videos captured the raw essence of cycling. I love them and wish they would come back.",1
Segreteria Valcismon,2017-11-04T08:01:32Z,SUPER!...,0
Rubens Loor,2017-11-02T23:14:25Z,"A very special way, to live cycling, no races, no time trials, just ride with your friends!!!",7
Игорь Чистяков,2017-11-02T22:46:18Z,Музыка!!!,0
lbmcr,2017-11-02T20:55:48Z,Whats the music .... anyone ?,2
Susana Carrera,2017-11-02T19:08:42Z,You don't need a gravel bike for road aventure!,3
Niels Falk,2017-11-02T18:46:17Z,The Rapha Continental videos got me back in to cycling after 25 years off the bike. They will forever be my inspiration. Thank you!,6
David O Brien,2017-11-02T16:06:50Z,Beauty,0
RACER RINALDO,2017-11-02T14:40:12Z,berrycool,0
irwan shah,2017-11-02T14:23:28Z,Awesome!,0
Ross Moore-Far,2017-11-02T13:48:43Z,Cool!,0
