Yurigo Photography,2020-07-20T15:36:42Z,Love it..,0
Bali Bike Holiday,2020-07-04T03:48:29Z,Always fun on a group ride🤙,0
Yurigo Photography,2020-06-19T11:47:36Z,nice movie... greetings from Indonesia.,0
Marcus Cheung,2020-04-05T10:42:30Z,"Make a clubhouse at Beijing, cycling is getting big here.",1
ACDC.,2020-02-10T12:32:00Z,SECT,0
Light Wolf Studio,2020-02-07T18:10:52Z,That's what cycling is about: Smiling!,1
Edo,2020-02-01T13:16:58Z,Worst on line shopping experience ever ... all this coolnes for nothing,0
Axel Beckmann,2020-01-31T19:07:30Z,Zürich  please 😀,0
Ian Markham,2020-01-30T18:15:48Z,0:26 is that Ivinghoe Beacon?,1
Ty's Rides,2020-01-30T00:11:04Z,Nice edit! I wanna be a member now.,1
tz1,2020-01-29T21:06:32Z,open up shop in Vancouver BC and I will buy your membership 😀,5
John Trussell,2020-01-29T02:40:24Z,Wish you would open one in Philadelphia,1
MrFornicater,2020-01-29T01:05:27Z,"Interesting that the video only shows people in their 20s-30s, the actual RCC membership demographic is much older.",19
Costas Mandylor,2020-01-28T23:06:10Z,Whoever is the head of marketing at Rapha definitely deserves a raise!!,3
AussieInJapan,2020-01-28T22:41:29Z,Great to see some Tokyo love and some of our Tokyo friends in the video.,4
Archie Atkinson,2020-01-28T22:13:13Z,RAPHA RAPHA RAPHA,2
kernplace37,2020-01-28T20:10:55Z,"20,000 Graphic Designers",7
S CC,2020-01-28T20:07:22Z,Rapha is the weirdest cult. Especially at their stores.,15
Timothy Topor,2020-01-28T19:19:14Z,I like the new strategy and understand its purpose. Nice work Rapha and cheers to 2020 goals,3
Ash Staniland,2020-01-28T19:07:38Z,"Oh shit, people have noticed we are not friendly. Put a friendly video out quick.",3
swampymaan,2020-01-28T18:42:51Z,...making ""a friend video"" for the youtube-generation that has no friends,5
