M1N9,2021-10-03T11:49:30Z,서울 영상보다 이게 훨씬 멋지네.,0
원길튜브,2021-05-17T08:00:24Z,국뽕 지렸다..,0
histeriamassal2,2020-10-23T10:57:27Z,Music reminds me of Interstellar soundtrack,0
Pengclub,2019-02-28T03:14:07Z,Great film!,0
Brazuca Real,2018-11-30T03:50:43Z,The best part of the  video at second 00:00:38 is the dude smoking,2
Rico Uk,2018-09-03T08:56:49Z,Great editing! 🔥,2
Ben Chen,2018-03-27T15:26:16Z,What's the music,0
M Batley,2017-07-17T23:32:54Z,Kamsa Hamnida!,1
Bo Kristensen,2017-04-03T21:10:20Z,Great vid. FYI: ""Executive Director"" is spelled incorrectly in the end credits.,0
livibam,2017-03-22T07:54:38Z,looked like a hard day out..,0
Brazuca Real,2017-03-22T04:22:19Z,"The weakest of all Rapha videos, honestly. Sorry. ",2
Matthew Lane,2017-03-22T02:36:53Z,Great great content!  Keep it up Rapha,0
John Thomas,2017-03-21T21:49:50Z,Sometimes words just get in the way.,3
Johe Videos,2017-03-21T21:22:51Z,Nice vidéo,0
N HUG,2017-03-21T18:02:22Z,Ganz geil,1
François Jarzabek,2017-03-21T16:54:04Z,2:43 stunning shot I love it,15
Mani Matter,2017-03-21T16:31:32Z,Pure Love,0
