AOK,2019-12-23T17:37:33Z,Go K I W I  P O W E R 💪💪,0
chiguazo,2019-07-20T17:03:50Z,"Team really messed up on that crosswind stage, other than that good job so far and a little bad luck with TJ and Woods.",0
freshjiv,2019-07-20T12:24:09Z,EF riders are gay? Why do they wear Rapha?,0
GENESIS,2019-07-20T10:16:06Z,man SL's hair doesn't get much more perfect then that !,0
Discover Life Media,2019-07-20T08:22:41Z,Two thumbs up from me!,0
Roslyn Dons,2019-07-20T07:52:39Z,We New Zealanders are super proud and admire Tom Scully ... all the best for the remainder of the tour guys,1
Moto Werkz,2019-07-20T04:57:31Z,my nigga straight killin it. Wish i would have been racing in my early 20s I'd be right there with you my dood. No CAP ;-),0
Rudi H,2019-07-20T01:41:17Z,Anyone knows what the soundtrack in the video opening,0
Marvin,2019-07-19T19:25:06Z,Really love the work between Rapha & EF. EF become really quick one of my favorite teams 🙏,16
Евгений Зимовский,2019-07-19T19:02:23Z,Better than ""game of thrones"",2
Bikes with Brad,2019-07-19T18:15:57Z,What as awesome panning shot from 4:25-4:55.,38
sandrochiavaro,2019-07-19T18:01:02Z,Keep up the great content guys/gals 👌🏽,4
