Steven Mcfarlane,2022-12-10T23:14:34Z,"Cycling, whisky, food , music and bass guitar. My passions. Jaco Pastorius at 2.26. Love it 🥃🏴󠁧󠁢󠁳󠁣󠁴󠁿👍",0
Alexander Novicov,2022-10-11T11:19:44Z,I'm new to cycling and I'm new to Rapha and I can say I starting to like more and more the brand. Well done to the team. I love my new Rapha Gear,1
Mr LIFETIME,2022-08-23T20:59:35Z,i can’t help but wonder if the earlier members of rapha cc feel that the soul of the brand has diminished since they sold most of the company to Walmart brothers a few years ago,0
rube3k,2022-03-30T21:07:54Z,Ffs. Just take my damn money.,1
breathestrongcycling,2022-03-01T01:27:22Z,"Sad to see that such a focused, innovative and unique company has now become a confused directionless mess ....",0
Rolf Fuchs,2021-12-23T14:17:57Z,And now (2022) Simon is no longer CEO. I hope the spirit will carry on. I start my festive 500 tomorrow.,0
tutelarius,2021-10-02T09:49:02Z,2:00 - bought my first Rapha products from Condor.,0
victorsentme,2021-09-03T20:27:50Z,"What specifically is the Why though? Didn’t here it expressly articulated. Was it “Make people’s lives better when they really get into it.”?Can see the How and the What, but want to understand my gap.",0
BASE,2021-07-18T12:01:41Z,So good!,0
Catálogo de Fantasmas,2021-06-28T20:59:05Z,"El Jardinerito, the little gardener. I remember listening to the radio broadcast of Carlos Arturo Rueda C. narrating the feat of Lucho Herrera in the Tour de France. July 13, 1985.",1
Mr.marcos torres,2021-06-11T13:27:52Z,"Amo Rapha, saludos desde Medellín Colombia.....",0
Sills71,2021-06-06T01:11:47Z,Aspirational sport = rich douche bags,0
De Cnijf Kris,2021-04-10T09:32:17Z,"very good, stylish",0
Taylor Squillaci,2020-06-20T20:13:48Z,You guys can poop in your expensive caps and then wear them,1
Night-ym-,2020-04-11T19:17:57Z,"Can’t afford to drive. I’ve heard that one before. If it wasn’t for cycling, I would be dead by now. ❤️ cycling",0
niko sanz,2020-02-20T16:17:34Z,I want to become part of the club and also share my story of being cyclist in the Philippines X Commuter.,1
Christian M.,2019-06-27T19:39:45Z,You are talking about experience. I have a suggestion for all rapha guys. Go through the online repair process with an iPad. Have fun. That experience you won‘t miss.,0
Nicolas Colombo,2019-05-19T18:17:54Z,Would be good to feature more riders wearing a helmet....,4
Ivan C A,2019-04-30T19:52:25Z,"Me ha encantado el vídeo, me encanta la ropa Rapha, seguid así.",0
zeuszuki,2019-04-19T20:55:57Z,Generation hipster 😴,2
alexander cruz,2019-04-13T13:55:24Z,"Bello e inspirador su trabajo... un poco más en español... que no todos hablamos otros idiomas, aunque nuestro lenguaje es la bici",1
Diego R. Joubert,2018-11-03T18:27:51Z,I WANT THAT!!!!!!!! 2:24,0
pervertt,2018-02-08T12:15:32Z,Shame that a video like this only brings out the knockers and safety nazis. Why don't they wear helmets. Why is the gear so expensive. Companies like Rapha have raised the profile of cycling and showed there is more to it than sport or commuting. If they happen to make shitload of money along the way then good luck to them. I don't own a single Rapha product but harbour no envy or judgemental condescension to those who do.,5
Jennifer Sommer,2017-11-28T23:22:14Z,how do they film some of those biking shots? they're so steady!,2
Caleb Kramer,2017-11-19T06:06:08Z,🔥🔥🔥🔥🔥🔥,0
Oreo Carlton,2017-09-12T10:27:36Z,Brilliant clothing but so pretentious and yuppieish,6
year in golf,2017-06-26T08:34:25Z,i have 3 rules in life . 1. i only drive mercedes 2. i only date models 3. i only wear rapha.,21
Manuel Torres,2017-05-14T00:08:33Z,"So much bullshit in just one video, GREAT.",0
ned,2017-05-07T05:18:31Z,"I love rapha :) beautiful products, amazing company.",4
