BASE,2021-07-18T12:04:37Z,"Brilliant again, chapeau!",0
Sills71,2021-03-18T20:53:54Z,What's up with all the cheesy mustaches?,0
Minh Nguyen Ba,2021-03-04T17:32:26Z,Great film! Plus the guy driving the team car looks like Sacha Baron Cohen...😄,0
Adam,2021-01-29T15:54:57Z,This video has been edited to look like someone has accidentally taped a bicycle race over the beginning of a 70's porn film,0
Stephen Betley,2020-12-27T15:34:27Z,Here's to a dirty and hard Roubaix 2021.,0
mindciller,2020-11-21T09:09:02Z,Man the driver looks whooped worse than the riders,0
yasmine bellvue,2020-11-16T02:59:51Z,Mullet,0
Don Hill,2020-10-15T17:56:29Z,Was that Charly Wegelius in the Driving seat JESUS i raced against at J E James Years as a junior i use to ride for Seacroft Wheelers,0
Andrethetiny,2020-10-14T21:31:04Z,He broke his chainring?  What?!,0
Totalavulsion,2020-07-17T22:20:52Z,"Interested to know what came first, the wank moustaches or the Rapha sponsor?",1
Erick GaFu,2020-06-25T03:04:35Z,I thought this was a vintage video... got fooled by their stach and mullet haircut,0
Johan Gielen,2020-06-24T13:37:55Z,damn mustaches!,2
iamthesunnyboy,2020-06-20T16:03:41Z,How do you break a chainring?? I don't even understand how one would break suddenly to the point of being unable to continue.,2
James Portoraro,2020-06-12T07:18:11Z,"Thank you for making videos with honesty, and not some big promotional BS that is so often found...",0
The Cyclist,2020-06-11T03:27:06Z,Awesome Video,0
is.cycling,2020-04-25T09:32:05Z,"крутое кино, с крутыми интересными гонщиками, бывает что гонщик вроде и ЧМ, но скучный и двух слов связать не может, просто едет быстрее всех, а здесь именно хоть личности интересные из про пелотона.",0
Jon Suts,2020-04-15T20:20:39Z,So sick,0
Jamie Powell,2020-04-15T11:55:00Z,I swear Phinney always has the worst luck haha bless him,0
CéB 11EVEN,2020-04-15T01:35:41Z,"Sep Vanmarcke is probably one of the unluckiest rider in the peloton, along side Richie port",3
Gary,2020-04-14T16:36:04Z,The various teams that put out these videos are doing a great job. There's always a pattern a very similar pattern adopted to race tactics by many of these teams. Let Sagan do the work. Lol,0
Paul Edmonds,2020-04-09T21:17:37Z,"Charly is a fucking traitor. Rode for the Italian team in the world championships, shat on his own team, was never any good anyway. What a useless wanker to be in charge of a pro team.",0
Edgar Pereira,2020-04-07T21:07:56Z,That s the problem of electric gears,2
VR 4EVER,2020-04-07T18:07:55Z,Great video. Great Team effort still.,0
Joseph Dunbar,2020-04-07T12:17:08Z,"Ahhhh yes, the mullet. A style that was “dropped” a while back.",15
Ilon Sofair,2020-04-07T10:24:36Z,What song is playing at the beginning? I've been searching for ages!!!,0
Reynaldo Dumalos Santos Jr.,2020-04-07T04:44:17Z,Mattew Hayman Forevah!,1
鳴かぬ蛍が身を焦がす,2020-04-05T15:31:06Z,Japanese sab please,0
If Only,2020-03-05T09:05:51Z,The stress man ! The stress !!,1
Michael Montalvo,2020-02-07T12:39:22Z,Great video! Showcases the heartbreak and grit of the “Hell of the North.”,1
Derek Wildash,2019-09-05T10:47:45Z,What a race!,0
rswc55,2019-07-10T21:51:25Z,Fantastic production and content.  Thank you.  Brilliant.  Still hurts to see Sep lose it.,4
butane bear,2019-07-01T16:34:59Z,Epic story telling here.   EF quickly becoming one of my favourite squads.,3
Rudy Elizondo,2019-06-23T01:42:06Z,"Very cool, sorry about Taylor",0
JMS,2019-05-04T11:05:02Z,"What a great, honest record of the emotions and experiences before and through the race. This kind of insight is invaluable in connecting fans to teams, IMO. I never gave a shit about Cannondale or Cannondale Drapac, but suddenly Susan, you’re interesting.Best of luck for the upcoming season. Also, glad to see pink being a viable colour again. It bugs me that it’s such a rare colour in men’s attire.",6
Goodbarsix,2019-04-26T02:45:43Z,Hard to ""Like"" this for poor Vanmarcke. Great vid though!,2
ding dong,2019-04-24T14:26:04Z,you rapha people are a circus !!,1
Timothy Topor,2019-04-22T16:02:06Z,well done boys how do you break your chainring? pure power i guess,1
Indoor Cycling Bike Repair and Service,2019-04-22T03:34:48Z,Compare road racing 2 mountain bike racing -   If you were selected to ride Paris roubaix and you had a mechanical and subsequently dropped - would you continue the race and finish?  Hell yes I would - I would never drop out unless I was injured and couldn't continue or the broom wagon swept me up.,0
Indoor Cycling Bike Repair and Service,2019-04-22T03:32:31Z,@6:18 ""my derailleur stopped working."" What is your guess why the derailleur stopped working?Di2 batteries dead? I'm not sure if team EF is on Shimano or Scram?,2
Robb Chastain,2019-04-21T23:33:23Z,"A beautiful win at Flanders, a painful day at Roubaix, but that's racing, as they say.  Thanks for this, Rapha Films.",3
Stuart Dryer,2019-04-21T18:16:52Z,Really good video.  I'm now a fan.,0
Malcolm Corbett,2019-04-21T17:09:55Z,Good honest video 👍🏻,0
Ivan Melamud,2019-04-21T15:55:22Z,Excellent behind the scenes look at the classics. Great job!,1
Peter Brendan,2019-04-21T15:52:30Z,"Ha just like Lance said, they just drove right past him. Sh*t show team. Alberto Bettiol should leave that team the first chance he gets.",1
durianrider,2019-04-21T14:23:05Z,What is up with the whiny attitude of Sep and Taylor? `His chainring looked fine and you have 2 on any bike. Keep pushing!,7
Simon Knowles,2019-04-21T09:29:50Z,Your day is close Mitch. Keep the faith,0
M Smith,2019-04-21T09:29:20Z,Well done guys - love this team.,0
nbroleur,2019-04-21T08:41:16Z,"awesome content, love the final scene, it says so much",4
MauGowes,2019-04-21T06:20:47Z,goosebumps,0
Fluffy Domo,2019-04-21T06:17:35Z,ye,0
Dan d'Auvergne-Massie,2019-04-21T05:33:39Z,These insights into the team are great. Thanks!,0
Richard Hansen,2019-04-21T00:55:58Z,"All you can give is your best.  In the end lady luck is a big part of this race. Amazing footage...awesome to see a team at work in the heat of battle,   Go you good things!",0
Simon Rafuse,2019-04-21T00:52:00Z,"Whoever is putting together these videos is doing a heck of a job. Keep it up, enjoying them very much!",112
Philip Dicks,2019-04-20T23:07:05Z,Yeah great videos,0
AOH,2019-04-20T22:56:58Z,"Not a tremendous endorsement of this year's Cannondale component spec. Cracked chain ring, mysteriously dead derailleur, it's a hard race for sure, but that crazy bastard riding a bianchi crashed his bike and still caught the main bunch. That being said, I love this team and I love Cannondale on most days, just not on this particular day.",1
Justin Hanneken,2019-04-20T21:53:17Z,These episodes are excellent! Keep up the great work team EF!,5
ippusor,2019-04-20T20:34:33Z,"I’m just like Sep, we don’t win races",0
CycoWarriorx,2019-04-20T19:13:54Z,"I can’t believe they drove right past him. I get it’s a lot of confusion, but if anything to take away from this, IMO, is the need for better communication.",6
LaJaSaWaTa Mitchell,2019-04-20T18:23:38Z,Bring back Harry Dowdney,3
Florian Land,2019-04-20T18:03:03Z,"Epic look behind the scenes again, totally love the series! Such a shame it didn't work out for sep with a podium... They surely would have earned it!",31
jasper renema,2019-04-20T18:01:36Z,"Awesome video! Next year, try again!",1
x$9u38PdD,2019-04-20T17:27:56Z,4:08 Someone forgot to cut out that fragment with closeup on Phinney's giro shoes,6
Nicolas Castro,2019-04-20T16:57:51Z,"Increíble el vídeo, son cada vez mejores, transmiten muchas sensaciones, sentimientos, me alegro mucho por todo el equipo la temporada que están haciendo. El otro día Alberto, y siempre Sep luchando al frente, los felicito muchachos, son grandes!!!! Abrazo desde Bahía Blanca Buenos Aires Argentina!!!!",1
Neo Payne,2019-04-20T16:45:07Z,luck luck luckall he need is luckdamnmit!!!,7
Henrique Ximenes,2019-04-20T16:01:32Z,Tears came and I'm not ashamed. Amazing ride by Vanmarcke. Looking forward to next year.,18
Montana Jones,2019-04-20T15:29:50Z,What can you say?  EF's bad luck continues but they're the team that is punching way above their pay grade this year despite this.  Kudos to the team.,66
