Tom Williamson,2023-01-02T22:35:58Z,"Love all these films. Just something about them.I do get a bit frustrated with all the “oh I’m so laid back about cycling” thing. No di2 charger on a trip like this? I’d probably call BS on that.Anyway, really enjoyed this and thanks for showing the extreme Canada. Hope there is more to come in the future.",0
firsthippy,2022-11-24T23:03:05Z,"@raphafilms Sami's name is misspelled in the film blurb. Sauri not Saudi. Now, on with the show!",0
Ari Lehman,2022-10-29T21:17:29Z,Please invite Juliana Buhring to your next Rapha Films long distance ride. She was in the ""Inspired to Ride"" film with the late great Mike Hall.,0
David Jante,2022-10-27T23:46:37Z,Really resonated with Gus' realization of the lack of empathy in riding,0
Robert Markle,2022-01-24T13:17:18Z,This is the second cycling video/trip I’ve seen that the same person has knee issues that effect the group! Perhaps that person needs to reevaluate their distance goals?,0
Gravel Pack,2021-11-27T20:41:21Z,Journeys about people not performance I freaking love it,0
Sb Sb,2021-10-31T09:08:21Z,Disc brakes ruined the look and the aerodynamic of the bicycles. 😞,1
Sb Sb,2021-10-31T00:05:04Z,"On a long trip, use flat pedals to prevent from getting knee injuries. Clip in pedals are just to prevent slippage, they are not more efficient. Flat pedals are better in most situation, unless you are going racing.",1
maconSTUFF,2021-10-27T07:49:37Z,Oh how I long for a trip like this... Nice one Dan... greetings from Namibia!,0
Peter Vollers,2021-10-17T21:41:37Z,Love love love how you guys thoroughly and authentically connect w local people along the way.  Just so rad.,0
Rich Ross,2021-09-29T01:12:40Z,"The film is awesome, inspiring, etc....  But, the soundtrack.  Love it!",0
Sills71,2021-09-23T10:21:54Z,Gus...   ""there is no right way to ride a bike""...   WRONG....  THERE IS NO WRONG WAY TO RIDE A BIKE...,0
blutch222,2021-06-19T13:43:10Z,What did the car carry for them?,0
Nigel Coelho,2021-05-27T08:42:04Z,Great film! Love that shit 👍,0
Kumiss Penashue,2021-05-04T03:01:56Z,"I’m from Sheshatshiu, across the River from North West River, I remember in the late 2000’s, my dad and I met a bicyclist on the highway between Churchill Falls and Goose, he biked all the way from New York, my dad invited him to our house for supper. I can’t remember his name, but he wanted to cook supper, so my mom said okay and then he took out his dirty, dusty bag of vegetables lol, after my mom seen the bag, she told him to use the our fresh vegetables instead. After supper, he asked my dad where he could get some “green”, my dad took out his stash and they both got high that day lol, he had website documenting his travels but I can’t remember it",0
Alex,2021-04-26T22:19:46Z,Love these videos. constantly got a grin on my face while watching.,0
Ciclista del Sur,2021-04-17T23:12:51Z,what's the son in the intro scene? the guitar solo...,0
TheSimpleCommenter,2021-04-11T11:46:04Z,Racing is not for everyone. Enjoy the ride. Ride your own pace.,0
Chris Weeks,2021-04-07T01:22:32Z,Yes by,0
The Adventures of Grenville (Melonseed Skiff #496),2021-03-27T04:54:04Z,Two thumbs up and well done from a beginning cyclist in Montreal. Unique perspective on a special part of Canada. Thanks and Hold Fast!,0
june cadarao tv,2021-03-02T17:03:41Z,"awesome bike ,",0
Bear,2021-03-01T09:51:14Z,I cant find the xtc slr 2 on their UK website is it just called the xtc slr 29 now?,0
Red Doe,2021-02-17T07:28:23Z,props for her to ride with the boys,1
Thomas Johnson,2021-02-15T17:41:07Z,When he was offered Whiskey an Sausages on the side of the Road And Accept He WON  the Internet in my book.,0
Helmi Wijaya,2021-01-31T08:27:57Z,deserves more views,0
Pat briggs,2021-01-17T19:04:04Z,"I had to laugh when he said, I’m 35 and at the end of my cycling career 🤣😂🤣😂, what, it’s not even started yet. There’s guys 70, 80 and still competing.  Hence I turned this off. They’ve no idea",0
Kevin McAteer,2021-01-16T01:34:20Z,Do these guys put anyone else to sleep!?,0
Neri Garcia,2021-01-14T18:04:23Z,The intro scene is awesome. I like the juxtposition.,1
Mark Flolid,2020-12-28T04:58:38Z,"Nice start in Boulder. You should just ride the GravelRado with me, Boulder to CB. All gravel, high mountains on the old railroad beds.",2
P J,2020-12-26T15:42:06Z,Gus needs to tighten his helmet strap properly.,0
Leks,2020-12-26T13:31:50Z,This is so beautiful and well done! You guys rocked it <3,1
