てっちゃん,2022-10-17T10:50:35Z,sound is city that's neat,0
Benjamin R. Smith,2022-07-15T21:20:32Z,This is possibly the lamest cycling video out there. Rapha is for pussies.,0
Catálogo de Fantasmas,2021-06-28T15:33:19Z,These short movies are simply stunning. I'd love to see some riders from LatAm tho.,4
Robert Gubbins,2020-10-09T21:12:09Z,"Pro Cyclist, no lights at 4:30am, shame.",1
thetalkingfly,2020-09-30T01:04:49Z,So good!,1
Blog Pedalare verso il cielo,2020-08-07T17:31:58Z,I video Rapha di qualche anno fa sono migliori. I video più recenti non mi piacciono . Perché Sono cambiati i ciclisti oppure sono cambiati i protagonisti dei video Rapha ?!,0
busco macho activo osito,2019-12-14T18:01:32Z,Toro rides NYC,0
Eddie Jack,2018-11-04T12:21:27Z,love.,0
Jesse Wilks,2018-10-24T03:40:20Z,who directed and edited this?,0
Antoine Morin-Prévost,2018-09-15T03:30:19Z,Rapha Rides Montreal PLEASE !!!,2
CycoWarriorx,2018-02-26T05:15:46Z,"I love these films, but what’s up with these before sunrise rides with no tail/headlights... I wouldn’t think of riding predawn, dressed in dark clothes and thru a 24 hour city.",19
Francisco Emiliano Pastrana,2017-12-05T23:32:23Z,ride Mexico City,2
Karen Kristopher,2017-09-28T03:17:36Z,Can't wait - heading to NyC from LA - one of my first stops .... Rapha ... Bike Up!,3
George J Gilles.:,2017-07-29T13:31:33Z,Awesome view.,0
Paul Smith,2017-05-23T01:53:28Z,Cycling even beats out working for Lehman Brothers.,7
Maurice,2017-05-22T12:53:07Z,"Very nice video, please come to Montreal....",1
Carsten Doig,2017-05-21T09:28:46Z,I would never ride over a manhole cover - surefire way to get a puncture or slip on the metal.,2
harmanhead1,2017-05-20T08:02:44Z,Did that car see me? No! Cos you go no lights!!,13
Veronica Micich,2017-05-19T22:40:50Z,I 💓 Eve Stephens!! Great vid,2
Jbird Perez,2017-05-19T03:11:41Z,that was good.. all me,0
Cristian Hamed / Le Domestique,2017-05-19T02:10:55Z,lovely video...!!!,0
"Thunderlab Digital Media, LLC",2017-05-19T00:30:48Z,Hit us up when for the Chicago vid!,2
Sky Flower,2017-05-19T00:01:19Z,First,0
