Scott Bert,2021-03-05T20:01:54Z,Great analysis thanks to the presenters.,0
Yusuke Takaki,2020-03-21T16:27:08Z,これを九州といっていいのか、、、、。　rides Fukuokaだね。,1
Sato M,2018-12-26T12:16:18Z,🔝,0
christiAnpure,2018-10-23T19:07:12Z,Looks like a really nice area! Thanks for the nice video on it :),0
Ikram Idris,2018-09-07T01:27:18Z,Now I miss Fukuoka </3,0
Blog Pedalare verso il cielo,2018-08-14T06:36:05Z,Belle immagini.....filosofia orientale.....mi piace.,0
ItsMinarmy,2018-08-11T13:44:14Z,Most underrated city in Japan,3
C345 OFR,2018-07-12T12:23:48Z,"Visual overload, had to watch this twice, with pauses second time. Would like to have seen the mountains and ocean he speaks of at 0:31 , though.",0
Raymond Chan,2018-06-21T12:29:25Z,Make me want to go visit Kyushu with my bike :),0
NoGood,2018-06-21T10:33:52Z,同じやつ？,2
