R,2023-01-24T17:45:04Z,Great film. Watching second time now. Lucky You are.,0
freddixon,2023-01-23T00:46:15Z,"Did they make it to the Santa Monica pier, that is the end of the route 66?",0
Adam Bolitho,2023-01-20T02:33:11Z,Is there a reason they aren’t wearing helmets?,0
Triple B,2023-01-07T17:07:53Z,It takes 11 days to complete the great American bike race from coast to coast. At least you guys had a good vacation.,0
Andrew Tice,2022-11-28T20:10:07Z,No helmets,0
joseph Schlichting,2022-10-13T04:02:59Z,This film is beyond amazing!! Thank you for making it!!!!,0
Krob777,2022-08-15T23:59:06Z,First dude quit his job to become jobless professional! How did he afford the trip?,0
Deborah Kocourek,2022-08-14T08:22:54Z,Of course the people from Illinois always want to talk about jeebus,0
J H,2022-08-07T20:55:13Z,no helmets? that`s dumb! otherwise great movie,0
Jesus,2022-04-11T23:22:27Z,I think it only got hard once hitting New Mexico and Arizona was cuz of the altitude and if you’re not in top top shape or used to it then you’ll struggle,0
Summer Kim,2022-04-08T14:36:33Z,What the fantastic 4!!! AMAZING,0
Shane Williams,2022-01-25T11:29:33Z,"Two years on, what a great watch. Amazing achievement.👏👏👏",0
backtoids,2022-01-21T12:50:17Z,americans like to talk,0
Tom Williamson,2022-01-16T22:06:22Z,Pat Drapac was a hitter in Melbourne crit scene back in the day,0
Nich Steele,2022-01-16T13:32:51Z,I love the description of the US.""A country at the crossroads of history"",0
KW,2021-12-31T05:39:49Z,Just don't understand the not wearing helmets,0
Keith Edginton,2021-12-29T22:07:30Z,An unwatchable video.,0
Gravel Pack,2021-11-27T20:34:32Z,Late to the party but love this film so good thanks for inspiring people to get out there.,0
Nathan Eide,2021-11-22T19:19:18Z,The dude in the house in St. Clair complaining about the racists was everything to me. One of the good ones. Thank you.,0
Robert Botta,2021-11-07T14:00:25Z,Great flick. I mean so damn good. Many many thanks!,0
Rick Bennett ART MUSIC VIDEO,2021-11-03T02:43:42Z,"Great film, but riding on US highways at night with NO helmet????",0
Wesley Matthee,2021-10-29T13:59:47Z,"@49:07 Yeeeehaaaa, eating a 2kg steak and carbs is how you fuel up for a 120mil ride.",0
Niall Wildwoode,2021-10-13T03:30:51Z,"Dusting off my bikes now, after hanging them up 10 years ago. I just wanna ride again. What an epic, beautifully created film. Those guys and lasses remind me of what it was to be young.",0
Rice Crash,2021-10-09T23:21:14Z,"As an Australian, when talking to Americans just nod in polite agreement.  If you can get past the wacky ideologies you will probably meet a nice person.",0
Melker Forssén,2021-10-09T09:52:03Z,That’s a rock band on bikes.,1
Oscar,2021-09-24T12:19:02Z,"Hey, beautiful film & great shots! I was wondering what camera did you use on the road? (which is enough compact & light to travel with)",0
Louis S,2021-09-22T01:39:20Z,"amazing riding, amazing music. but damn, Americans exude a desperate energy, don't they?",0
성두현,2021-06-03T12:22:52Z,멋지다!!!!!,1
Zafira dos Santos,2021-05-31T04:54:33Z,36:15 I will be the first to mark Uruguay on the map ;),0
Alejandro Salazar J.,2021-03-10T07:17:55Z,"The guys rode Specialized bikes, but what was Sami's bike? The paint job reminded me of a classic Cinelli I used to own. Wonderful film.",1
P1les956,2021-02-14T22:00:15Z,Absolutely ace! ❤️🏁🚴‍♂️,0
Thomas Q.,2021-02-04T20:52:46Z,"Thanks for putting the soundtrack in the description, just what I was looking for!",0
Irish Enchilada,2021-01-31T02:29:59Z,Hella dig the Standert!,0
Daniel Linck,2021-01-24T23:59:44Z,Iconic Vess Soda Bottle and Cherokee Street in St. Louis!  YES!,0
Roam Not Alone,2021-01-17T05:21:25Z,"To be honest, as a Filipino, I find this video... problematic.I commend those behind this video for having exposed the coded racism they encountered while cycling through the American heartland during Donald Trump's fascist reign. They could have just edited that out to create a feel-good video.But then again, the locals they encountered wouldn't have confided with those xenophobic and racist coded comments if the cyclists weren't white.The cyclists refrained from commenting when the locals spoke with xenophobic and racist coded comments and avoided confrontation. This is understandable, with them just passing through. But also perhaps they were neutral and ambivalent. With their silence, we are left wondering, suspecting. One thing is clear, a person of color such as I would not have that same luxury or privilege of being confided to or keeping silent about it.As a Filipino, I can't help but wonder, would those same xenophobes and racists be as honest or as welcoming if the cyclists were people of color such as I? Would they pretend to be nice or be openly hostile to cyclists and a camera crew with people of color?Is it too much to ask for people to counter racism and xenophobia whenever it rears its ugly head, however inconvenient? Is silence consent?What would I do if I myself was confronted with the same racism and xenophobia, however coded and oblique, on my cycling adventures abroad?",2
Mick Byrne,2021-01-04T14:10:13Z,Love this film... Cycling dreams!!!,0
Samuel Boustani,2020-12-25T22:46:27Z,What’s up with the helmets?!,0
Cycling Around,2020-12-24T11:38:18Z,Really inspiring trip folks! Love it!,0
Richard*,2020-12-22T10:33:22Z,awesommmmmmeeeee.....!!!!!! luv the music score...worked in so well with the film....,0
Christopher Kupi,2020-12-21T03:53:29Z,"It sure looked fully supported to me.  I think every cyclist can agree we would all love a fully supported and sponsored ride across route 66.  Probably an experence of a life time, Chapeau",0
Liam Walters,2020-12-12T18:02:57Z,These Outskirts movies are awesome! Can anyone recommend any similar?,0
ombra306,2020-12-12T01:08:37Z,"Sooo, we here so Australians can have their own planet?....?",1
Kevin P,2020-11-28T07:05:32Z,This is probably the coolest movie on the interwebs. You don’t even have to be a cyclist to see the coolness. Bravo!,1
Pat Premdas,2020-11-27T08:05:53Z,"Words like ""organic"" and maybe natural, best describe this film.  I loved the challenges and various obstacles.",1
david duffy,2020-11-25T13:33:46Z,"Great film, it looked like a really wonderful experience thanks guys. I feel inspired.",0
Billy,2020-11-25T00:51:57Z,I love this but: who carried all their gear?,0
Cyclo Mordino,2020-10-20T17:35:47Z,No helmets from the beginning till the end... Strange cyclist mentality...,0
Rodrigo Escobar,2020-10-20T16:14:30Z,Watching the hospitality extended to them by Americans in 2020 is unbelievable.,0
Adelina Barrow,2020-10-11T14:15:47Z,I needed to watch it for school and i don't regret doing my homeworks for once !It was great😌,0
Carter Newcomb,2020-09-08T00:36:56Z,20:40 Currently cycling the route. Passed by here a few days ago. The ""E"" has fallen down since they filmed this.,3
PurpleDuckHemp LIVES Life,2020-09-07T12:17:10Z,LOL Hipster BikePacking.    (hotels every night),0
Adam Castro,2020-09-06T07:02:04Z,"Feeling so inspired . Although I’m a little bummed that there was no footage of y’all riding through flagstaff, it’s my favorite place on rt66",0
climbslc,2020-08-10T01:16:15Z,"Loved the video and feel connected to you all. You met some incredible (and bizarre!) people. But yah, winds in the US go west to east :)",0
Sportbike Jesus,2020-08-02T07:13:13Z,12:30ish imagine living to 80 years or so and still believing in spirits and demons 🙄,2
oosung,2020-08-01T20:48:16Z,very inspirational... what happens to the threat of snow?  such suspense... makes me want to ride.,0
salvatore mannino,2020-07-30T07:18:45Z,"Starting on a wrong note out of the gate. R66 is certainly one of the most iconic routes in the world, but ""The most iconic""? Nah... but I am not surprised since this a Rapha ad and they tend to overstate anything they do. Always better, bigger,  more exclusive, add the bullshit to that too. They invented cycling after all didn't they?",0
Matthew Carter,2020-07-14T07:37:25Z,So I suppose this should be asked did you see any clones firing on Jedi?,0
StefanoM68,2020-07-06T10:32:03Z,What about music list ?,0
Juan Keller,2020-06-29T02:31:17Z,No helmets?!?! Not cool,0
Saifulbahri Hassan,2020-06-28T04:08:15Z,Now I need to plan for that multi-day ride. Can’t get it out of my mind.,0
Gasman1440 A.,2020-06-22T02:32:57Z,Gus and Lachlan and their crew are saving biking.,0
SchmeddyBallz,2020-06-18T18:53:36Z,So let me get this straight. Rapha and a bunch of other brands paid a bunch of good looking hipsters with little to some professional riding experience to ride across the country and get drunk every night?,1
Michel Modique,2020-06-14T16:16:03Z,https://youtu.be/fEv-Ne7XZyE,0
