금개구리 -LIFE:RIDE,2020-04-06T11:43:16Z,👍🏻,0
Dominick Daelman,2020-04-01T21:27:04Z,excited,0
Archie Atkinson,2020-04-01T17:25:38Z,Yessssssss,0
mike b,2020-03-31T17:14:55Z,"I think Mortan should keep his head shaved for the duration, atleast until races are back on",3
Harry Dowdney,2020-03-31T15:11:03Z,Psyched!,0
Diego Giner Carrasco,2020-03-31T15:03:10Z,El año que viene irá Pako de Castefa y os meterá a todos la pumadika...,1
FosterB,2020-03-31T14:01:07Z,Where did Lachlan’s hair go?,0
Al Edge,2020-03-31T09:32:17Z,"Cool beans. If you are stuck for ideas this year, a day in the life/ vlogs with the riders would be great. Like Lotto Soudal are doing. 👍",1
Jeremy Benfield,2020-03-31T09:25:49Z,Looking forward to it!,1
Miljan Stojiljkovic,2020-03-31T08:49:54Z,Why did you never upload the fourth part of Outskirts in Vietnam???,9
RICKTECH500,2020-03-31T08:22:44Z,Gutted for everyone that this year's Cape Epic had to be cancelled. Hopefully next year should be good to go. 🙂🚵‍♂️🚵‍♀️ #LiveToRide,0
Gary Onnen,2020-03-31T00:36:57Z,At this time we’ll be grateful for any thing we can get. So Thanks.,15
JBratt,2020-03-31T00:16:38Z,The mustache makes him recognizable now 😆,1
Noah,2020-03-30T21:12:00Z,Yeahhhhh! Can't wait 😁,0
