Liam Flannery,2020-06-20T17:11:08Z,"That feed by Tom Southam was cringe, hold the bottle from the top if you don't want it dropped next time.",0
Jeppe Hedegaard,2020-01-28T19:53:54Z,The song around the 4:00 ?,0
Michele Graham,2019-01-22T07:19:43Z,Good to see Mitches dad still has his Mitchelton-Scott kit on.,0
Michele Graham,2019-01-22T07:09:06Z,What can’t Poms pronounce Lachlan??,1
Alan Hill,2019-01-18T01:32:48Z,"Great video ,,I hope the first of many",0
Patrick Smith,2019-01-13T09:54:27Z,Mitch Docker is the WTF gif meme guy,0
Barry Mann,2019-01-11T13:36:19Z,I see Mitch Docker. I hit like. His Life in the Peloton podcast is great and I hope he has time to pick that up this season,1
Péter Csizmadia,2019-01-11T08:14:16Z,"for God's sake, get this guy a fckn hair- and mustach cut!",0
Gianluca Righele,2019-01-10T23:39:38Z,client liason represent!1!1!,0
Ian Brennan,2019-01-10T15:42:18Z,We are only in the 2nd week of the year and we have a winner for the best hair cut of the peloton.,15
thurthrice,2019-01-10T10:05:54Z,Great film well done,0
Bon Gabs,2019-01-10T05:42:11Z,"Brilliant idea Rapha,,this will solve the boredom of cycling sports 👏👏👌",5
Ed Markey,2019-01-10T02:34:09Z,Nice start! Looking forward to more...,0
NEIL WOOLDRIDGE,2019-01-09T21:21:16Z,Nice video insightful and fun👍,1
jadenp,2019-01-09T20:50:11Z,Yaaaas you're back!,1
Paul Cargill,2019-01-09T19:36:24Z,WHERE IS STUART!?? RACE RADIO FOREVER!,0
C345 OFR,2019-01-09T18:19:46Z,"2:54  FFS, have you lot started screaming your national anthem too, like the Yanks? Thought you's were supposed to be the chill ones ...",8
Morgan Brown,2019-01-09T16:38:20Z,"Less Tom Selleck, more Billy Ray Cyrus!",0
Sean Hollenbeck,2019-01-09T16:18:31Z,Whole thing was a little stiff. Loosen it up a bit.,0
Allister Lovett,2019-01-09T15:48:38Z,Shame you did not chat to the guy in RCC kit as well.,5
Kunal Arora,2019-01-09T15:39:28Z,3019?,1
Jack,2019-01-09T13:47:55Z,That Harry bloke is fit,1
