Willem Johannes,2020-11-10T20:03:22Z,Thinking back to this vid got me out of bed and on the road this morning!,0
The Beard Man On Cycle,2020-10-21T04:15:15Z,"I am a cyclist, I am happy!https://youtu.be/tKkDfG67-qc",0
The Beard Man On Cycle,2020-10-21T04:14:58Z,"I have cycled through heat, rains and cold.... I cannot imagine a life without my bicycles. Truly!",1
C345 OFR,2020-09-24T23:24:56Z,"Any chance of reviving the 'Rapha Rides' series, please?",0
Sven Adams,2020-09-19T18:25:22Z,So recognizable 😅🍁🌧 #outsideisfree #lifebehindbars,0
Felix testet Bikes,2020-09-19T09:43:43Z,Rapha reinvented cycling commercials 💪🏼💯,6
Rob Stamatiadis,2020-09-16T17:39:49Z,Never a wasted kilometer...Never,1
Brian Treadwell,2020-09-15T22:00:32Z,Love the enthusiasm of the riders 😊,1
Mark McAllister,2020-09-15T11:56:48Z,Sprayed with windscreen washer fluid and stung by a wasp yesterday... but still enjoyed being out. It’s part of cycling!,1
J Silva,2020-09-13T15:49:55Z,"I’ve forgotten it’s not only about going fast or training, “it’s about the freedom”.",12
Shane Williams,2020-09-12T20:58:10Z,"Nice video, inspires one to ride.👍",2
Sam Webb,2020-09-11T10:15:19Z,"I have never once regretted riding where I didn't want to at the start. I've often been cold, wet and miserable - but then warming up with a coffee and a blanket back indoors is made all the more fulfilling.",20
BStar,2020-09-11T09:14:02Z,"Given advertising is about using real human sentiments and twisting them to sell product, a more appropriate name would be reasons to keep buying.",1
Anggerock,2020-09-11T01:04:49Z,Go further,0
gunars treikals,2020-09-10T16:38:27Z,"I've definitely had those rides when coming back home I've wished that I stayed in ^^ you know - bad blood circulation in hands, around zero degree temperatures, rain and snow and wind",4
Umut Şen,2020-09-10T16:02:56Z,"no, i don't like this style of filming. i miss the old ones; without cheerful music, without full of funny and charmless interview speech ""i like it because blah blah blah"" which means ""because i'm so f.cking worthy and the world revolves around me"". sorry guys, your ads are not art anymore.",6
Steven Barrow,2020-09-10T13:42:04Z,Duke! Legend,1
Dave Packer,2020-09-10T11:31:37Z,Good story and filming 🚴‍♀️,1
Csaba,2020-09-10T11:13:42Z,Nice film! Good choice of riders too! I only wish I had the time to go out for a ride myself. Life changes.,2
