B. Mansouri,2020-07-07T14:56:16Z,Find a colored person in this video!,0
Mark Grenier,2020-03-03T07:06:15Z,Furthermore I believe it is ""Go Farther""... I can help if you need...,0
Bart Ryan,2020-02-16T04:45:40Z,Rapha makes such good content.,0
rmb_dev,2020-02-13T18:36:20Z,ahhh... makes me want to ride... and it's wintertime... and I'm from  Canada...,0
Adventures On A 700 Dollar Hardtail,2020-02-13T17:26:52Z,Lachlan! 😍,0
Carlo Gironi,2020-02-12T16:47:44Z,Is this a cut and paste of previously released rapha shots ?,0
donnervetter,2020-02-12T12:12:49Z,"The first split was shot in Israel, right? Looks like the dead sea in the background",0
P T,2020-02-12T07:55:53Z,Can you find a way for your bib shorts to not start wearing out after just one or two rides?,0
Michael Collins,2020-02-12T01:12:54Z,"Watching this makes me want to to visit Bentonville, Arkansas.",4
thetalkingfly,2020-02-12T00:54:47Z,"Rad- weird editing choices, but dig it so much - you inspire and make great vids! cheers, TTF",0
Jesse Compton,2020-02-11T22:39:12Z,rapha casting director - ""find a guy with a mustache."",40
EdwinNewcomb,2020-02-11T21:56:14Z,"Not my favourite Rapha, narrative is same old and voice the same. Nice cinematography though, best watched with the sound off in my humble opinion",2
Alan Bailey,2020-02-11T21:40:56Z,What poem is this Rapha?,0
Itai Ashkenazi,2020-02-11T21:23:14Z,I should be in that video,0
#STILL,2020-02-11T21:15:30Z,Nice touch of Lachlan in there....! Another great video Rapha- thank you!,8
Egbert Morales,2020-02-11T20:44:22Z,Great!!! Awesome!!!,0
LuckyJack99,2020-02-11T19:55:25Z,Brilliant.,0
Rudy Elizondo,2020-02-11T19:45:08Z,"Alex Howe, you go Bro!!!!!!",3
Greg Bianchi,2020-02-11T19:44:52Z,I ride in NYC and all I smell is weed. Thanks DUMBBLASIO !!!!!,2
mmau,2020-02-11T19:21:50Z,Watching this makes me want to ride,23
Matt DeFrain,2020-02-11T18:20:12Z,Nicely done Rapha!,1
