Ryan ,2022-12-08T23:05:25Z,When i go back to Japan I will bring my bike,0
Blog Pedalare verso il cielo,2020-10-11T05:22:31Z,Ottimo video. I video Rapha di qualche anno fa sono migliori. Sono cambiati i ciclisti o le idee di produzione dei filmati ?,1
Eddie Jack,2018-11-12T11:52:54Z,Lovely,0
Eddie Jack,2018-09-01T07:41:04Z,These videos are tremendous. Really capture the love of cycling/life.,12
kil,2017-09-20T12:26:37Z,saya suka Japan,0
Mark Gurney,2017-08-13T21:18:18Z,What make/model is the orange bike in the VT?,0
George J Gilles.:,2017-07-29T13:27:16Z,Arigato,2
John Thomas,2017-05-22T22:47:11Z,Wow!,0
Triple Ace,2017-05-22T13:32:28Z,"After visit of my sister to Tokyo last year, she came back telling me,"" You are gone to love it cause many people use bike to get around the city"". Hope, I'll get a chance to visit this lovely city someday.",3
KirkysWorld,2017-05-22T11:05:31Z,"I will cycle Japan some day, it's my favourite place.Keep these coming!",3
Hery Diaz,2017-05-22T10:24:26Z,Great video. Keep them coming!,0
