the100guy,2021-08-22T07:57:25Z,Beautiful video. Very well shot,1
tpe54,2021-03-11T03:02:58Z,XXX as the flag goes..I heard those wonderful bells just for a second. I never forget the bells of Amsterdam!!,0
K Edmodson,2020-07-28T20:03:57Z,Vietnam’s finest gear.,1
yung meise,2020-05-11T17:59:43Z,"Awesome City, Awesome Woman, Awesome Spirit! Love it!",1
Oh Hi,2019-05-08T16:55:03Z,net een autoreclame zo leeg lijkt de stad!,2
YD Classics,2019-01-08T10:32:44Z,Beautiful town!,0
gunars treikals,2018-07-16T20:47:28Z,Really enjoying these video series. Good insight into other people lives. Feeling that should take train to Amsterdam with my commuter bike and just enjoy this wonderful place while I can. magnificent ) now I can go for my short city stroll,0
M Smith,2018-02-19T17:46:30Z,"Sophie de Boer and Amsterdam.  Both brilliant.  You guys at Rapha are pretty cool, too :)",1
Andrew B,2017-09-28T01:52:39Z,What a great city and a great video.  Thank you Rapha,1
rich,2017-07-26T19:08:12Z,a beautiful place for a beautiful lady.,1
Oreo Carlton,2017-07-20T12:59:38Z,Amsterdam deserves a few hydrogen bombs.,2
Carsten Doig,2017-05-28T10:44:25Z,Who's the tattooed girl in the Classics jersey?,7
addie Baaddiee,2017-05-22T19:54:24Z,these videos are shit,0
Maurice,2017-05-22T13:02:54Z,"Cool, I think you'd find Montreal to be a great place to film your next video, please come.",2
