Anil Sharma,2022-01-30T05:18:42Z,I watch the videos for that beat,0
BLWNOVA,2022-01-27T01:03:34Z,Knock it off with the facking background music so we can hear the riders speaking,0
tom chad,2021-12-20T13:56:34Z,hero,0
grammaticus,2021-11-26T00:12:31Z,"Two years later, and still no one is actually sick of hearing Lachlan Morton talk about this $h1t lol.",0
Adapt and Overcome Outdoors,2021-11-04T15:57:55Z,What model POC helmet is that?,0
BASE,2021-09-18T07:57:15Z,Oooft! Done it again guys! Great work 💪🏻,0
Alan Johnson,2021-04-14T06:38:42Z,4th place makes you an honorary Yorkshireman!,0
P1les956,2021-02-15T22:52:56Z,Ace!!,0
Tom McClean,2021-01-06T19:50:52Z,Lachlan is an absolute legend. Keep up these odes to cycling,0
Michael Daniels,2021-01-03T17:32:55Z,"Such a great ambassador for the sport — these videos have been so incredibly therapeutic this past year, thanks!",0
Rob W.,2020-12-10T11:41:17Z,Lachy needs to do an alley cat some day,0
John Makin-Shaw,2020-10-30T17:16:50Z,Lachlan - we're definitely not sick of hearing you talk. I love watching this shit. I hope you get to finish your business with the Cape Epic in 2021!,0
The Chronicles Of Jorge Him,2020-09-28T13:33:05Z,whats the little camera you use?,0
tony lochner,2020-06-28T10:26:53Z,"Well done EF team , amazing pro team you guys are.",0
nemo nemo,2020-06-22T13:26:07Z,does Lachy ever blink?,0
MischkaSi,2020-06-21T12:14:09Z,What an epic ride :),0
0RANGOTANG,2020-06-11T22:45:39Z,I want that hat,0
FULL GAS JAXON,2020-05-23T16:08:19Z,Phenomenal effort from every rider lauchlan i just sat in my taxi from start to finish with a smile on my face & thought how yourself & the great Lael Wilcox would be outstanding doing this race 😂😂🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🚴🏻‍♂️🚴🏻‍♂️🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🚴🏻‍♂️🚴🏻‍♂️🚴🏻‍♂️🚴🏻‍♂️🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,0
mark james,2020-04-25T16:14:02Z,"A lot of people were not sure when JV suggested this alternative calendar. Looks like he totally called it right, especially with the charm, skill and entertainment Lachlan brings. He's also a pretty decent bike rider :-)",0
Norman Saunders,2020-04-19T07:55:46Z,"Morton is a superb embassador for cycling in general and I love what EF are doing in trying to connect grass roots cycling, with us mere mortals, to the elite echelons of the sport. Lachlan Morton, with Alex Howes and team EF are doing a great job here and I hope some of the other pro peloton teams take up the idea.",1
Ben Brawn,2020-04-15T13:25:16Z,Smiling during bike throw. Classic!,0
Bobby,2020-04-12T13:17:18Z,"Freaking loved this video, keep this stuff up EF, Rapha, and especially Lachlan!!",1
SDE,2020-04-07T10:55:51Z,Wow! I did the walk and that was tough so this is just different gravy!,0
Suresh Chinnappa,2020-04-04T11:36:36Z,That was awesome Lach!  Well done!,0
If Only,2020-03-05T13:44:23Z,Peaks ? Where ?,0
Frits dK,2020-03-02T01:46:33Z,"Lachlan, WOW!!!",0
L D,2020-03-01T16:31:23Z,His enthusiasm on the bike is a joy. What a guy.,0
Richard Stringer,2020-02-12T10:41:47Z,These mini documentaries are a breath of fresh air and I really hope you continue with this in 2020.,0
Mike and Em outdoors,2020-01-21T20:54:29Z,I was hoping I would see myself and family in that film as we were walking up wernside the day of the race. Great viewing anyway.,0
Matt Live2roam,2020-01-16T21:57:02Z,"I absolutely love this, proper inspiring riding and people. I just hope the pro tour world don't latch on and turn it into something it was never meant to be.",0
Pauwel JDM,2020-01-15T15:49:25Z,Most inspiring pro in the field!,0
Alex V,2020-01-10T22:20:42Z,RIP John Rawnsley,2
Nick Bulanda,2020-01-01T15:46:19Z,"I am definitely not sick of hearing Lachlan talk about this, hope it continues.",0
Byron C,2019-12-23T20:37:19Z,I am glad Jeremy Corbyn ditched politics for cycling. I am sure he's a lot nicer fellow now. Cheers Jezza,0
myminx,2019-12-08T20:36:48Z,EF this rocks !!! Love it ! More please !,0
Jimbo Rainbird,2019-11-25T11:21:16Z,I am so NOT sick of hearing you talk,0
AustinToDallas,2019-11-12T01:49:05Z,Hell yeah!,0
Trevor Hayes,2019-11-09T15:38:41Z,"""... and if you don't, there will be a little bit of bother.""  Classic understatement. Love it!",2
