Dro,2021-12-30T15:56:26Z,Legend,1
MichaelN,2021-12-04T01:40:29Z,"It may not seem like yesterday, but I can remember him not only winning the Nevada City Crit as a Junior, but lapping the field twice!Pretty amazing guy.",0
#AkoSi- Bong,2021-10-15T14:22:02Z,i wonder what's greg's ftp and v02max nowadays ..,0
Robert Botta,2021-01-06T13:16:41Z,A legend in his own time.,0
ned,2020-07-08T08:41:17Z,beautiful film,0
Sam Abbott,2020-07-04T16:45:07Z,"forget Lemond, are we gonna talk about that guys incredible moustache?",2
lokerola,2020-05-21T22:19:27Z,Le Monster!,0
FJ Fischer,2020-05-14T00:35:11Z,True legend and innovator of our sport. A signed copy of Greg Lemond’s Complete Book of Bicycling is among my most prized possessions.,1
John Tormey,2020-04-24T23:20:17Z,"Great cyclist and a massive inspiration to me as a teenager watching the races, the best times in Pro Cycling. That final time trial in the 89 Tour was amazing to watch and remember it like yesterday I was 16 but got to be one of the most inspirational things I have seen. Deserves a place in the top 5 sporting moments. Seeing that inspired me to train hard.",8
Joseph Louis,2020-04-04T18:23:29Z,I remember watching Greg Lemond and Bernard Hinault riding side by side on Highway 267 in Lake Tahoe. They were both racing The Coors Classic.,6
Erik van Bommel,2020-02-04T13:38:07Z,"Cyclists are funny, aren't they?",0
ydnar,2019-11-03T05:49:23Z,Legend. I would love to ride with him and hear the stories.  True athlete,2
joeenglert,2019-07-14T01:09:12Z,"he may have been last up the hills on this video,, but he was first down the hills",0
Nosh Feratu,2019-06-07T12:05:04Z,"a bona fide hero of the sport, whatever country you're from, he's a true pioneer, sportsman and protector of cycling. Legend!",14
durianrider,2019-01-28T07:23:17Z,Greg should get on the high carb vegan wagon. I could get him SO lean!,1
Sparky67,2018-09-26T11:43:57Z,Mighty Lemond.,0
Lorenz Siggel,2018-06-11T18:42:45Z,"Greg Lemond was/is awesome. It is such a shame that the shooting accident occurred and got in the way of possibly 2(?) more TdF victories. He is the greatest American rider to date and I am sooooo happy to see his business success with bikes and carbon fiber, etc. Chapeau! BTW another great video by Rapha.",3
Daniel Parisi,2018-03-25T18:31:28Z,Make that red jersey again please!!,0
John Marina,2018-03-08T19:37:02Z,Lemond was my hero back in 1983. The guy who won the Tour D France 3 Times without drugs. I still love him.,4
Robert Holland,2017-12-08T12:10:55Z,The man!,0
Segreteria Valcismon,2017-11-19T08:50:18Z,Great  Man & Champion Greg...I love you!,0
Robert Linthicum,2017-05-05T16:06:17Z,That he nipped Kelly in the sprint blows my mind.,6
maultx,2017-02-07T16:21:41Z,the minute you hear the  name Greg""that 's all it  takes to get it going,4
Andy.F,2017-01-18T19:01:52Z,Greg Lemond = Legend. Rapha = pretentious bollox,8
Segreteria Valcismon,2016-09-25T05:56:16Z,Greg & Rapha = MITO!,0
Segreteria Valcismon,2016-05-15T05:34:29Z,Greg LeMond & Bottecchia ...The legend...beautiful video...ciao Greg...forever in my heart,1
whokitkat,2016-02-10T12:40:55Z,"LeMond raced against the Badger!And won the biggest race,,,  the Tour de France!Wow,,,,  he inspired the evolution and revolution of bike racers around the world!Bravo Greg",7
BIGD_OSpinner,2016-01-23T06:21:42Z,Lemond is a true legend....,10
Segreteria Valcismon,2015-10-09T15:47:19Z,Greg Lemond...the big biker end the big man...,1
Mic Dropper,2015-09-09T23:38:21Z,LeMond is LeGitimate.   He's got some great memories to cherish.,6
CrazyCyclingVlogger,2015-06-25T21:52:20Z,A to the D to the R...,0
Rune Olsen,2015-05-16T19:41:46Z,Which black Specialized helmet are they riding with?,0
George Gilles,2015-02-27T23:11:30Z,Awesome spinners. ,0
Thomas W,2014-09-02T19:25:47Z,What a talent he is. Rapha and Greg are an awesome combo! ,0
Chris,2014-07-30T08:06:00Z,what is the name of the music on this video,0
OmegaDetails,2013-10-19T14:50:28Z,Great vid!,0
Dustin Varga,2013-08-01T10:49:17Z,"Really great video, lemond has always been the cornerstone for all of us who grew up racing in the early eighties, and still in the future. Great to see him last week on the champs with hinault and merkcx and Indurain!!!!",2
Jose Montano,2013-07-21T14:46:40Z,Greg lemond was my hero growing up. I had his puma poster on my wall.,6
MIKE JONES,2013-07-17T08:44:28Z,Lemond da' Bomb. I still ain't gonna buy no Rapha; high class dolla' shit yo!Bam!!!!,2
Brett Cronje,2013-04-13T11:29:15Z,Legend!,1
bj kleiven,2013-03-24T18:12:59Z,living legends- remember who you are :-) ,2
Brittney Reisert,2013-02-23T14:58:58Z,The only American to ever win the Tour.,12
Chris,2013-01-12T01:32:29Z,I just love this video,3
Soundtallica in Chains,2013-01-09T07:52:46Z,"Lemond is a true legend of the sport. But wow, he's gotten a bit chunky..",0
simon jagassar,2012-11-16T01:49:23Z,"Brilliance as always!  Glad to see Greg fitting into Rapha, even if its just ""barely"" ;-)",2
Beespop,2012-11-13T18:10:06Z,tileguysuzuki  i feel u man,0
BG One,2012-11-12T14:10:22Z,stay true - ride...,0
kmpuskas,2012-11-09T23:46:20Z,uber,0
Al Bastogne,2012-11-09T15:43:05Z,dew wit,0
DJ Lauf,2012-11-09T15:18:13Z,Great video!  Makes me wanna leave work right now and go ride as far and as fast as I can!,2
liamwilson123,2012-11-09T15:09:30Z,as usual rapha you bring purpose back where it was weak and set it in stone for cyclists with films like these. Long live the long ride.,4
