CW,2022-05-09T19:51:47Z,"Despite continued asking over the decades, so-called 'Icelandic Dick' Phillips claimed all the photos and  rock samples collected on the 1958 trip were ""lost in the post"". They only emerged once photographer Raymond Bottomley dies and Bernard Heath in a care home, 60 years later. Where did Ron acquire the slides and photos taken by, but denied to Raymond Bottomley...",0
CW,2022-01-06T19:53:51Z,"There is a folder containing letters, newspaper clippings, accounts of supplies etc for the organising of this trip. This was before Ron was involved. It is such a shame that this video was not made when Raymond Bottomley and Bernard Heath were still alive.",0
dan glenzig,2021-12-24T07:22:12Z,Ron is a legend,0
Ron White,2021-11-04T11:34:00Z,"Ron, and his like, are the true pioneers and heroes of cycling to me. From a fellow Ron I salute you and you have inspired a misanthropic 62 year old. Chapeau.",0
PhotoBook Cafe,2021-06-23T22:27:39Z,amazing,0
Liz Rose,2021-05-27T18:59:57Z,absolutely beautiful <3,0
BASE,2021-05-27T09:30:27Z,Chapeau. So so good.,0
Jonathan Greever,2021-05-21T18:50:13Z,"Simply beautiful.  A peaceful, quiet life, well lived.  Indeed a great way to spend a life :-)",0
Munz Media,2021-05-18T17:15:48Z,The power and persistence of the human spirit is an incredible thing!,0
Unaidedfoot3531,2021-05-15T22:26:40Z,"When someone says a person is badass this fella is who they are comparing them too to get that title. Thank you for sharing these amazing stories of pure adventure and sisu.🇨🇦“ It never, always gets better” is the old ultramarathoner mantra and applies to all of life’s sticky points.",0
ben mw,2021-03-15T12:57:52Z,"What a wonderfully life-affirming and beautifully shot video!  Wow!  Thank you, Rapha!  Please put all your films and videos up here - still not all the Festive500 are here :(",0
Manuel Calleja,2021-03-14T05:48:00Z,"Imagine the bikes, the gear and clothes they had back then compared to what's available to us now. True warriors.",0
Brian Bailey,2021-03-08T19:27:46Z,Beautiful work,0
kingoffifa,2021-03-08T17:03:42Z,"rapha film, lidl jacket. witty witty man :)",0
derek perkins,2021-03-07T10:11:24Z,A wonderful spirit.,0
Louise Richards,2021-03-05T09:18:58Z,"I'm forever amazed at the RSF. Pioneers, Adventurers and Icons are the words that come to mind.",0
Alan Johnson,2021-03-05T06:30:42Z,Fucking epic!,0
Gravel Compromise,2021-03-04T11:17:22Z,""Toughen you up maybe""What a hero.,1
Jeffrey Robbins,2021-03-04T02:58:17Z,Absolutely outstanding way to spend the moments before calling it a day.,0
Kevin Shea,2021-03-04T01:07:56Z,What an impressive man I'm 60 he's my new idol amazing,1
Paths2Go,2021-03-02T22:52:03Z,Love this! thanks for making these inspiring documentaries!,0
The Yorkshire Pudding,2021-03-02T22:13:01Z,"1:50 take a screenshot and read that. Something truly inspiring, sad, yet so totally wholesome and poignant in equal measure to see a life listed in such a way. What an incredible man, and what an incredibly full and well-lived life - with no sign of stopping the journey either! Would love to have a brew and a chat with Ron. Rapha, cap doffed to you for a fantastic feature of a brilliant human 👏",0
Anthony Gittins,2021-03-02T19:05:10Z,This was absolutely brilliant. Properly inspirational stuff.,0
Adam,2021-03-02T13:21:17Z,"I loved this video, thank you Rapha. I've been off the bike for most of January and February due to a health issue, and this video just whets my appetite even more to be well enough again to get back on - hopefully next week all being well!",0
Rab Wardell,2021-03-02T11:16:54Z,What a lovely film! Thanks!,0
Richard Edwards,2021-03-02T11:08:38Z,Huddersfield Star Wheelers member. Just goes to show there’s not a lot new in cycling. Riders were gravel riding way back. Love it. An inspiration.,1
wakweika felix,2021-03-02T07:03:53Z,This is a LEGEND! And he still rides his bike every week!,1
Grant Kaiser,2021-03-02T05:35:09Z,Inspiring. Thank you.,0
Justin Burgan,2021-03-02T04:06:03Z,Love these stories!,1
Richard Beasley,2021-03-02T00:37:28Z,Very nicely put together.,0
Jason M,2021-03-01T23:24:24Z,"Nothing hits more than him saying ""You might have a few problems on your mind, but once you get out on the bike, you forget all these things"" 👏",16
Krooks44,2021-03-01T21:29:01Z,wow!,0
Tim Fitzwater,2021-03-01T15:20:14Z,Another fantastic video.,0
James Sherwood,2021-03-01T12:44:41Z,Incredible film!,0
I Blow SnotRockets Mofoki,2021-03-01T12:16:51Z,"I'm 64 years old and this guy gives me hope that I can continue cycling for the next 20, I hope so anyway because I just spent $10,000 on a new custom built bike.",1
Farside Studios,2021-03-01T08:45:43Z,These videos are everything,0
Robert Kerner,2021-03-01T01:43:55Z,They were bike rafting in ‘58!,0
srs31014,2021-02-28T20:22:43Z,Love everything about this. Thanks for making it.,2
thetalkingfly,2021-02-28T20:17:02Z,Made me smile. Rapha you make great videos -haha so true. Steve,6
George Dach,2021-02-28T19:26:50Z,Love it Ron,0
