Tim Block,2022-12-12T04:01:24Z,These films are amazingly beautiful.,0
Dirnik,2022-07-22T08:08:23Z,I love this movie.I want to go with you right away.I keep watching him.Goose flesh!,1
Jojo Anggono,2022-02-18T05:04:47Z,"The weather is fearsome, I don't think I could ride far in place like Hebrides.",1
Blog Pedalare verso il cielo,2021-12-07T05:51:54Z,"Quanto mi piacciono questi film Rapha pubblicati anni fa ! Era il ""ciclismo vero di una volta""; sembra così lontano, ma in fondo era ""ieri"" !",1
cormac,2021-07-18T22:51:48Z,All I can see is two guys who aren't wearing helmets🥴,1
chrsitiethebarber,2021-06-17T14:20:15Z,"Anyone know the style of jacket @46 seconds in? Red, fitted, but loose at the bottom rear?",0
jackjones05,2021-01-27T23:22:19Z,Name of song please !!! If anyone knows,0
Pat Paulo,2021-01-23T18:50:53Z,Wear a cycle helmet please!,1
Melih Gebler,2020-05-30T10:41:10Z,"I love these films but there is always one guy in these groups who doesn't wear a helmet in bad weather conditions combined with uneven and unsmooth tarmac on a downhill (also in the one which filmed in Wales during a snowstorm), why would you want to give your brain an unrepairable damage?",0
Robert,2020-04-27T12:02:24Z,"The Gaidhealtachd is one of the most beautiful and brutal areas of the World. I am Scottish, and have a bit of the Gaidhlig, and that part of Scotland is steeped in sadness, as much as beauty. If you go, take some time to understand the Gaels' history, as well as fretting over whether your gear ratios are good for the terrain. When I cycle there, it's like meditation.",0
Blog Pedalare verso il cielo,2019-08-01T15:43:55Z,Location top,0
Adson Soares,2018-12-27T16:13:14Z,"Man, where I buy this music? Fantastic!",0
Heaven And Hell On Two Wheels,2018-01-21T02:28:03Z,"Love this, but what is the text that is read over it? It sounds like weather and nautical reports and then poetry or old English sagas?",1
highway to health!,2017-11-19T19:38:38Z,Rapha videos always  catch  the realistic simplicity of cycling combined with amazing chaotic landscapes like this and a perfect video is born...The last year i live in Germanys Black Forest and i totaly understand how cold weather sucks your energy but its beautiful..Greetings to all cyclists worldwide.,19
Nikos B,2017-08-24T08:29:44Z,One of the best cycling themed art work ever.,1
Egas Amaral,2016-08-19T11:07:50Z,FANTASTIC VIDEO.,2
ccinhou1,2016-05-22T14:37:06Z,wonderful video- thank you for sharing.,1
George Gilles,2015-02-28T02:08:52Z,It's fun to ride in a pack. What a motivating upload. Thanks guys. ,0
Olga Lucia Giraldo,2015-02-13T09:26:47Z,Per favore in italian or spanish... ,0
Cornelius Maximilianus,2015-02-05T13:46:15Z,Awesome video,0
amonster8mymother,2014-07-14T19:02:19Z,:),0
Maglia Nera,2014-04-19T19:16:24Z,I never saw Scottish Highland Cattle before !!!This is my first contact.,1
Jack Chamberlain,2014-02-10T18:31:47Z,"Man, I love Scotland, we go their every year, I hope to make the Highlands my home one day.",7
MokshaDolphin,2013-10-12T16:17:22Z,I've recently go into road cycling after many years of utility riding and this is the sort of ride I dream of. Really beautifully shot video.,1
Matthew Nowell,2013-09-25T18:42:46Z,"*if cycling was always like this then we would never appreciate the beauty that the sport can be, that's what we all train for right? The moment when everything clicks into place and all seems perfect just briefly and then we wait until the next time. Cycling is what you make of it",1
Matthew Nowell,2013-09-25T18:40:19Z,""But the rest of the time..."" If cycling,0
frodo baggins,2013-08-24T12:27:25Z,"road bike cycling sportive cruise speed starts at 40kph, as per Le Tour de France standards.",0
Good Blokes,2013-04-29T20:50:34Z,Find better places to ride then.,0
Jonathan Fitch,2012-11-29T19:59:30Z,i go to cycling in scotland every year and it is like this.,2
Matthew Ives,2012-11-06T12:30:38Z,"""Okay. Now I want a Condor, or at least a Rapha cap!!""thats the power of advertising.The reality is cycling is never like this...well maybe, for just an instant. But the rest of the time....",4
Ibarra,2012-09-10T00:52:59Z,Beautiful.  Inspiring!,2
livibam,2012-06-13T12:30:12Z,its all about the black and white.......,0
Johnny Harris,2012-06-11T21:37:19Z,Stunning.,1
Evan Blankenship,2012-05-31T18:05:20Z,I love these short films. They make me want to not waste another moment and start pedaling to find some amazing new place I've never ridden to. ,3
BigBlackPug,2012-05-27T16:45:30Z,"Okay. Now I want a Condor, or at least a Rapha cap!!These are quality wee films.",0
