godbrother22,2020-09-03T17:15:48Z,"Mikey come back to Parc de la Gatineau soon man, we miss you here in Ottawa",0
茄子サイクリング nas cycle studio,2020-04-18T05:09:18Z,I want to teach the first song! please,0
Saly Renata,2020-03-19T13:12:38Z,just a question what the Michael bike size?,0
Cesar Omiste,2020-03-13T02:34:29Z,"bummer, Mike Woods broke his right femur in bad crash in today's stage 5 of Paris-Nice :(",0
Alfonso Lizarazo,2019-07-25T10:46:28Z,Buena esa!,0
Street Photo ZA,2019-07-23T02:13:45Z,"What a Rad team, from the GBDuro to the Tour, EPICCCC 💥👌😎",1
Elliot Flowers,2019-07-17T19:31:20Z,"This guy is ugly with no flesh on his bones. Man, he is gonn be  a freak when he ie 40.",0
bob,2019-07-13T23:09:24Z,Sorry to see he crashed badly today after being inside the top ten on GC. Hopefully he feels ok and can take a crack at a stage in the last week.,1
lastinline bruce,2019-07-13T16:31:57Z,this is the guy that caused garret thomas to crash today.,0
Isabelle Maltais,2019-07-13T11:18:49Z,Super capsule... Allez Michael!!!,1
Trunks9000,2019-07-13T10:23:32Z,Fan from Belgium :),0
Alan Hill,2019-07-13T08:28:59Z,"What a nice fella ,,a Canadian treasure for sure !",1
Humberto Gamarra Jr.,2019-07-13T01:51:16Z,excellent Job to the whole team. Keep pushing the Tour is ours! Go Rigo. viva Colombia !!,0
RichardFishing,2019-07-13T01:45:59Z,"more video's please, thanks Rapha...",0
Adam,2019-07-12T23:12:03Z,Great series of videos these! Allez!,0
D Charles,2019-07-12T22:43:16Z,Rusty's our man! Rooting for you in Ottawa!,2
Alex Godbout-Simard,2019-07-12T20:52:54Z,He's just the best of dudes. Love him. Cheers from Montreal!,15
Salinda Kumara,2019-07-12T20:06:36Z,This is their lucky tour to ride without favorites but yet they still have to pass Giro ridden Ciccone the young rider which I doubt even with his worn-out legs in GIRO can't pass in overall until they reach Paris,1
santiagobenites,2019-07-12T20:05:54Z,"We love Mike Woods here in Toronto! We're so glad that you didn't have to get off and walk that last few hundred meters, Rook!  Btw. Charly reminds me a little Steve Coogan  in The Trip. Can we hear his Michael Caine impression?",9
Salinda Kumara,2019-07-12T19:58:13Z,EBike training gonna let U down buddy,2
Le Président,2019-07-12T19:53:41Z,Wood and Rigo gonna kill it,0
