Mark Grenier,2022-05-14T07:32:13Z,What is a woman ? I'm not a biologist.,0
BASE,2021-07-18T12:01:17Z,"An oldie but a goody, well worth rewatching this. Nice one Rapha!",1
까사노바,2020-12-03T14:21:04Z,동기부여  이제야 댓글을 남기네요,0
Jose Vergara,2020-10-20T03:32:12Z,Me: ""I ride so I can go up and then down""Japanese riders:  ""Nature is as fierce as a nail but as delicate as a finger. Nature is as exquisite as downy hair but as brawny as an arm. Our physical being is a mirror reflecting Nature. If one can love oneself one cannot possibly hate Nature"",8
Roman,2020-05-08T20:30:26Z,"Evertytime is see this im like yeah Lets ride 120km, when on the bike after 30km im like yeah, whatever... Lets go home",0
Josh Tyler,2020-03-02T17:29:01Z,This was beautiful. It summed up every hard ride up a mountain I every had. Why do you do it?....... so I can go down the other side.,0
Harish Subramanian,2020-02-24T17:33:49Z,Epic video. Epic rides.,2
lewis baker,2019-09-05T12:17:53Z,Rapha are doing so much to turn cycling from what used to be a popular sport for everyone into this pretentious past-time for wealthy millennnials.,0
zaid altaleb,2019-04-07T03:47:49Z,Amazing 🚴‍♂️,1
Kon Chittavong,2018-11-07T03:28:37Z,I love these films.  Makes me want to travel the world and ride.,0
Michael Clark,2018-09-24T03:46:34Z,Yup that sums it up! Beautiful,1
Ghozi Sami,2018-08-14T16:49:04Z,good feeling,1
iatricjb,2018-07-28T20:51:21Z,Best of all the Rapha films,0
f j,2018-04-29T12:53:27Z,安逸,0
Joel Berman,2017-11-27T05:28:04Z,My favorite of all the Rapha videos. Captures the essence of cycling across cultures and geography.,2
George J Gilles.:,2017-07-29T13:57:03Z,highly inspirational video.,3
khalid Toumi,2017-05-30T01:32:39Z,Riding a bike it's a best feeling in that life,0
JDMullachabu,2016-10-21T21:46:18Z,I think this might have overtaken 'Lucid' as my favourite Rapha film. Great stuff.,0
Jo eliten,2016-07-23T08:42:06Z,I cant find beauty in my bike atm. Theres this annoying clicking noise when I use force through my pedals. Its ruining the beauty of it. Going to a mechanic this week to get it fixed...,0
adrian carlos,2016-05-13T11:57:15Z,Good footage. Voice over is garbage.,4
Tim Mathews,2016-01-21T13:34:31Z,Fantastic! Best yet!,1
David Green,2016-01-01T21:45:33Z,"Just imagine what could be done if the video length doubled, or more. Brilliant, inspirational.",2
Pelao Fernández,2015-12-05T02:08:44Z,"no more videos??...please, we whant more!!!",0
EuroCyclingTrips - Pro Cycling,2015-09-11T12:05:32Z,"""In hopes of finding the threads and thoughts that connect us as riders.""??? That's beyond marketing bull, that's plain old cheesy!  The video is nice though.",0
Da Fo,2015-09-08T22:07:54Z,I made one's flesh creep... That's beautiful film.,0
nayr497,2015-09-05T09:15:13Z,"Woah Treks slipping into a Rapha vid? Game is slippin' boys, when you are letting decidedly pedestrian Lance bikes into your hard-to-attain lineup. Those aren't going to inspire people to buy $150 mitts.Also, nice! You did slip one beardork in. That almost offsets the Treks.",0
Brazuca Real,2015-08-23T05:24:32Z,Why Trek? The dirtiest of all bike brands... but I would pay to be on a Rapha movie!,3
George Gilles,2015-08-22T23:11:25Z,Highly inspirational video.,1
G,2015-08-22T18:35:26Z,Evolve your style. Relying on slow motion so much it lazy and dull.,0
G,2015-08-22T18:34:05Z,"Please, please try and explore new edit techniques. You rely on slow motion so much. It's dull. I appreciate you have a style but how about evolving it?",0
G,2015-08-22T18:34:02Z,"Please, please try and explore new edit techniques. You rely on slow motion so much. It's dull. I appreciate you have a style but how about evolving it?",2
G,2015-08-22T18:33:58Z,"Please, please try and explore new edit techniques. You rely on slow motion so much. It's dull. I appreciate you have a style but how about evolving it?",0
Cheng Miracle,2015-08-22T02:41:45Z,"What a breathtaking mountain view. The editing, the pacing of the movie, seems like Rapha has enhanced its language of storytelling once again.",1
framesbyseb,2015-08-22T02:20:35Z,Perfection.,0
kendarabbit,2015-08-22T00:26:09Z,inspiring! !,1
kendarabbit,2015-08-22T00:26:03Z,inspiring! !,1
kendarabbit,2015-08-22T00:25:58Z,inspiring! !,1
brianmcg321,2015-08-21T22:57:40Z,Awesome!!! Great job once again Rapha.,0
David Carthy,2015-08-21T20:50:42Z,"With that beard and sleeve tats, Jonas has to be the coolest looking cyclist ever",6
BIGD_OSpinner,2015-08-21T18:44:50Z,another marvelous short film....,0
Vincent Ming,2015-08-21T14:24:48Z,"Would love to know the soundtrack though, very uplifting music",0
BeyondTheGrid,2015-08-21T14:21:39Z,Beautiful shots and the narration of the ""conversation"" we all have in our minds from each of the riders was fantastic.,5
livibam,2015-08-21T13:48:13Z,being looking forward to a new vid.. makes me wanna ride my legs right off.,0
James Sherwood,2015-08-21T13:37:35Z,sick.,0
Aaron Chen,2015-08-21T13:18:39Z,epic as well. Thks Rapha.,1
Eric Hui,2015-08-21T12:50:16Z,this deserve more ""likes"",0
Richy Coles,2015-08-21T11:55:30Z,Class production as usual. Awesome stuff.,1
