jOwL666,2022-11-26T18:24:46Z,Always wear a helmet kids,0
CHRIS CURRIE,2018-05-21T22:58:32Z,put  a helmet on....or would that spoil the pretentious cool !!,2
Carlos Silveira,2018-02-23T17:31:20Z,Helmet!!!,0
Fabio Branco,2017-04-02T16:45:38Z,"The helmet, the helmet, the helmet! Riding on a descent at 60 km/h is different from a fashion show.I love your style, but in 2017 the helmet on cycling is fundamental.",5
David O Brien,2016-07-30T00:11:09Z,"I did the Priest's Leap in Co.Kerry last week. Not as long as the Zoncolan, but similarly brutal.https://www.strava.com/activities/650769894",0
brianmcg321,2014-08-12T22:36:06Z,He could use a triple.,0
john peel,2013-07-28T16:42:33Z,The mighty tough monte zoncolan. I went up there 2 years ago. Its 1 hell of a steep ramp. Tom certainly went up there quicker than me. Great bit of film.,0
brianmcg321,2013-05-19T02:47:48Z,"Its white, with tires.",0
jonathan wooldridge,2012-11-29T06:19:02Z,beautiful ,0
wolfesquire,2012-11-17T00:44:39Z,"If it isn't broke, don't fix it.",0
wolfesquire,2012-11-17T00:44:05Z,Details on the bike! Very nice!,0
simon jagassar,2012-11-16T01:41:18Z,wow! windy conditions,0
Poncho Arroyo,2012-11-15T19:17:02Z,helmet?,3
kdubphoto,2012-11-15T18:33:55Z,well said!,0
00razmataz,2012-11-15T18:16:52Z,I like the quality and style of what you film but never the less it starts to getway to predictive and somewhat boring. I keep on thinking; haven't I seen this before?? ,0
marioignazio palicidisuni,2012-11-15T18:01:34Z,bello vero,0
livibam,2012-11-15T16:48:57Z,raphas sick....,0
cruto034,2012-11-15T15:43:21Z,"Great. So great.This is the real thing. This is why I love cycling.Everything's quiet,it's all about the road, the bike and you.",7
cruto034,2012-11-15T15:42:47Z,Great. So great.This is the real thing. ,0
cruto034,2012-11-15T15:42:32Z,Great. So great.This is the real thing,0
cruto034,2012-11-15T15:42:25Z,Great. So great.This is the real thing,0
