D J,2015-08-04T22:27:30Z,Bunch of gaylords wearing spandex and of course there is always a twat with a beard,0
George Gilles,2015-02-27T23:23:05Z,I love the long  thick beard dude. ,1
nayr497,2013-06-19T16:39:02Z,"Beards and bikes don't mix. Brooklyn, NY? Takes all of four words to tell that dude ain't from Brooklyn. So now cyclists, along with musicians, are saying they're from Brooklyn when they really just moved to Brooklyn. Interesting.Rapha, the Gap of the cycling world. Convincing white folks to buy overpriced stuff to make themselves feel cooler.As the wise Turtle said, ""Man, I can tell you're lame by the way you wear your shorts.""",0
Kenta Kawachi,2013-01-08T10:55:54Z,""You want to ride on my bars?"" LMFAO,0
marioignazio palicidisuni,2011-11-11T15:57:24Z,wonderful,0
Orenoryori,2011-10-29T12:42:28Z,Give me the 26!!!,0
dasfritz1,2011-10-03T09:29:13Z,"Whoa, that landscape is so beatuiful! Matches the bikes perfectly ;) ",0
archer,2011-09-27T04:32:07Z,that beard is gangster,0
Hi Fi Minaia,2011-08-25T00:03:01Z,Funny......From Italy.,0
huckfinn12453,2011-08-04T09:08:08Z,Rapha is why I ride steel ,1
Alberto Lizzi,2011-08-03T22:46:21Z,great job,0
