gmccmemberk,2022-11-13T11:28:00Z,Das Bild gleich am Anfang: Der Hammer!,0
Yusuf Hadi,2022-06-26T06:57:44Z,Zu Wild,0
tpe54,2021-03-02T23:48:15Z,cycling and painting both keeps me sane..I can relate...........,0
Shad Purcell,2021-01-30T12:30:02Z,The bike brings clarity and passion. I tend to take little study break rides when I have writers block. I also have paintings that have been stuck for years in an incomplete state until I can figure out where to go and have the inspiration to do it.,0
Kornel Varga,2018-03-29T14:47:09Z,Music at 1:50?,0
Nathan Tremblay,2017-11-02T02:11:15Z,Who is the painter?,0
Emmanuel Marquez,2017-11-01T17:28:25Z,Absolutely loved this one!,0
Luiz Aguiar,2017-10-30T22:23:03Z,Nice video! Where is that place at 2:53 ?,0
Christoph H.,2017-10-26T21:07:34Z,"Schönes Filmchen, aber wie kann so ein kreativer Geist mit Körper dran ein Canyon fahren?!",3
Lee Yarbro,2017-10-26T16:10:26Z,Only Rapha can make a cycling video where over half of it has nothing to do with cycling,27
Ken Munoz,2017-10-26T10:40:41Z,Shfervahaben!😊,0
Will Bert,2017-10-26T06:57:58Z,"""...aber ich glaube ich wäre kein guter Mensch, wenn ich nicht Fahrrad fahren würde.""100% Zustimmung. <3",11
Triaby - Triathlon mit Baby,2017-10-26T05:24:25Z,Das kann ich mir nicht vorstellen. Alles.,4
Mani Matter,2017-10-25T20:56:33Z,Very Motivation,0
UweGranzow.films,2017-10-24T20:06:27Z,nice one! grtx from potsdam! ;-),1
