Blog Pedalare verso il cielo,2019-02-06T13:02:50Z,Location Top,1
Bryan Garcia,2018-10-30T05:59:02Z,I’m more concerned about them being in that water.,3
Yi Zhang,2018-07-14T07:42:27Z,"I bought these cargo bib shorts which are my first Rapha bibs and I have to say the crotch area is SUPER tight, i am not sure what's up, at first I thought I got the women's version by mistake. Is this kind of tight fit normal for Rapha bibs??",1
Ross Mcarthur,2018-04-07T18:37:29Z,Useful but not short of £200 fuck me sideways,0
ExtrovertedCenobite,2018-03-26T13:50:01Z,Maler Romper once again,1
Medial A,2018-03-23T05:34:12Z,You missed out the bit where the cyclists just threw all their rubbish at the side of the road.,0
한빛선교교회TV,2018-03-20T06:57:35Z,Good. Just what I used to do 20 years ago.,0
Andy.F,2018-03-13T06:30:25Z,Ooh look another bearded Rapha  advert...how original!,0
TheFragrantVagrant,2018-03-08T12:48:41Z,More interested in those Rapha-branded frame bags. They don't look like they're made by Apidura...,2
Johnny Hanel,2018-03-07T15:27:56Z,i dig this,0
단풍,2018-03-07T10:56:23Z,Humm that’s useful,5
