JTS,2021-09-28T01:01:29Z,"legs shaven, mustache FULL",1
Israel Adams,2021-06-18T03:33:41Z,can i get a rapha jersey?,0
Federico Palacardo,2021-06-16T04:42:31Z,Those blue sweatshirts the riders are sporting are elite! Would love one!!,0
Munz Media,2021-06-15T21:51:11Z,""Inspiring me to train better""*Shows 🥐... NOW I RELATE!,0
Ni Rest,2021-06-11T18:26:30Z,"This is what i love about EF’s program, seeing Pros doing these races, so cool. Now if EF had raced unbound!! Such a bummerAnd sounds like Mitch needs to do what other retired racers that love cycling do… GRAVEL RACING!",3
SchmeddyBallz,2021-06-11T01:45:38Z,"Clean the roads? Clean the... Roads? Wtf,  they do that in road racing?",0
Arthur Price,2021-06-10T21:40:55Z,These ‘films’ are so hipster it hurts….but they’re also really good…,0
Francesca Osowska,2021-06-08T21:46:54Z,"You will be a big loss to the peloton, Mitch. I hope you keep up with the podcasting and broadcasting.",0
Lee Green,2021-06-08T20:11:43Z,Love this team,0
Chris Baum,2021-06-08T13:30:28Z,"Love your alternative races!!  When will the fans see you guys at Gravel Worlds in Lincoln, Nebraska?",0
Gavin Maloney,2021-06-07T23:01:50Z,Love your style Rapha & EF 🍾The alternative races should be written into the UCI annual calendar. Thank you to all the hard men for the non stop entertainment 👊🏼,0
pol sifter,2021-06-07T18:56:12Z,That builders tea track is fast becoming this series theme tune... love it!,1
The Hitmen,2021-06-07T17:57:22Z,Holy moly what a race!!!!! Fantastic stuff!!!!,0
Duncan Roche,2021-06-07T16:54:20Z,8:34 derailleur abuse,0
Shammer Diaz,2021-06-07T06:39:40Z,So rock n roll and I’m here for itttt 🤘🏽,0
Jon Poon,2021-06-07T06:28:10Z,"At this point, Cannondale needs to come out with gravel bikes and XC bikes with EF team colors",3
gamby16a,2021-06-07T06:22:00Z,"Damn, it sucks that Mitch didn't get to do Roubaix.  Rough to see him go, but best wishes. Lachlan is stony and rad as ever.  EF is the coolest squad out there.",0
Philip Nelson,2021-06-07T02:58:14Z,Ach we will miss you Mitch. The Peloton is losing the best mullet and the best mustache. 🥰 we wish you all the best.,29
DarkAioL1666,2021-06-06T22:09:40Z,"I watched this race live, this was crazy.",0
Ties Kuijpers,2021-06-06T19:34:23Z,Yes! I have been waiting for this one.,0
David O Brien,2021-06-06T13:53:14Z,Their bikes are claaaaass,0
David O Brien,2021-06-06T13:48:58Z,"I came across Tro Bro Leon on YouTube years ago, I always thought it looked like a really fun / brutal / crazy race. Good to see the big teams jumping on it",0
Nathan Johnson,2021-06-06T13:42:38Z,"Thanks for making things interesting, Mitch.",2
Levente Juhasz,2021-06-06T12:35:10Z,"Yeeeah, my favorite race series is back! <3",0
Steward Delgado,2021-06-06T11:19:25Z,As cool as this is its a shame these guys weren't at unbound 2021 howesy wearing the stars and stripes would of been awesome come on E.F u messed up,0
Rudi H,2021-06-06T10:59:21Z,"many people got into rapha ef and lachy from alternative calendar and gone racing series. Hopefully y'all continue making these videos. Good job. Congrats Mitch on a great career, looking forward hearing you in the broadcast",3
David Land,2021-06-06T10:24:18Z,“I don’t know how you say it in English’... then says it in perfect English,29
Hurricanefuckface,2021-06-06T05:28:40Z,Lachlan and the alternative calendar got me into gravel cycling and Rapha haha,45
Peter Wilson,2021-06-06T05:06:20Z,Awesome EF - Rapha video - great to hear Lachy's comments.,1
Daniel López,2021-06-06T03:29:02Z,"Mitch Bowen is one of the best lads out there, great bike rider and person.",2
Zen pike,2021-06-06T02:51:48Z,https://youtu.be/2r9Xd0B0NoQ,1
Dan T,2021-06-06T02:36:33Z,So much love for Mitch. Thanks for the good times and good vibes,1
Space Ghost,2021-06-06T02:15:41Z,I am sub and bell notify but can't remember why. Not a bad thing.,1
Marc Terhorst,2021-06-05T23:58:48Z,So damn good!,0
John Payne,2021-06-05T23:42:12Z,You guys are awesomely nuts.,2
Ian Boylan,2021-06-05T23:06:41Z,"Great race, great film. And what a cast. Love it.",1
John Gray,2021-06-05T21:11:58Z,Love Lachy and Mitch!!!!!,3
Hintonbro,2021-06-05T21:06:33Z,Love the alternative calendar,8
Vincent Krause,2021-06-05T20:26:39Z,Looks like a Gravelrace on roadbikes,1
M Caz,2021-06-05T19:47:55Z,Lachlan just have the big ""chicken joe"" energy from surfs up,2
Stephen Bergman,2021-06-05T19:13:41Z,yewwwww,0
The Bike Bus,2021-06-05T18:27:48Z,#proper 🤘🏼,1
Travis Gibbon,2021-06-05T18:17:09Z,F*cking rad!,3
Aidan OC,2021-06-05T18:13:57Z,"Never heard of this race before, reminds me of some sketchy Irish races back in the day!",8
ydnar,2021-06-05T17:59:52Z,The best Bike Racing doc videos as always. This team is epic!,16
DMV,2021-06-05T17:35:25Z,Love the honesty of the riders. Lachy and Mitch are legends!,36
DumSpiro SperoFILMS,2021-06-05T17:07:39Z,nice,0
Jimmy Jazz,2021-06-05T17:07:25Z,I simply love these videos!,4
Sasha Lokhtin,2021-06-05T17:04:06Z,3:21 totally agree,6
Simon De Graeve,2021-06-05T17:03:19Z,love it!You motivate us,0
