Blog Pedalare verso il cielo,2021-12-07T05:51:24Z,"Quanto mi piacciono questi film Rapha pubblicati anni fa ! Era il ""ciclismo vero di una volta""; sembra così lontano, ma in fondo era ""ieri"" !",0
FAHAD MEYON,2021-04-17T16:37:21Z,What a fantastic story. Loved it,0
Pat Premdas,2020-12-07T19:39:25Z,"Great film and commentary!  This really inspires me to push on, when I’m on those tough climbs and feel like quitting.",0
Axel Beckmann,2020-01-23T17:42:33Z,Will there ever be a Rapha film in sunshine 😀 But very nice as usual - thanks for it,0
lewis baker,2019-06-25T11:42:10Z,More of this pretentious crap - just get on with it. And you've even got a support car!,0
Roland Lundall,2019-02-23T16:21:37Z,If they did a thousand col's in 100 days that would be 10 col's everyday.How is it possible when each col takes about at least one hour or more then you must calculate for the time spent on the decent.That would be about 15 to 17 hours a day riding.Then time to recover for the next day and so for three and a half months.I don't know.,0
Isa Yusuf,2018-01-30T17:48:44Z,"thanks for this nice movie. they rided 219,26 kms per day despite the cold and steep slopes",0
George J Gilles.:,2017-08-02T14:25:44Z,Highly inspirational video.,0
Nicholas Bartelme,2017-07-14T11:42:05Z,Who's doing the video production for Rapha? At 05:03 it sounds like Dan Lloyd from Global Cycling Network,0
La Flamme Rouge,2017-06-17T21:10:12Z,I love your video it s very good and Can i use your video for realise my cycling motivation  ? ☺,0
M H,2017-03-15T17:09:52Z,epic,0
Rui Pina,2017-03-13T12:49:11Z,Congratulations! Nice movie and a great an amazing effort!,0
RLE82,2017-03-11T21:23:04Z,"@RaphaFilms can i make a request that you add a map/route taken on the films... always looks awesome and inspiring.. doesnt need to be strava ( i know there is a lot of stop/start for recording) but just a general plot of the route taken by the riders. i know this will be ignored, but thank you anyway!",1
James Royds,2017-03-11T07:21:53Z,more good stuff. cycle on.,1
Johan P,2017-03-11T01:15:01Z,at 4:14 -   the tan bike - ?steel w/ carbon fork?Classic climbs through amazingly beautiful environments.,1
Urby 1,2017-03-11T00:20:09Z,Just love the mountains on a bike!!! Rapha does it right!!!!,0
J Dapper,2017-03-10T20:10:28Z,always dreamed to work for RAPHA- sadly no contact was ever made back upon my resume. Not Veteran friendly Rapha?,0
Numix81,2017-03-10T18:56:26Z,RAPHA = AWESOME,0
Rave757,2017-03-10T18:43:49Z,Great description of the thoughts that run through your head.,0
Chris H,2017-03-10T15:51:26Z,Phenomenal film,0
jose antonio,2017-03-10T15:19:39Z,"creo que el dato de desnivel acumulado es erróneo, o se presta a una mala interpretación.Dudo mucho que cada día se metieran entre pecho y espalda más de 7.500 metros desnivel acumulado positivo. Que es como suele medirse. Habrán sumado el desnivel subido y el bajado.",1
Tommi Kivimäki,2017-03-10T12:42:52Z,Beautiful story about the thoughts and challenge.,3
Charles Man,2017-03-10T12:31:10Z,Edit out the night time footage. You cant see anything so those parts aren't worth watching.,4
Kwon,2017-03-10T12:10:16Z,Beautiful!  Wanna be there in the future.,1
