Blog Pedalare verso il cielo,2021-12-07T05:51:08Z,"Quanto mi piacciono questi film Rapha pubblicati anni fa ! Era il ""ciclismo vero di una volta""; sembra così lontano, ma in fondo era ""ieri"" !",0
david Gilfillan,2021-11-21T08:59:03Z,"Don't worry everyone, they just got in the production vans.",0
Alex K,2021-10-10T07:49:50Z,Yaaas. This is why we ride,0
Pete the Pirate,2021-07-04T10:22:21Z,Shot that looked cold. I could feel it.,0
Mr.marcos torres,2021-06-12T17:04:20Z,Hermoso video.......Rapha Alfredo..... Colombia..... saludos...,0
Duh Brain-Box,2021-03-18T05:52:41Z,Awesome,0
stephen dailey,2021-02-28T00:38:55Z,Totally ill equipped,0
Helmi Wijaya,2021-02-17T17:01:25Z,"still wondering what wheelset is that, those with the red hubs, they appear a lot in Continental videos",0
Joanne leyva,2020-06-01T00:46:12Z,"Dude, where's your brain bucket?",2
Melih Gebler,2020-05-29T20:46:56Z,"Nice film, thumbs up! But better ride with a proper helmet on an icy downhill during a snow storm, if you don't want to test how hard your skull is...",1
zak,2019-06-17T11:20:55Z,Rapha films are always great. But does rapha ever ride in good weather??,0
Peter McGreevy,2019-04-01T05:21:46Z,"I liked the Blonde Orse.............great ride,you would want to have good gear on riding down that ill...........",0
Ian Hennessey,2018-10-13T21:05:19Z,"""Uniquely British""!  As in: validated by a French club and invented by the Italians.  But never mind, it's a nice film.",1
Janner582,2018-09-23T14:52:21Z,"Clearly not actually riding 600km, in that weather, with just a tiny saddle bag 🤔🤣",0
Mani Matter,2018-09-16T20:05:12Z,Gut. Richtig gut,1
Ed Oliver,2018-09-12T02:14:01Z,Beautiful film! Great! Awesome!Congratulations!,1
The American Standard,2018-08-31T21:22:48Z,"That right there reminded me of riding in Canada in the winter months when I was a boy. Lordy, I couldn't be off the bike for anything but absolute blizzards.",3
Rico Uk,2018-08-24T22:09:51Z,The music is amazing!,1
Jay Toledo,2018-08-15T04:05:35Z,wish those Rapha gears make you faster on the climbs,0
Silent Cyclist,2018-06-02T05:00:28Z,"wow guys you are amazing. i am cyclist myself and i live in area where people hate cyclists, thank you for nice and insperational videos, you are the best",4
Peter O Leary,2018-02-22T17:57:11Z,Lads ye r off yer game,0
Pete the Pirate,2017-11-15T09:43:43Z,Mad springs to mind but great scenery.,0
단풍,2016-12-19T14:30:06Z,Impressive !!! i like this film,2
Greg Harvey,2016-10-23T02:45:59Z,That was fantastic.,0
Ben Wilson,2016-07-04T21:22:26Z,This is what I like about Winter and one day I'm going to do it.,0
Charles Man,2016-03-28T04:15:14Z,When the weather gets like this I just turn to the turbo trainer. It's not safe to be out on a bicycle in these conditions also cars aren't expecting to see a bike rider on the road. I don't care how cool this looks but it's not what it seems to be. Cold can hurt and it's not good for the lungs.,5
Segreteria Valcismon,2015-11-08T09:26:19Z,Super Fantastic...Rapha the best...,4
Ricardo Quintero,2015-10-02T12:06:15Z,Fantastic film and inspiration.,7
Bumble Bee,2015-07-29T20:46:22Z,That there was something pretty special indeed ... inspiring and very beautiful.,5
George Gilles,2015-06-27T09:36:43Z,Such a serene instrumental piece. ,1
George Gilles,2015-06-27T09:34:17Z,R.I.P. old chap.,4
Ask Studio,2014-11-16T19:47:24Z,Inspiration for biking,25
Lachlan Ulyett,2014-11-10T07:22:27Z,Awesome,0
Pedallin raw,2014-10-11T20:10:30Z,Good film!,0
takeshitamar,2014-09-29T15:41:51Z,Awesome vídeo!,0
Mani Matter,2014-05-14T19:56:07Z,They are too tougt to wear a helmet,3
murphy snodgrass,2014-03-27T19:40:50Z,Oh my God! Two of these guys were wearing ski hats/buffs just like me! Please quickly somebody tell them they're wrong!!! : - ),0
Lee Hargreaves,2014-02-27T14:54:14Z,"Beautiful film of a beautiful bicycle ride.  I've done this 600km, 2-day, ride a few times, although never in snow.  Strong winds, horizontal sleet, biblical downpours and even warm sunshine (all in the space of a couple of hours and in sight of Snowdon) but never snow like that.  The Rapha boys back up their products by riding with us ""normals"" on some epic rides.  Yes their clothes are expensive but I've never yet sent any back and I'm willing to save up until I can afford more.  The only people I know who criticise their gear are people who never owned any.",15
André Bartholomeu Fernandes,2014-02-14T15:51:38Z,so beautiful.,0
Toni-Michelle Dent,2014-01-08T18:28:55Z,Does anyone know how I can find out what this song is called and where to buy it from? Thanks ,0
Carlossinparar,2013-11-16T22:38:17Z,I really wish those Rapha dudes wore helmets.,17
youhey tanida,2013-11-03T08:09:24Z,ultan coyle best!!!サイコー！！最高！！saiko!!,0
SuperJohnnyO,2013-10-26T12:27:08Z,"Agreed. Nothing better than waking up early on Saturday, drinking coffee, and watching Continental films before rolling out at first light. Very motivating and romantic. I can't afford any Rapha gear, but I think these free vignettes are the better deal anyway.",8
coiley parjley,2013-07-11T04:44:48Z,I would love to do the Bryan Chapman Memorial again. I'm glad that those Rapha boys know the meaning of tea and cake.,4
Paul Murphy,2013-06-22T21:44:26Z,Beatiful film!!,0
Taweechai Maklay,2013-05-26T12:53:42Z,Awesome video!,0
Regent Street London W1,2013-05-23T20:42:28Z,Amazing video - worth the watch.,0
Benno Schmidt,2013-05-17T09:12:20Z,"Epic, moving and inspering. Wonderful filmed adooore it",2
Gianni Ottone,2013-05-17T02:10:12Z,Unbelievable***,0
Gianni Ottone,2013-05-17T02:09:49Z,"@olibaker This is exactly the comment I have been trying to put together for months. These videos are the best cycling documentary 'short films' out there, and it's unreliable to sit back and not only watch the magic, but be inspired to go out and ride",1
