brianmcg321,2022-07-06T22:29:42Z,I’ve been watching this every year for nine years.,0
Shannon Menkveld,2021-08-01T07:07:40Z,One does not simply attack Andy Hampsten...,0
ashwatthama,2020-12-15T18:54:22Z,cycling makes me forget all my worries in life...,1
Daniel Pan,2020-09-26T00:31:46Z,Fun fact...Andy Hampsten is one of my favorite cyclists of all time!  ;-),1
True Erbeck,2020-05-12T00:57:22Z,My dad is the one wearing a pink jersey,4
alexander cruz,2019-08-02T00:54:42Z,Bello. Gracias,0
Joseph Heaven,2019-03-16T09:51:55Z,"Wow this is COOL. It's my 47th Birthday and I bought myself a Trek Checkpoint to explore on, to cover the gaps in the bike collection. I sat down with my morning tea only to see this great video. I have been into bikes since being about 5 years old, and when I was around 14-15 my late father surprised me and gave me the best present ever, he took me to Paris from London City Airport to watch the end of the tour, this was an incredible experience and one of my fondest memories, and to top it off, we met Andy after the finish! He was sat on a car bonnet surrounded by people and he smiled through the sweat and exhaustion and signed an autograph for me! Somewhere I have a photograph.So this video today, on my birthday, felt like another present from Dad, to encourage me to keep riding. Thanks Rapha, and thanks Andy!",9
Randi Behrends,2019-01-21T07:29:54Z,Excellent. ❤️,2
Michael Clark,2018-09-27T01:09:00Z,“There’s a lot of riding to be done.” Indeed,2
jaasun71,2018-09-18T17:24:59Z,So inspiring...makes me want to buy a $300 jersey 😂,3
Lorenz Siggel,2018-06-11T18:26:00Z,"Andy Hampsten has aged so well. One of two truly great American riders, the other being Greg Lemond. Great video!",10
,2017-05-22T21:02:55Z,love riding in CA. That whole area north of San Francisco is just amazing!,3
maultx,2017-02-07T17:07:30Z,if you rode with Andy in his primeit  you all would be so off is back it would of been measured in years,0
howdyitsdavid,2014-02-12T15:53:36Z,"Does anyone know what some of these roads are, specifically? Strava segments perhaps? Really want to ride here next time I'm in NorCal....",1
Justin Lew,2013-02-12T22:34:19Z,Looks like they rode Levi's Gran Fondo.,1
Sebastian B,2012-09-12T13:28:33Z,Rapha makes great videos. Fact.,3
livibam,2012-09-06T07:02:30Z,Awesome... Well told!! Bravo,1
cruto034,2012-09-06T04:29:07Z,"When you watch those videos of Rapha, you realise the beauty of the sport....I love bike riding, i love Rapha.Very curious what the new Sky Outfit will look like",1
BigBlackPug,2012-09-05T16:46:57Z,Another beautiful wee film.,1
