Lucas Azambuja,2021-07-19T20:14:01Z,music around 5:53 is sick.,0
Thomas Matta,2020-01-03T12:38:18Z,outstanding  video rapha like always 😉😉😉😉😉😉,0
Rudi H,2019-09-10T06:13:12Z,Music at the intro anyone?,0
Johann Kraft,2019-09-06T22:11:00Z,"When that girl at 4:57 is yelling at you, better go fast",8
Jayson Mitchell,2019-08-21T23:05:38Z,"I love Rigo, cannondale, and Rapha. I started watching cycling when Rigo came 2nd in the Tour de France in 2017.  I want him to win a grand tour. Also Woods stopping to hug his dad, after he was riding with a broken bone mind you, was pretty awesome too.",3
Daniel Sparkes,2019-08-06T21:08:28Z,2:29 alright moody?,0
parth mache,2019-08-06T04:18:21Z,very good video. it is the first video of cycling that i have seen that truly captures emotions,0
Brenda Vane,2019-08-04T04:09:23Z,Great short and meaningful interviews and great images.,0
Elisabeth Anderson,2019-08-02T12:17:33Z,"Great that you're camping out, Harry, but riding up with your tent is the true experience. 😉",1
Julian Allen,2019-08-02T01:12:29Z,Two Stage 20s? Pease correct.,0
D. Sebastián Núñez,2019-08-01T19:14:39Z,GO RIGO GO!!!,0
Joe Ward,2019-08-01T15:26:56Z,"Great little film Hoping there's something extended coming up, something like your Kanza film. EF looks like a tight team.",1
Max Michelson,2019-08-01T03:12:12Z,Thank you congratulations to all riders that made it through to Paris very exciting tour,1
camilom3,2019-08-01T02:27:20Z,I love this team.,2
Humberto Maffezzolli,2019-08-01T01:25:53Z,More of the Paris party content PLEASE,1
JonnyInToronto,2019-08-01T01:16:04Z,🇨🇦 Michael Woods!!! 🇨🇦,6
Adam,2019-07-31T22:00:21Z,"Dear Rapha, please make available for sale the pink casual team t-shirts that Harry & team wear.....a glaring omission from your shop range! Much obliged!!",15
Nick Short,2019-07-31T20:51:52Z,"We did the full tour as our honeymoon and you've captured the magic, atmosphere and madness of the tour perfectly. Chapeau 👏🏼",18
Thomas Schönberger,2019-07-31T20:37:12Z,Do you have a high-res photo of the 'cycling love' shot at 6:32 ? I would love to have a poster of this.,1
Nathan Dycus,2019-07-31T20:11:41Z,Great job guys!,2
ydnar,2019-07-31T19:59:31Z,Great dedicated team. Great filmmaking also,1
Chris Shimonkevitz,2019-07-31T19:48:28Z,Great video. FYI. Stage 20 listed twice if you want to fix.,11
