rc g,2019-05-18T00:20:48Z,Lol this race is fixed - won by a jury,0
Jason Gerhart,2019-05-17T02:41:57Z,Saw him today in Ventura Stage 5. Looking strong! Hopefully TJ can hold on 🍻,0
B. Esserwisser,2019-05-16T20:37:15Z,Annyone who knows the intromusic?,0
nayr497,2019-05-16T18:03:13Z,"Not trying to be mean, but Asgreen has the head and face of a baby. Looks strange on a guy that tall.",0
Zadius895,2019-05-16T15:49:24Z,"saw the ef riders the other day when i was out watching stage 3, strong riders for sure!! really wanted one of the pink water bottles but maybe another time.",0
Daniel López,2019-05-16T15:25:03Z,Great to see my countrymen Higuita and Uran in such a cool race and in a wonderful team,0
Garth Garthly,2019-05-16T05:52:54Z,Terrible bad luck for Tejay today...,0
Alex Grytsenko,2019-05-16T01:24:30Z,"Keep this till LA! Ill be there my friend, ill be there)",0
seeza,2019-05-15T23:35:24Z,The timing of my notification of this vid was unfortunate.,3
Tomas Morochovic,2019-05-15T23:31:39Z,Oh TJ.....,2
Simone white,2019-05-15T23:29:56Z,Rock it. Allez Tejay!,0
xgalvan1,2019-05-15T22:33:38Z,Lachy and the boys looking good out there.  I hope TJ wins.,0
Johnny P,2019-05-15T21:14:51Z,"Sooner than not, I'll attend this great bike race and support EVERY SINGLE rider entered.Sacramento, lower Lake Tahoe and everything in between 😍>---❤️. Beautiful.!",1
Daniel Parisi,2019-05-15T21:08:00Z,"Lachy lookin dangerous, love it",3
