Michael Bass,2023-01-25T00:35:29Z,"Lachlan, you’re a real inspiration to us all",0
Crisostomo Rosario,2022-12-31T19:31:47Z,Such a great story.  Thank you for sharing.,0
Savio Carvalho,2022-11-24T15:54:43Z,Really inspire :D,0
KaiMod,2022-05-12T16:17:46Z,Very nice and inspiring video! I want to ride my bike now !,0
Chris,2022-03-28T00:43:01Z,Fastest mtb rider in Africa. After Greg Minaar!,0
Alex G.,2022-03-21T19:07:09Z,"I'm seeing this video a year later... It doesn't matter, this is the way guys",0
Ride Bikes Be Happy,2022-03-16T07:29:52Z,I just decided to ride Epic on day.,0
Malcolm Hales,2022-02-21T10:03:02Z,"Lachlan Morton, a true hero. more people need to listen to what this guys says. Good luck with Kenneth and the project. A great short film.",0
Justin Whittle,2022-02-04T00:15:33Z,What an inspiration! Continue to think big Kenneth! Well done Lachlan!,0
Nils Mack,2022-02-01T02:46:40Z,I came to see mtn bike racing ended up leaving with a heartfelt story… and I’m better for it…,0
Scott Carlson,2022-01-30T19:15:22Z,This is wait cycling is all about!,0
Adrian Wenger,2022-01-14T19:11:24Z,"BEAUTIFUL. Thank you, i loved it.",0
OutcastBiff,2022-01-14T10:29:38Z,"Finally an EPIC from Rapha worthy of the word – you can keep your glorious suffering. This film is the essence of cycling; community, friendship, positive change. And Lachlan is fast becoming someone on my 'special list' (and there aren't many :O) …thank you for this film.",0
broodlecoodle,2022-01-06T05:37:03Z,"So happy I watched this, thank-you. Fantastic outcome which I hope goes a very long way.",0
Dean,2021-12-30T17:36:22Z,"The ""Small MTB Stage Race"" Alex  high-fived a tree at was the Pikes Peak Apex, my hometown race. I heard about your hand and the incident on stage 4. Damn bummer you couldn't race the Cape Epic!",0
Carlo Gottardo,2021-12-29T05:28:44Z,"Wonderful video,",0
Lucas deABREU,2021-12-26T21:02:12Z,I love how Lachlan always sounds like he's high,0
J,2021-12-23T09:32:22Z,Beautiful video. Two beautiful men.,0
José Alejandro Lopez,2021-12-22T14:27:46Z,How I love Lachly ♥,0
"Silver Pants, Blue.",2021-12-21T15:38:32Z,"everytime I think I have seen the best Rapha Films has offer, they out do themselves. More  Kenneth, please and thank you.",0
Stanislao German,2021-12-21T01:38:50Z,Lachlan is the man … Legend,0
Kobe Van Dijck,2021-12-20T23:02:43Z,"Came for Lachy, stayed for Kenneth. Very nicely done EF!",0
tom chad,2021-12-20T12:26:27Z,class video,0
Sandgroper 1970,2021-12-20T12:20:01Z,With a bit of luck this will open some more doors for Kenneth.,0
21cup,2021-12-20T10:46:13Z,Can we get Kenneth to the commonwealth games next time around?,0
Zachary Smiles,2021-12-20T01:48:04Z,Great,0
Katherine Frost,2021-12-20T00:50:57Z,"I thoroughly enjoyed this collaboration… Kenneth is such an inspiration.  Cheers, Lachlan and EF.",0
Ian Hadden,2021-12-19T22:58:46Z,Simply fantastic!,0
Joe T,2021-12-19T12:33:02Z,This is SO AWESOME! 👌🏾👌🏾 When I saw our hometown hero Kenneth I was literally cheering on the couch! Then to see at the end that Lachlan & him are collaborating to start a cycling school here in Kenya was just the icing on the cake 👌🏾👌🏾.,0
TheoreticallyNo,2021-12-19T04:37:51Z,Everything in this is great.,0
Dave TheGayGuy,2021-12-18T22:29:18Z,"Just a beautiful story, and with everything going on this was JUST what I needed, Bravo Lachlan and Kenneth,  seasons greetings to you and your loved ones.",0
Darin Peper,2021-12-18T19:26:23Z,"Lachlan is like a very thin Budah with the wisdom of cycling dispensed in language the average cyclist gets and loves. Kenneth has to be strong to stay on Lachy's wheel.  Great job and I am glad to watch you ride for you, your family and village.  Thanks Rapha and EF for these glimpses into your world.",0
harry henry,2021-12-18T18:04:26Z,2:31 david brent impression,0
Ryan Savin,2021-12-18T16:19:05Z,Mega. Proud Zimbabwean/South African loving this content,0
Martin Thain,2021-12-18T08:31:20Z,Love,0
Arnau Requena Fernández,2021-12-18T08:17:02Z,What a nice story,0
Tanner Hawkins,2021-12-17T21:41:28Z,Another amazing one but this one was special. Thank you guys!,1
nick colburn,2021-12-17T20:02:16Z,Beautiful. Be grateful for what you have.,1
Clifford Lucas,2021-12-17T16:00:02Z,Such an inspiring human in Kenneth.,1
André Filipe,2021-12-17T15:26:20Z,amazing video. This is the spirit of races and mtb. Thank you that I can also be part of it.,1
Stijn W,2021-12-17T13:13:21Z,This is so cool,0
Aidan OC,2021-12-16T23:33:24Z,"I really like Lachlan's sentiment at the end. So much of pro cycling's money over the years has gone on performance, so much to dopers as a result, its good to see even a fraction to developing cycling communities.",1
mike kunnecke,2021-12-16T20:58:50Z,Damn! Best one yet!,1
After_Life,2021-12-16T18:21:21Z,"If the sport didn’t only focused on getting faster, and selling bikes that cost more than the average cost of a car even in Europe, not even talking about a country like Kenya, if the sport knew when to be all about racing and when to help build communities, we would have more pro or retired pro riders like Lachlan, giving opportunities, to me he truly feels like a legend. Because the pro peloton in each discipline cross country, road or cyclocross don’t allow themselves to show their personalities because the sport has always been that way, a rider like Lachlan is way more relatable, he doesn’t feel like a robot who does his 100k daily, race and never tries to do any side project to make the sport more fun. It has already been done with enduro and downhill and some riders like Sagan are fun, it’s all it will take, oh and if riders could start living from their sport without fears of retiring at the first injury that would be great but we can’t have it all can we.",8
FULL GAS JAXON,2021-12-16T17:21:35Z,Absolutely outstanding film well done to all involved & Kenneth you are very welcome to come to Scotland anytime you feel :-)👏🏻👏🏻👏🏻🚴🏻‍♂️🚴🏻‍♂️🚴🏻‍♂️🚴🏻‍♂️🚴🏻‍♂️🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🍺,1
Blake Miller,2021-12-16T12:12:27Z,"Lachlan and EF are making cycling great again, this was one of the best cycling films I've seen in a while! Kenneth is going to do great things as well!",1
Lou Santos,2021-12-16T11:11:49Z,Watched film again loved it even great job all around keep it up👍,2
Gary Banfield,2021-12-16T09:56:49Z,Really inspirational to watch! Well done to Kenneth and Lachlan,1
Cath Schofield,2021-12-16T09:46:05Z,What’s not to love about Lachlan,0
BULIGNIK,2021-12-16T09:33:51Z,"If you pump Kenneth with hormones like a pro, he will ride at podium level no worse than Lachlan",0
Ken Manning,2021-12-16T03:13:33Z,"Excellent video Lachlan, Kenneth and Rapha. Lachlan, I’m so inspired by your thoughtful reflections in all your videos, never more so than in this one. You are a gift to cycling and I applaud your vision for the future of cycling in Kenya. I wish you and Kenneth the very best of luck to going forward.",2
Ryan O'Hara,2021-12-16T01:44:56Z,KEEP THESE ALT VIDEOS COMING LACHLAN!!! You are inspiring the world to ride bikes.,0
Frank Kottwitz,2021-12-16T01:16:13Z,Awesome,0
Danny Liao,2021-12-15T20:56:16Z,Lacey's comments at the end.  Very well said.,1
Paul F.,2021-12-15T20:48:33Z,man the quality of these videos is just improving every time,0
Tristram Wilson,2021-12-15T20:28:20Z,Brilliant!!,0
Haldun SAYI,2021-12-15T18:00:50Z,"Lachan, what a legend... Thanks for share Rapha. It was really good. #dreambig #thinkbig",0
ehyoumon,2021-12-15T17:46:04Z,This one missed the mark I dunno,0
Conrad Greer,2021-12-15T16:02:27Z,"The absolute best video of the Cape Epic and the most meaningful one as well. Greatest measure of success is did one make a positive difference. The alt tour and all the people involved with it make a huge difference in so many peoples lives. Not only every sponsors dream but every cyclists dream to just be able to identify with other humble and respectful cyclists, with no egos or altering agendas. Well done Lachlan, Kenneth and all the alt tour team and sponsors, you guys set the benchmark and just keep raising it.",1
Hayden Morrison,2021-12-15T12:41:55Z,"Kenneth is a hero, really enjoyed it!",0
Deb Lord Outdoors,2021-12-15T09:04:50Z,Lachlan is a proper decent bloke. Properly in it to leave the industry a better place and with greater opportunity than he found it. Best of luck to Kenneth. What an amazing chap!,0
Buffs Vintage Bikes,2021-12-15T08:06:53Z,"It was great having you guys in SA and seeing you tackle the Cape Epic. So chuffed that I finally got to meet Gus as well, even if it we could only chat for a few minutes, out in the bush, while he was setting up for a shot of you guys. Well done on a great documentary, you guys might not have won the race but you won over many hearts to EF Education and to this great sport we love 👊🏼🙌🏼👍🏼 Kenneth, you rode like a champ, don’t give up your dream brother, success is just over the next hill 🙌🏼",1
Justin Burgan,2021-12-15T06:44:59Z,"what a beautiful story, bravo! 🖤",1
Ash Cameron,2021-12-15T05:28:13Z,I was watching this thinking this is underwhelming but by the end I had goosebumps. Nice job whoever put this together. It played out beautifully.,0
Joan Misere,2021-12-15T04:57:34Z,Well done Karaya. We are rooting for you back home. An inspiration to us all. Thank you Lachlan for the role you played as you reignited the fire karaya once had for mountain biking. This was beautiful to watch 💥💥🥰🥰,0
Chris Baum,2021-12-15T04:10:57Z,Great Story!!! Hope Rapha and EF continue to support Kenneth and building a bigger cycling community in Kenya!!,0
Roger Terry,2021-12-15T02:32:56Z,This is the best Rapha Cone Racing to date. Bravo!,0
Gabriel Caridade,2021-12-15T02:00:04Z,"This is absolutely amazing and inspiring. Inclusion matters more than going faster. Thank you, Lachlan and EF for doing your share to make the world a better place!",0
William Baukhages,2021-12-15T01:25:53Z,"By not focusing on results the spirit of cycling and how it can mean so much more than those results. Kudos Lachlan, Kenneth an EF! Best pro cycling team ever as far as I’m concerned 🙌",0
Ian Barr,2021-12-15T01:25:06Z,"Rapha and company...you guys ABSOLUTELY ROCK with these movies. Brilliant! Lachlan is at the top of the elite in mind, body, and spirit. Winning a race is not half as inspiring as winning at life. Both these men are winners. A huge cheers on this one guys.",0
Rafael Matoso,2021-12-14T22:55:22Z,"Inspiring, Lachy is an amazing person with a great heart",0
A Mc,2021-12-14T22:22:54Z,Beautiful as ever. Lachlan is a gift to the cycling industry. He'd be happy and free riding a 40 year old $15 charabanc.,1
fraser stewart,2021-12-14T22:13:01Z,Lachlan is the coolest guy in cycling.,0
C Nay,2021-12-14T21:18:27Z,Hello TR fam!,0
tony lochner,2021-12-14T21:09:29Z,;Lochan you a legend -,0
Illaa Rocc,2021-12-14T21:03:08Z,8:03 is frightening regarding this happens in africa,0
Gravel Pack,2021-12-14T20:43:20Z,"Love your films every time I see you drop a video I am exciting and you guys didn’t disappoint. Inspiring, connecting stories and people and cinematic bravo!",0
