Mark Sevenoff,2019-05-14T11:51:57Z,HA! One of the directors in the chase car seemed more miffed about the stuck leg warmer than getting dropped. ""It's is better to look good than to feel good"" :),0
EckelontheRocks,2019-05-04T08:35:03Z,"I rode the LBL Challenge the day before, can confirm that the weather was shit and miserable. It was hailing on several of the descents.My Rapha rain jacket kept me dry/warm. Unfortunately, I didn’t have neoprene rain gloves, only winter gloves. They soaked through and my hands turned to ice.Great video and thanks to the guys for sticking around after the race to chat and take pictures! Allez Education First!",3
우엉,2019-05-04T03:05:50Z,C'mon rapha! Plz sell that pink and navy t-shirt EF rider and staff wear. instead of white t-shirt in your store.,1
M Zulami Z,2019-05-02T11:58:35Z,I really like the background music.,0
Ghislain Hofman,2019-05-02T07:47:25Z,sudnt bottle be giving out open hand facing forward not to the riders,1
Gilles Cordier,2019-05-02T04:55:28Z,"Good job Woodsy, Bastogne a bit different from Gatineau Park... 🇨🇦😉",0
Matthew Jaeggli,2019-05-02T01:41:30Z,Woods has been listening to some Jocko Willink. GOOD,15
Franco La Salvia,2019-05-01T20:16:59Z,Grazie per ricordare i caduti. Auguri.,0
Peter Cort,2019-05-01T17:08:45Z,woodsies lost leg warmer is the single downvote. it wanted to make it to the finish!,0
Spencer Lueders,2019-05-01T13:05:51Z,"If you want to see the source of the ""good"" mindset, see here: https://youtu.be/IdTMDpizis8 #jocko",0
Spencer Lueders,2019-05-01T12:52:23Z,Damn these videos are so good! Chapeau!,0
xgalvan1,2019-05-01T11:37:45Z,“The coffee machine was broken.  Aww shit!”  Lol. Best part of the film.  Love EF - Rapha!,9
Zor Roxx,2019-05-01T10:34:40Z,i love this team,0
hapuka66 jones,2019-05-01T09:40:29Z,Michael Woods has got a great attitude. Plenty of guts too. I hope he wins a really big race this year.,5
Patrick Roldan,2019-04-30T23:29:28Z,"simon clarke took second in amstel gold, no coverage of that¿",1
BTheo59,2019-04-30T19:44:01Z,Beautiful,1
Ron Harper,2019-04-30T18:53:36Z,Wolf Pack beat ddown. Good job!,1
Jason Riley,2019-04-30T17:47:16Z,Well done to Michael Woods and the team! Amazing stuff. Good!,12
Nicolas Castro,2019-04-30T17:39:15Z,"Buenísimo el vídeo muchachos sigan así, que vendrán más victorias!!! Y tienen la ropa mas linda del pelotón!!! Abrazo desde Bahía Blanca Buenos Aires Argentina!!!",0
Jake Bailey,2019-04-30T17:38:29Z,awesome awesome series,1
James Carey,2019-04-30T17:31:23Z,More disco Jonny!,5
