Wes Cheslak,2022-02-11T06:52:40Z,Great Ad,1
moreseun,2021-10-09T01:46:43Z,"I've got these shorts in 2 colours, awesome piece of kit!",0
Sills71,2021-06-22T10:50:39Z,If only someone had though of way to incorporate pockets into cycling clothing...  PERHAPS THE BACK OF THE JERSEY?,2
Chris H,2020-12-24T01:15:35Z,Puuuulease lol,0
Daniel López,2020-12-07T09:15:31Z,Where was this shot?,0
nabr50,2020-12-03T14:26:32Z,raphaってホントにPVのクオリティが高い…こんなPV見せられたら絶対rapha欲しくなる事必至ですけど、サイト訪れて値段見て、毎回躊躇するわたし…,0
ShyGuy,2020-06-24T08:20:59Z,"It's official, I'm moving to Melbourne for the RCC. Shut up and take my dollars.",0
S. Ivers,2020-03-04T11:20:11Z,What an awesome ad. It sums up exactly what I can’t explain to my kids about why I ride and what they’re missing out on.,13
Patten Cycling,2020-02-09T02:17:14Z,🔥,0
아또밤샜네,2019-05-28T11:35:18Z,0:40 R,0
Target Pace,2019-04-26T13:27:42Z,A store in Dubai please.,0
kernplace37,2019-04-20T19:17:46Z,Using a knife to unpeel a tangerine,17
Rudy Valenta,2019-04-13T02:34:21Z,great video but since when do you peel an orange with a knife?,64
tyler belcher,2019-04-10T21:54:39Z,Great video; has nothing to do with cargo bibs,0
Héctor Coss,2019-04-10T02:24:55Z,"We also need a RCC in Mexico... But I don't buy the idea of the cargo shorts when every jersey and jacket or vest has enough pockets to bring everything, the bulk at the side of the leg?... Not sure.",0
Uigee Yun,2019-04-10T01:26:56Z,Well made Rapha  Core Bib~~!!👍👍,2
Rafal Wróbel,2019-04-09T21:52:24Z,No Gods no master,0
"拳打高华,脚踢神神",2019-04-09T18:26:59Z,上海店什么时候开？！,0
Medium Rick,2019-04-09T16:08:10Z,"Hey Rapha, is this the same cut as a couple of years back?  I have a kit and the jersey is an awkward fit.  Glad to see something in your line with a more reasonable price.  Hopefully the fit has improved.",0
C. Medina,2019-04-09T15:15:07Z,What are the chances if she felt from the bike with that pen in it and accidentally stabbed her self? 😌Just be careful.,7
balz iten,2019-04-09T14:28:43Z,We need a store in ZURICH,7
Yevhen,2019-04-09T13:59:31Z,"Капець, да хто ж мандарин ножем чистить!",2
킴형,2019-04-09T13:23:17Z,"이빠,Nice",3
송인식,2019-04-09T13:21:21Z,일빠. nice!,3
