Manuel Carvajal,2020-04-29T05:26:34Z,EF=TEAM,1
Just the Pip,2019-09-24T02:19:47Z,"Dunno how many times I can say this over how many different races and dramatically different videos, but this is the best one yet.",0
Timothy Topor,2019-09-23T02:35:48Z,Great edit guys,0
WEQN9s,2019-09-22T18:12:05Z,3:18 look at his skin,5
C Nay,2019-09-21T18:16:56Z,"Never watched competitive cycling even though ive been a cyclist for 5 years (relatively newbie). BUT EF has completely changed my attitude, I totally resinate with the ethos of the team and has shaped my view of what it means to be a professional athlete and teamwork.",5
zoheno,2019-09-21T18:13:51Z,I was waiting for this!!,0
Gaulois réfractaire en exil volontaire,2019-09-21T11:41:57Z,"EF1 riders win races on and off the road, and this is pretty awesome. This squad is showing a new way of thinking and doing Pro Cycling. On the top of it, they wear the best kit in the peloton. Looking forward to 2020 with more wins!",6
Fred Davidson,2019-09-21T03:25:46Z,Wonderful.  Just wonderful -- thanks so much.  (and that pink microphone is the awesome touch),0
buddhahat,2019-09-21T02:06:30Z,"You guys just keep making the most beautifully shot, emotionally touching cycling videos, they are a joy to watch. Thank you for the video and congratulations to the EF family on their stage win!",8
Max Michelson,2019-09-20T22:30:04Z,Brilliant.  UNO,1
Jeff Dicken,2019-09-20T19:04:47Z,#Draw4EF,4
drewmartinezart,2019-09-20T17:39:12Z,Gotta love the passionate Colombians,4
Ken Daullary,2019-09-20T13:39:52Z,I hope rapha and EF keep this up. Not just the vlog but all the other great stuff there doing with the alternative calendar etc. when I first got into cycling I really liked the garmin chipotle squad. And low and behold EF is the evolution of that team. EF is everything I love about cycling. Best team hands down; riding the best kit,89
Zray Ray,2019-09-20T13:25:28Z,Love this new series !! Ef is my new favorite team lol:),18
ydnar,2019-09-20T13:10:17Z,The moment of truth is the collective working as one. Great team spirit and determination.  Exactly what I love about cycling. Congratulations on the endurance  you all showed !,3
N1ck0h,2019-09-20T12:36:50Z,10 bucks says Mitch bought the Uno. So Aussie haha. On ya boys!!,15
