schietegal,2023-01-17T11:23:00Z,Absolutely loved this video! The scenery of Seattle while cycling is breathtaking and the passion for cycling in the city is evident. Can't wait to plan a trip and experience it for myself!,0
Pchy kins,2022-09-15T21:04:46Z,"Bicycles are sweet! I'd die without them, I guess....but the screw driver is still the best tool 😂😂😁",0
Luke Holloway,2021-01-08T20:39:06Z,wait so what was he talking about,0
Brian Sullivan,2021-01-07T17:00:38Z,"I just SOOo love these Rapha Films. Transport and inspire me, they do.",0
Highnoonshred,2020-12-13T00:46:28Z,So should do a ride with us Cape Cod!,0
Blog Pedalare verso il cielo,2020-07-23T12:53:10Z,"Preferisco i film meno recenti di Rapha Films, come questo.",0
tyler belcher,2020-06-29T12:26:31Z,I still come back to this series again and again. Serious props for the team who put them all together. So consistent. So good.,5
Sean Rides,2020-05-15T22:29:49Z,"Post living in Seattle for two years, this movie hits the feels.",5
Joey Bikes,2020-05-12T04:16:14Z,These Rapha Films are fantastic...,1
Lazaros Nikolaidis,2020-05-02T11:08:48Z,"Have seen this video a 1000 times.It's the first video to play when panning the first ride after a long pause.... I remember this guy from Rapha Team photos on flickr; I like his/theirs neat/minimal black bikes with simple serviceable  components to run for million miles. Nice photography, scenes and narration from a cyclist to all cyclists. I really envy Seattle bike scenery; I wish we had such places here in Athens, Greece...",2
Hugo Yeh,2018-12-02T07:42:12Z,This is sick!,0
Mel Hamilton,2018-01-23T03:28:38Z,Nope.  They've lost it.  Watching oneself watch oneself.  Sold out.....,0
Chip Martens,2017-12-07T02:37:39Z,"Maybe a silly question, what's the cello song at the end of the clip?",0
Al Brohi,2017-08-02T15:28:31Z,very well done.,0
BIA,2017-07-26T17:02:16Z,Intense. Loved it.,0
Jeremiah Barba,2017-07-25T16:45:23Z,"""You're not gonna find it swaddled in leather & bluetooth connectivity, nursing on the straw of some corporate latte..."" 😂 #shotsfired",23
Ahmed Rezwan,2017-07-09T12:24:25Z,nice vid! :),0
Hello There,2017-06-27T02:17:02Z,Well done!,0
Minevader23,2017-06-24T21:49:05Z,Favorite Rapha Rides video so far!,1
Michael Clark,2017-06-24T21:19:10Z,Beautiful,0
Veronica Micich,2017-06-24T04:12:27Z,Looking forward to my next visit to Seattle and visiting the clubhouse!,1
Existential Cyclist,2017-06-24T03:38:19Z,"""You don't know what you don't know, and it might be better than what you do"" It's incredible how you can be so fearful of the world and it's unpredictability, vastness, and consequence in your day to day, yet the moment you set off on your bike, you yearn for those same things. You take risks, get lost and you strive for the consequence of that experience and all its unknowns.",16
Jeremy Sweeten,2017-06-24T03:22:18Z,Did he drop his keys at 3:19?,19
Maurice,2017-06-24T02:47:57Z,"Beatiful video, very motivating. May I suggest one in Montreal, a cultural city with character.",2
J Dapper,2017-06-24T01:46:01Z,Still would love to be in a video. After 4 years of following them exclusively it's a bucket list for sure.,0
Vinicius Silva,2017-06-24T01:36:24Z,"Love all your videos, you guys are the one! 👏👏👏",0
Alex Jordan,2017-06-20T19:53:57Z,What frame is he riding?,0
