don't see down,2021-11-22T15:01:31Z,"я плачу потомучто нет перевода на русский, очень хочу понять текст",0
Duh Brain-Box,2021-02-28T15:49:56Z,Given your place in the world - one’s life can be a personal journey that is a privilege to experience. Well done Rapha.,4
Simon Greenthumb,2021-01-04T18:06:49Z,""at the end of the film the audience are drowned in a sea of schmaltz"",1
Mick Byrne,2020-11-24T13:40:38Z,This video is so good!!!,0
Peter Smyth,2020-11-11T19:08:10Z,I'm loving these big wide 1:2.40 films.,0
Jeffrey Slavich,2020-09-27T13:17:02Z,you've gotta have shit happen in your life.  how true.  Beautiful production with fantastic stories.  Life is about perspective.,5
Profi Beere,2020-09-26T19:46:03Z,Ich liebe diesen Film,0
Daniel Gom3z_pt,2020-08-15T20:02:43Z,"Life doesn’t end until we sleep forever until then, ride the bike.",1
durianrider,2019-11-17T13:10:43Z,nice edit. Bit concerned though for Drew's uncut cervelo steerer. That would be ready to fail at any time now being ridden uncut with a stock short steerer plug.,5
Luke Allen,2019-09-15T12:09:42Z,inspirational,0
Nuno santos,2019-09-03T19:42:11Z,👏🏻👏🏻👏🏻👏🏻👏🏻,0
Andreas Dahl,2019-09-02T06:51:15Z,so good! the production is amazing! Love it!,8
Hastin Nuraini,2019-03-10T22:05:47Z,wow,0
George J Gilles.:,2018-12-14T04:59:42Z,Nice,0
Iain Rossiter,2017-09-29T03:18:03Z,Superb👍,0
Triple Ace,2017-03-24T02:39:16Z,If these is not inspiring what else can be.,0
hubehaq,2017-03-11T04:22:26Z,Great insight by Drew Ginn at the end.,4
galibier fine bike wear,2017-02-22T16:04:13Z,lovely. top marks,0
George Gilles,2017-02-16T06:30:33Z,Nice,0
Dude Inperfect,2017-02-10T14:08:22Z,makes a man want to drop the kids at the grand parents for the whole weekend...,10
Tommi Kivimäki,2017-02-07T20:41:08Z,Strong message about the strength we have if we want it so.,16
rich,2017-02-07T18:26:27Z,"Jessie, so proud to see on this Rapha Film!",2
kevina6587,2017-02-06T23:10:43Z,i've poor endurance for this tosh,3
addie Baaddiee,2017-02-06T21:43:15Z,absolutely pointless !,0
Jonny Raby,2017-02-05T20:25:17Z,beautiful film.,0
Robert Reeve,2017-02-05T07:34:55Z,Awesome perspective!,2
harmanhead1,2017-02-04T19:54:19Z,Very fortunate people have a small mishap. Boo hoo. Go for your goals cos you don't have to work!,1
Richy Coles,2017-02-04T19:21:15Z,top job guys! kudos!,0
Vincent Ming,2017-02-04T16:36:14Z,very inspiring :),3
Matteo Stainer,2017-02-04T15:16:10Z,What is the name of the song during end credits?,0
Bugs Bunny,2017-02-04T03:32:51Z,Wow!  Just wow!  I'm destined to win. And I'm gonna finish alone really resonate with me.,2
Eric Meier,2017-02-03T23:53:02Z,Good stuff as always. Thank you.,7
Langy,2017-02-03T23:26:25Z,Brilliant video guys. Club ride in the morning!,5
Cycle Inspect,2017-02-03T23:24:55Z,Nice. Similar to Asteron Life's ""PerspectLive"" series.,0
brianmcg321,2017-02-03T23:17:02Z,Bravo!!!,9
