John Peter,2018-10-23T05:05:58Z,what happened with Canyon?,0
weera warakul,2018-10-12T22:18:48Z,Yass,0
백준화,2018-10-10T14:09:07Z,Its coool,0
x x,2018-10-10T00:22:17Z,Look like a 13yr school project presentation,0
plainbagel,2018-10-08T15:47:03Z,Woodsy will get a GT podium now for sure!,0
カサカサ,2018-10-08T15:42:13Z,来年からキャノンデールのスポンサージャージ？,1
Johnny Hanel,2018-10-08T13:46:36Z,"hopefully you taking over as their kit sponsors means their relationship with poc is finally done, and they get rid of those hideous helmets",5
Carlos Almendárez,2018-10-08T12:50:03Z,Yes!,0
Pieter van der Made,2018-10-08T12:34:42Z,This might just be a match made in heaven. Provided I can have #Argyle coffee art atop my coffee that is.,0
Le Président,2018-10-08T12:24:18Z,Historic for me! Thanks Rapha to support a real cycling team :),3
Timothy Topor,2018-10-08T12:22:46Z,Yes,0
