Elliot Flowers,2019-07-17T19:27:21Z,too much time spent worrying about the hairdressers accommodation.,0
Jon Suts,2019-07-15T12:27:12Z,These videos are sick.,0
S Scott,2019-07-13T22:13:04Z,Tejay - Wishing you a very speedy recovery,0
Brett Hasell,2019-07-13T16:26:22Z,"Battler, live to fight another day mate!",0
tubesockets120v,2019-07-13T16:12:25Z,Heal up TJ.  Always enjoy watching you race.,0
Sean Ector,2019-07-13T15:56:40Z,Grit.... recover well and see you soon stronger faster,1
Ruben Pages,2019-07-13T15:13:41Z,"Very sad to see, but we are lucky it does nor happen more often.  It is a dangerous sport.  Take care of yourself and come back soon.",1
nicolas m,2019-07-13T13:15:25Z,"Que caída tan fuerte, así son los ciclistas indomables!, ánimo mucho ánimo Tejay, saludos al equipo desde México",0
ydnar,2019-07-13T13:06:06Z,It is the racing that makes you who you are. Humble and honest.  Recover well !,1
sandrochiavaro,2019-07-13T12:14:33Z,True team player. I feel for you Tejay. I can tell how hard this is for you. Truly a bummer but you are going to be back strong very quickly. Go team EF!,3
pedro andrade,2019-07-13T12:07:51Z,The Tou has been really mean to Tejay. talk about bad luck....get well soon man!,8
Michael M,2019-07-13T11:31:50Z,This dude is a warrior,2
Salinda Kumara,2019-07-13T11:28:55Z,TJV TDF still crying and TBC and still crying and TBC TDF,0
Guilherme,2019-07-13T11:17:47Z,"Wish you well, you're teejay",1
Christian Donaj,2019-07-13T10:40:49Z,Come back stronger 🤘💪,17
