Rudy Elizondo,2021-11-06T06:35:05Z,Cool video bro,0
Badvibesbag !,2020-12-20T01:41:28Z,Rínder colombia 🙏🏽😅,0
Sharath Ramachandran,2020-11-20T16:07:38Z,These videos are painfully short,2
Sills71,2020-06-28T15:06:35Z,What you do have in Chicago is a HUGE amount of crime...,2
Mike Taylor,2020-04-02T12:56:57Z,"I think it is amazing how this video can be viewed nearly 28,000 times with less than 500 likes and dislikes. Amazing!",0
sven jansrud,2017-11-24T19:59:08Z,basically chicago sucks for cycling lol. so glad i live in wisconsin.,2
xgalvan1,2017-08-01T02:00:46Z,The best cycling in Chicago starts in Wheaton and out to the farm lands. Incredible.  Cycling on the lake front is awful during the day with all the walkers.,2
UweGranzow.films,2017-07-21T18:52:56Z,Great vid!,0
Cobleydoeskili,2017-07-15T13:28:20Z,"Love this video, nicely shot.  Great city and great brand.",0
C345 OFR,2017-07-14T22:01:35Z,Nice vid but it cut off a bit prematurely IMHO. Would've liked to've heard more about the bike store owner and the shop (if only for a bit of bike pr0n).,13
Robert Greenberg,2017-07-14T21:46:46Z,"tony, fantastic movie. inspires  me  to want to get out to challenge myself and ride some more.",0
Hasan Syed,2017-07-14T21:13:09Z,Awesome,0
Jan Albert Van Mieghem,2017-07-14T18:53:09Z,"Great movie, Tony!  Exactly right: we have a surprising cycling community here with perhaps the best group rides I know [comparing to several other cities and my native Flanders].",1
howdyitsdavid,2017-07-14T11:28:43Z,My friends and family who live there always talk about Chicago being a place with a ""were all in this together"" attitude. I cant think of a better way to describe it. I love that damn city. Cant wait to ride with the Chicago RCC in September. Chicago forever.,3
Lau Hea,2017-07-14T07:23:32Z,rapha FTW,1
