Michael Bass,2023-01-25T07:03:58Z,Great film but background noise and sound is 2x too loud!,0
Damien Marti,2022-12-30T14:13:30Z,Great adventure movie. Too bad that the voice record and the image quality are sometimes not good.,0
Tiago Goncalves,2022-11-04T17:47:48Z,This movie reminds me of that Key and Peele golden comedy scatch in an Albanian and macedonian restaurant.,0
Chris Lothes,2022-10-18T22:23:02Z,Juan shattered pelotons!,0
Sebastian Dietrich,2022-10-09T18:18:39Z,"Dear OutskirtsTeam! Your movies are so inspiring, motivating and filled up with the real essences of cycling. Landscapes, people, different cultures, Sports and passion! Thanx for your work!",0
Jojo Anggono,2022-09-19T09:21:13Z,"I feel sorry for Juan, only 1 day in and he was already ill.",0
Eric Madden,2022-07-15T18:44:52Z,I totally didn't realize after watching the first two films that Gus and Lachlan Morton are brothers. These films are super well done.,1
Matthias Miesl,2022-04-09T12:13:52Z,"I love it!! I wonder why the title is written in german, does anybody know why?",0
Illumanited1,2022-02-02T11:21:36Z,What Cannondales are these? Synapse?,0
Dro,2021-12-28T05:34:40Z,Fantastic editing,0
framesbyseb,2021-12-16T16:05:34Z,So fucking hungry for adventure. That was uber inspiring.,0
Julio Flames,2021-11-27T17:58:33Z,So sick … really love this too!❤️🙌,0
str8shogun 8600,2021-11-04T16:45:47Z,Epic epic epic Morton brothers never disappoint,0
MKoatmeal,2021-10-04T02:16:48Z,Really cool to see Lachlan talk about his dream to do more with cycling than just World Tour competitions! Looks like he succeeded in combining his passions and introducing cycling to many new people through his Alt Tour de France!!,0
AlbaOriental Music,2021-06-14T12:04:53Z,"Minute 32 is my friend from the city of my Country Tetovo (North Macedonia).You guys are great,lovely video,I enjoy it watching it.Really worth it to watch....❤❤❤❤❤ thank you",0
Nigel Coelho,2021-06-03T15:50:18Z,"Great film - new to the Thereabouts film and loving them all so far! I might even by a Rapha jersey! Keep up the good work boys and girls. 'Nothing Ventured, Nothing Gained'",3
George Yap,2021-04-22T19:53:52Z,Never knew that two of my fave cyclist are siblings LOL,0
fherr,2021-02-21T12:12:33Z,"How can you show a movie like this with a guy throwing a banana peel on the side of the road as if it was nothing? Very disappointing. Yes, I know ""it is biodegradable"" but now imagine 100.000 people throwing those peels what it would look like. Sad",1
Brand Hark,2021-02-20T17:08:08Z,The music is amazing in this.,1
Tony Boughman,2021-01-25T04:30:18Z,"Loved this film!  I will go to this region someday, no excuses.  Wonderful soundtrack.",1
Peace Beats,2021-01-17T03:28:08Z,"I'm out in Arizona, anyone want to plan a trip or bikepack azt?",0
Yeyo,2021-01-12T23:27:56Z,"flecha is a very nice guy and his youtube channel its in spanish but is worth to check, down to earth proper cyclist",0
M Hilde,2020-12-28T22:18:55Z,""... to benefit the sport"" Awesome!,0
Siya Khuzwayo,2020-12-01T18:51:02Z,what bikes are these gents using ? Road or gravel bikes?,0
Siya Khuzwayo,2020-12-01T18:24:01Z,"enjoyed the monologue on cycling, life and choices. felt real and honest.",0
Daniel Martin,2020-11-16T18:33:50Z,"What a dark and gloomy region, bet it’s so much nicer in summer though.",0
Colin Henning,2020-09-01T09:15:51Z,"Amazing movie - but did anyone listen to it before releasing it? The audio is awful. The music is so loud that you can't hear what people are saying half the time. On headphones and on the tv, it's horrific.",0
oosung,2020-08-02T04:00:38Z,great cinematography... very eastern european feel... bravo,1
Lucas Wiese,2020-07-30T21:35:43Z,That race up the mountain was the coolest montage I've seen,0
Tom Sibma,2020-07-16T19:33:27Z,"I can't believe how good the music is in these films. Yo Gus, will there be a thereabouts music compilation somewhere?",0
jarrett finney,2020-07-13T04:32:09Z,Dude in my whole life ive met maybe 2 other people named Finney. In my first month of cycling ive come across at least 3 or 4 finneys or ""phinneys"" highly involved in cycling.,0
Tim Doran,2020-06-23T11:36:04Z,"Awesome movie thanks!Definitely check over the sound levels next time before it’s launched, easy fix to balance the vocals with soundtrack throughout would make it even better 👍",1
Travy Gumbo,2020-05-29T14:27:10Z,Best cycling films out there bar non...When's the next?,1
GRUSZKA,2020-05-27T11:08:53Z,The most hardcore thing in this movie was by far the idea of making instant coffee with warm tap water. :),10
Mike Dean,2020-05-17T17:36:45Z,I absolutely love these films - so inspiring! I'm currently recovering from an MTB crash that resulted in a broken back (4 vertebrae) and I've discovered these films and all the Rapha/EF stuff while I've been recovering - thanks for all the help to keep motivated!!,16
philandmik heard,2020-05-17T12:32:01Z,"I love that Lachlan is wearing an Oakley aero 5 throughout this film... dodgy cover up paint job obviously, don’t wanna make POC unhappy",2
Matias Menga,2020-05-10T17:21:59Z,Big thumbs up for the mighty J.A. Flecha. Junin debe extrañarlo!,0
yung meise,2020-04-24T19:40:19Z,Awesome!,0
chrsitiethebarber,2020-04-22T16:24:56Z,Would love to see their Strava files. Any links?,0
Juan Carlos Canosa NANOMAN,2020-04-22T06:24:27Z,"Nice documentary, but I don’t understand why they are riding without helmet? That’s not a good example for the kids...not necessary...",0
Jim E,2020-04-21T19:57:45Z,Can we now assume that map making in Albania is not an advanced science?,0
ignacioinder,2020-04-21T17:53:36Z,Try and check leave no trace......we are such ""ahead"" of times that throwing that banane peel to the ground its just littering.  white people and their conqueror attitude.,0
Jesse Compton,2020-04-17T21:36:29Z,ohhhhhhh THAT'S WHY YOU GUYS LOOK ALIKE,0
Å,2020-04-16T01:47:49Z,Sweet-berry wine!!!,0
mads lind,2020-04-15T18:02:34Z,"Compared to the first night ride to Theth (was that the name?), I find it pretty funny that the last 90 km on flat road was just too much of a ""shit show""!",2
Christian Calitz,2020-04-12T16:06:35Z,"This was fantastic! Loved the ProTour riders, who raced their bikes for a living, just telling us that cycling is not all about that, but rather just appreciating the experience of the ride. Loved this series and can't wait to see what is next!",0
