Shahab Rahnavard,2022-03-10T22:59:23Z,They gotta bring these back,0
Wellsy,2018-04-10T11:43:42Z,Short sighted call on the start of the season.,0
C. Medina,2018-04-07T18:38:47Z,The picture of Julio Iglesias out of the sudden thru me off.  Lol 😂,0
MegaBoyd,2018-04-07T03:42:45Z,Tour down Under?,0
Nick Mieth,2018-04-06T20:20:02Z,"Had way more fun watching Behind The Barriers. Rapha was way too professional in trying to be unprofessional, saw no authenticity at all.",3
Canadian Guy,2018-04-06T19:11:54Z,This video was so out of character for Rapha.  Just terrible.  Makes me not want to buy their kit.,2
Ryan Kephart,2018-04-06T13:23:39Z,The irony of ‘radio’ with garbage audio wasn’t lost on me. Chapeau...,1
Mkeee,2018-04-05T08:12:16Z,"Nice work, looking forward to Paris Roubaix",0
Mflies23,2018-04-05T04:27:59Z,What was with the Oreos? Served with ice cream?,0
Ruari Dowdney,2018-04-05T01:16:33Z,"Brilliant bit of broadcasting, well researched and shot, keep it up team, looking forward to the next one.",0
jonowee,2018-04-04T18:07:42Z,"Why the photo of Roxanne Fournier and Chloe Hosking in the sick bay, when talking about Annemiek van Vleuten in The Wrap?",0
Steven Hoste,2018-04-04T12:51:16Z,Anyone else thinking of ""Blair Witch Project"" at the women's race part?,0
Baden Campbell,2018-04-04T07:31:05Z,Me gusta,0
Xander,2018-04-04T04:44:08Z,"This really has the feel of the Nike “Joga Bonito” campaign for the 2006 World Cup.  I loved those videos, so I look forward to seeing more of these in the future!",0
Maxum Tomaszewski,2018-04-04T01:38:45Z,Perfect.  Don't change a thing.,0
Michael Jaworski,2018-04-03T22:00:59Z,Love it - you guys are awesome.,0
Dean Jarvis,2018-04-03T21:54:06Z,prefer the traditional rapha vídeos much more,3
Jarod Bell,2018-04-03T20:52:26Z,This is my new favorite race news show!,1
RC,2018-04-03T19:06:50Z,Hahahaha you’re drinking Dutch beer dude!! Hertog Jan 💪🏻,1
Laura Dlnv,2018-04-03T18:58:11Z,LOL 3:25,0
Andrew Gustyn,2018-04-03T18:52:32Z,Nice seeing you guys on the Paterberg two days ago. Keep it up.,0
Peter G,2018-04-03T18:43:20Z,Sick editing !,0
Jr Ae,2018-04-03T17:42:05Z,Total waste of time.,12
Matt Kemp,2018-04-03T15:13:08Z,"Nice idea, needs work. Stop shouting at the camera, sort the pronunciation of Belgian/Flemish names and polish it a bit and there's something in it.",5
Timothy Topor,2018-04-03T15:04:14Z,love it,1
Ivan C A,2018-04-03T14:54:33Z,"😂😂😂😂😂👏👏👏👏👏👏, me ha encantado. Como me gustaba J.A. Flecha cuando corría, enhorabuena por comentar desde respirar.",0
Inigo,2018-04-03T13:30:20Z,Perfect. Said everything that needed saying and left nothing out. 👌🏻,0
Graham Barker-King,2018-04-03T12:14:56Z,No. You guys missed on this one. Looks like you are trying to hard to do something to go viral. Trying to hard to vomit out garbage content with no substance. Spend a month on it and make a good 15-20 min.,10
Vincent Manuel,2018-04-03T10:17:36Z,Sheik money money Sheik Money Moneeeyyyyy,0
Paul Moran,2018-04-03T10:16:09Z,Solid ... top shelf 👊🏼👍🏼,1
juan lujan,2018-04-03T08:51:14Z,is nice to see something diferent and funny,2
