R Kop,2021-08-17T14:20:17Z,This probably my favourite video of EF,0
Richard*,2021-01-01T10:31:01Z,make the best FUCKEN VIDS......you've inspired me sooooo much...,0
jackchickenwing,2020-12-22T06:44:33Z,phinney's ""you guys are too serious"" rhetoric is really annoying and condescending. just because youre fed up with cycling doesnt mean you get to tell other people to be as well. its top end pro sport of course its serious.,0
jackchickenwing,2020-12-21T16:04:23Z,ngl phinney is kinda annoying. bring on the h8rs,0
Alden Puno,2020-12-17T18:45:45Z,Nobody’s gonna talk about the thumbnail???,0
Helmi Wijaya,2020-12-08T10:45:25Z,17:41 best speech,1
Asterisk ”films”,2020-12-05T20:57:24Z,COOL,0
Lupin,2020-11-25T02:40:34Z,"Reminds me of that  Anime film about Cycling,  “ Nasu “ there’s two of them! Ones about a team like this that came to Japan to compete.",0
Bobby V,2020-10-06T23:14:50Z,Slick move by Bauke Mollema. Woods got hoodwinked! Why didn't Woods know what lap he was on? Wasn't paying attention? The EF director didn't shout it in his ear? That's uhhh - kinda embarrassing for the rider and team as a whole.,0
Matt,2020-06-17T22:27:49Z,phinney don't half look like prince william every now and then haha,0
Lindsay Lavallee,2020-06-03T00:36:54Z,Amen to that !!! WELL DONE is right .. EF is now my favorite team after getting to know the Riders better .. hands down..Wishing Taylor all the best in his retirement .. Hope to see him perhaps in the alternative races with some of his old friends !!Thanks so much Jonathan for keeping this all together .. Take care & stay safe all of you,0
Tom,2020-01-27T06:01:37Z,"Great strategy seeking new ways to connect to the cycling community. I am keeping up through the videos. I am definitely a fan. Oh, and you guys are the only cycling team I follow on YouTube.",0
MZ,2019-12-09T11:24:44Z,Could you pls send Morton and the others to the Ötztaler Radmarathon?I would appreciate that so much!,0
Guillaume Causse,2019-11-29T14:36:16Z,""best bike rider"" it is Van Der Poel...,4
Yuki Shima,2019-11-22T04:14:43Z,Thank you for amazing video!!!!,1
Elisabeth Anderson,2019-11-20T13:17:23Z,Well done. Totally.,0
govbradford,2019-11-19T02:27:13Z,Awesome year. Really enjoyed watching the adventure.,0
Jan Jansen,2019-11-15T20:37:53Z,"Lol, Mollema = King!",1
Danny Boyd,2019-11-15T19:24:02Z,"hmm lauchie is good, but is he better than say... van der poel - big no",0
Kevin Anderson,2019-11-15T05:12:12Z,Loved this series this year! Much respect to the entire team and thank you for sharing! Love the format and hope to see more next year!,2
Dianalund Vandværk,2019-11-14T21:58:34Z,"I do gravel, Road and mtb. And there hasn’t been a Pro Tour team that did that, until now that is. Love the Rapha series films, and have watched Them all several times. Hoping that you Will keep up the Great Racing, filming and editing, in all catagories. As a side note - I now ride with Poc helmets, and Rapha clothing 🙄🙄",3
thetalkingfly,2019-11-14T07:15:14Z,"Wow! kicking around some cool ideas in a bike race video - dig it. love it!- Cheers, The Talking Fly",2
timtimzi,2019-11-14T02:31:56Z,i love japan. i would love to know more about their bike culture if possible so i can go over there and ride during my winter break.,1
FULL GAS JAXON,2019-11-13T21:43:42Z,Absolute class 👏🏻phenomenal insight into my love for cycling love from Scotland 👏🏻🏴󠁧󠁢󠁳󠁣󠁴󠁿🚴🏻‍♂️🚴🏻‍♂️🚴🏻‍♂️🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,0
