Lewis Baker,2022-02-01T08:21:47Z,Rapha's done more to turn cycling into a sport for moneyed knobs than anything else in the last 50 years.,0
radzi omar,2021-11-13T14:46:20Z,"Ive seen many rapha ads, tis one is not up to d standard",0
Blog Pedalare verso il cielo,2020-12-24T10:23:28Z,Top video. I nuovi video Rapha non sono all'altezza di questo.,0
Blog Pedalare verso il cielo,2020-11-24T17:35:14Z,Altri tempi altri ciclisti,0
Blog Pedalare verso il cielo,2020-10-11T05:20:55Z,Video bello. I video Rapha di qualche anno fa sono migliori.,0
Richard Chin,2019-05-08T14:56:34Z,"Finally did this loop, in September of 2018. It was epic and hard!!",0
Chi Zhang,2018-10-30T01:03:35Z,what is up with the crying,0
kil,2017-09-20T12:32:07Z,nice trip,0
Danial S,2016-10-20T08:09:19Z,4:19 Cycling Maven?,1
George Gilles,2016-02-25T13:51:37Z,Nice race,0
Honorably discharged vet,2015-09-20T00:17:40Z,I can only assume the emotions displayed by the guy at the end of the video came as a result of his full realization that he had spent more on his new Rapha kit than he had for his college education.,17
Chris,2015-01-31T12:06:57Z,Absolute beautiful video. ,0
Mike Parsons,2014-12-10T08:17:15Z,How do we get involved in these? We see a load of these guys on our rides on a regular basis. ,0
Ming Jie Tan,2014-12-05T08:52:06Z,when is the next Rapha Gentlemen's Race Malaysia?,1
Nicholas Wood,2014-12-05T02:26:12Z,love. ,1
