Lm Ao,2020-06-24T15:58:56Z,SIKE! Ain't happening,1
PACEUK22,2020-05-05T12:56:47Z,Hope we still get to see some of these events once the pandemic has settled down. These are the best cycling vids out there,1
ydnar,2020-04-28T19:48:40Z,What a season that never was. Here is hoping in 2021 The team will Ride  these races.,0
Lee Hanyo,2020-04-01T02:25:06Z,Lachlan should do the Tour Divide,0
Chris Blanchard,2020-03-29T13:36:35Z,No racing now. It’s going to be awhile before we see any racing in 2020 unfortunately. Covid-19,0
Tomasz Morawski,2020-03-21T11:05:44Z,Alternative version of alternative calendar: Coronavirus </3,1
Lars Strong,2020-03-09T20:59:13Z,"Hello!, Do you know about the Rio Grand Gravel Grinder, 116 mile race May 30th. https://www.riograndegrinder.com/ So much love for what you are doing as a team and the intention behind the Gone Racing series.",0
Matthew Williams,2020-03-02T15:31:53Z,Tulsa Tough!!,0
Frits dK,2020-03-02T01:42:06Z,"You guys are sooooo inspiring, WOW!!!",0
Joshua Jubb,2020-01-27T17:46:47Z,This is the most important cycling content on Youtube. So glad it's back for 2020. Such good vibes.,0
WrightRSE,2020-01-25T19:15:22Z,"Yes!!! Keep it coming guys, this is what riding bikes is supposed to be about!",0
bMMflash,2020-01-24T02:40:42Z,"Unfortunately Strickland is not racing for EF in 2020. He's sponsored by Rapha though, so they will be featuring him in some Gone Racing content.Strickland did get an offer from EF, but he would have to forgo his current personal sponsorships in favor of a one year entry-level World Tour salary. He said it's not worth the risk considering it's taken him years to curate the sponsors he has at the moment.",0
Michiel Nooren,2020-01-23T17:28:57Z,So looking forward to these videos!,0
Wes Craiglow,2020-01-23T04:52:42Z,NWA. The dark horse. Can't wait for millions to see it. #BigSugar,0
Conor Dancy,2020-01-23T02:15:10Z,Wait hol' up. Colin Strickland???,0
LUIS FERNANDO GARRIDO,2020-01-22T17:39:47Z,ALTERNATIVE. SÍ  POR FAVOR,0
BroBro Zoeller,2020-01-22T14:03:47Z,I’m super psyched to flow with this content bro!,0
Nick Geddes,2020-01-22T10:02:55Z,Some of the best 2019 content. Great that it’s continuing.,0
