brianmcg321,2022-09-12T07:32:14Z,I would want a triple chainring.,0
Jai Geyer,2022-05-20T05:59:34Z,Wow. Just wow.,0
Lewis Baker,2021-12-12T18:43:11Z,"Don't mean to be rude but I honestly feel that this is 6 minutes of pretentious drivel - just get on your bike and get on with it, mate.",0
BC Inc,2021-09-04T09:17:27Z,Amazing...,0
Shing Whye Law,2021-05-30T05:15:24Z,"I wonder how can I ride in such a awesome view of the European scenery. I don't even know, HOW, WHERE AND WHEN to begin with???",0
Dan Chung,2021-05-14T03:53:02Z,Rapha films make me want to ride my bike… and speak with a British accent.,0
Pat Premdas,2021-02-11T19:06:20Z,"Beautiful insight!  I think of this video on my hard climbs at times. Thanks Phil Deeker. By far, one of the best short films by Rapha.",0
Daniel Cabrera,2020-12-22T17:34:16Z,that Café de Colombia hat <3,0
ashwatthama,2020-12-15T19:01:49Z,pure emotion....respect....,0
Pat Premdas,2020-11-26T00:44:43Z,Love this video!  It’s very inspiring,0
guillemot380,2020-07-28T07:55:56Z,""everything that keeps me in the present moment is an asset""  so true,2
on 10-to-the-many,2020-07-24T22:39:32Z,"Right! Beautiful to hear this outside of my own head: You cannot conquer a mountain. No human can. It is a mountain. It is enormous. It exists in a time-scale far beyond our own. Therefore, any claim of conquest a human states is a futile gesture towards a mountain, since we humans are merely witnesses of moments of their great existence.  Fulfilment... I want to add: Experiencing the mountains presence is a majestic experience that fills my heart and touches my soul. That, to me, is fulfilling - I very much agree.B.t.w., where the heck do the first couple of sentences come from? Sounds like something unreal from a distant, old soul.(this is very poetic Mr. Deeker. Not even the product placement was able to take that away ;)",0
Shawn Clark,2020-06-23T16:00:41Z,Love this!,0
diego lopez,2020-06-08T05:38:46Z,Love the cafe de Colombia hat. Great short film,0
Prodipto Kumar Sarkar,2020-05-30T14:26:03Z,Hello I Prodipto (Football Referee From INDIA)I have some question about cycling training? Now During whole world suffering from Corona Virus(COVID19) i ask you How to safely training and Ride a cycle in this (COVID19) condition? I request to you make a video of above condition training?,0
kevin brand,2020-01-30T13:29:31Z,"People ask me why I love cycling, this film communicates it perfectly.  Brilliant!",8
Yerlnys Linarez,2019-12-28T21:13:34Z,Wooowww,0
daniel barinas,2019-07-09T08:40:09Z,"Café de Colombia! such a powerful video, makes me wanna drop everything, leave everything behind and just take my bike, wherever i may roam surely i'll be the perfect place.",0
lewis baker,2019-06-01T21:03:08Z,Such pretentious shit! Just as Rapha gear is. Thank goodness most cyclists don't feel the need to express what they do so publicly.,0
Steve Cochrane,2019-04-11T23:30:44Z,"Magestique !! I love to when  I hear ,"" the mountain is not a trophy"" Chapeau mon brave! Bien fait",2
Jakob Birk Topgaard,2019-01-01T20:35:52Z,Masterpiece - beautiful and inspiring. Thank you!,1
Rahul Ved Prakash,2018-11-02T11:19:17Z,While the cinematography is stunning (as usual) it's the way it's built into the story that truly makes it stand out. I loved the lonely long shots and the scenery that whizzes past. Subtle yet beautiful..I wish you guys would talk on how you think for these films and share some of your processes and ideas.,1
Deepanshu tongare,2018-09-24T19:19:54Z,I want to join your club😣🔥,0
Alex,2018-09-21T21:25:03Z,"Loved the imagery and the narrative. You've captured some really stunning visuals! And an essential part most cyclists would've never imagined to like at the beginning of their passion. That said: What really threw me out of the beautiful story told was a sudden visual transition. Protagonist goes from a realistic, physically non-perfect older cyclist riding with normal guys I can imagine to be his actual cycling companions and peers - to suddenly being surrounded by and riding with a bunch of handsome fitness male models 30 years his junior! That was jarring and seemed disingenuous. And totally unnecessary imo",0
Thomas Matta,2018-08-06T12:48:29Z,"outstanding ,keep it up....",1
mrmarzo,2018-07-25T12:54:02Z,""Rhythm of the road"" -the true enjoyment of riding.,1
TheFujiwuji,2018-06-20T10:08:17Z,What is a col?,0
Giuseppe Crinò,2018-06-03T07:05:57Z,So beautiful way to advise your brand. This really inspire people! Greatly done!,1
ciccioformaccio,2018-05-24T10:42:48Z,a real nonsense,0
Thomas Houthave,2018-04-03T08:17:06Z,Here's a link to the music used in the filmhttps://soundcloud.com/klankwerk-2/sets/rapha-the-ride-of-a-thousand-cols,0
brainnya,2018-03-27T13:02:15Z,"@5:22 - that must be added to the rules, awesome way of wearing it",2
.Renato.,2018-03-23T09:06:08Z,Another MAMIL. But a fit one though.,0
Kev Marshmallow,2018-03-22T14:36:48Z,"Pure inspiration, love the film",2
Denver Llewellyn,2018-03-22T02:29:05Z,Awesome! 👍👍👍,2
Konrad Marais,2018-03-21T18:53:18Z,POES BOOOORING!!!,1
Eric Le Sauvage [LOST FILES],2018-03-21T18:05:34Z,"Congratulations to the filmmakers, majestic work!",18
the_neanderthal_cyclist,2018-03-20T12:07:00Z,Did Phil do them all in Spain?,1
Diogo Fernandes,2018-03-19T20:50:54Z,The feelling when you're at the top of a mountain is unbelievable.Climbing a mountain in your bike while you smile is incredible.Thanks Rapha for sharing your passion.We don't suffer in our bikes.We dream.We just smile.,5
Paul Fabb,2018-03-19T20:19:28Z,"Rapha always deliver on the cinematography front, but this one stood out  for me....I like to climb, the pure rhythm of being out of the saddle and ‘sashaying’ side 2 side gets me into a zone I can never really explain. Top film Rapha!",20
Joe Cursey,2018-03-19T17:58:14Z,motivation unlimited   thanks,1
Timothy Topor,2018-03-19T14:47:03Z,Great video well done,1
Anthony G,2018-03-19T02:22:05Z,Beautifully shot!,5
Étienne Roy-Fiset,2018-03-18T22:15:55Z,Beast 👏💪🚴🏻,1
UweGranzow.films,2018-03-18T18:06:31Z,Excellent vid - emotions pure!,1
LAntony MediaOne,2018-03-18T15:13:52Z,"Phil Deeker, perfect gent and such an inspiration. Chapeau! Luke, Tour de Force 2013",1
livibam,2018-03-18T08:17:51Z,Classic...,1
Rixter,2018-03-18T05:43:30Z,Well done,0
Eric & Claire-Hélène R Fletcher,2018-03-18T02:08:54Z,"everything stated  , no other comment would do , 100 % in agreement",0
Coque Arrizabalaga,2018-03-17T22:50:09Z,Terminando el vídeo con una imagen de Bilbao desde Artxanda! 👏👏,0
mehnert/paris,2018-03-17T19:50:59Z,Silk.,0
Hardaway Ladino,2018-03-17T03:10:42Z,Café de Colombia<3.,0
Mani Matter,2018-03-16T21:55:46Z,Pure Inspiration,1
Ben Johnson,2018-03-16T20:24:55Z,Beautiful short film. No excuses now for me to take train instead of the bicycle this morning because I’m a little tired.....,0
highway to health!,2018-03-16T19:57:01Z,One more time Rapha hit the target!What to say for this beautiful video no commnents just enjoy watching...,21
Paul Lyward,2018-03-16T18:46:39Z,Stunning video. Loved it.,5
Adam Huber,2018-03-16T17:51:38Z,This is beautiful!,13
Ramses Moya,2018-03-16T17:47:51Z,Beautiful short and beautiful story... inspiring.,28
