Byron C,2022-10-17T19:53:19Z,Watched this like 6 times end-to-end.,0
Ari Lehman,2022-09-29T19:17:37Z,The EF team loves to send Lachian on lengthly solo self supported bike races that tests the limits of his mental and physical endurance. I would love to see EF send him to the (RAGBRAI) Register's Annual Great Bicycle Ride Across Iowa just so he can quietly lead by example and hang out with the locals.,0
Gregory Kulinski,2022-08-24T01:55:52Z,Any one noticed at 1:47 mark this ""thing "" flying by? Yes and movie it's fantastic.,0
Martin S,2022-08-23T18:04:02Z,This is so inspirational. I want to be an endurance rider as well.,0
Emilio Jay,2021-12-19T18:56:46Z,UFO @ 1:46,0
ประสงค์ เมืองบน,2021-11-25T02:51:43Z,คุณสุดยอดมากในใจผมครับติดตามตลอดนะครับ,0
William McCarthy,2021-11-08T19:19:26Z,Awesome film! Really made it feel like we were riding with Lachlan the entire way.,0
pedro mg,2021-11-07T04:11:36Z,star ⭐️,0
funiguy,2021-11-03T05:29:28Z,"Great vid. Really great. Just when you think you've seen all the obstacles Lachlan has faced 27:27 comes along, wtf !?😄",0
Cyclingnerd Delux,2021-10-27T17:09:10Z,Classy that you gave all the finishers their moment. Truly a magical video.,0
Corey Golphenee,2021-10-27T05:16:39Z,Rachel is a gem,0
C FLOW,2021-10-07T21:32:40Z,"Wow this is so goooooood, the music is great and the story telling as well. I would have loved to hear some of the other Riders as well. But how on earth was he able to keep his jersey so clean until the end?",0
sukhjot singh,2021-09-30T04:48:49Z,wts that in the sky at 1:47 ?,0
Santiago Illera,2021-09-12T01:58:41Z,Minuto 1.47 OVNI. buen documental. Deberían der subtitulada Español.,0
BEcome BEing,2021-07-27T21:32:43Z,Love you guys so much !,0
TwoWheelWarrior,2021-07-24T02:40:13Z,Way to go buddy!,0
Ashwani Kaul,2021-07-13T22:48:27Z,Biggest thing of his life .. hah .. dude just rode entire TDF by himself,0
Amy Bishop,2021-04-09T07:06:08Z,Mighty C- 130 Hercules makes appearance.,0
Sills71,2021-03-18T11:49:36Z,This is more like the original Tour de France than the TdF is today...   and Lachlan looks like one of dudes in the pictures from 1903...,1
GOmotorsports,2021-02-21T02:37:08Z,Awesome riding...and walking.,0
Cam Brindley,2021-02-19T11:40:09Z,Just awesome! Lacey you’re an absolute legend 👌🏽👊🏽,0
occyman,2021-01-25T10:01:03Z,What a top bloke Lachie is.... I had the pleasure of riding with him several times when he was a young fella back in Australia (and his dad and his brother). So nice to see he has turned out to be such a champion.,0
Arriving Arriving,2021-01-22T21:11:13Z,"Some pro road teams have money and win races. EF might win fewer races, but they have something extra - passion - the rare kind of passion that inspires everyday cyclists across all disciplines and can't be bought. As someone who pledged funding for the EF crowdfunding appeal way back when, I'm overjoyed to see EF trailblazing in every sense. I enjoy my cycling more as a result of watching these films, they're very special.",0
Rory Johnson,2021-01-16T23:14:27Z,Genuinely all you can do is laugh at this ffs incredible,0
Brett Blankner,2021-01-06T10:50:13Z,"I've done an Ultraman, 100 mile trail runs, 12 self-supported Ironmans, and all that crap, and I've watched tons of videos trying to capture the spirit of this stuff... This film is AMAZING.  One of the best ever.  And to see somebody as cool as L.M. (spitting image of Chris Cornell, btw) handling it with grace is the best part.  A must-watch for anybody wanting to do more than the status quo.",0
Sam Phillips,2021-01-01T21:23:02Z,He is punching.,0
Richard*,2020-12-28T10:23:30Z,wowwwwww....!!!!! awesome Lachlan..,0
Sweden unofficial,2020-12-19T10:09:10Z,That dude with the speaker is an absolute boy to show up and show support like that,0
Kelly Mckenzie,2020-12-09T06:24:50Z,When is lachlan doing the divide?,0
Kelly Mckenzie,2020-12-09T05:59:46Z,Everyone forgets how much experience he has with rides like this. Watch all the rapha videos of him and his brother riding reeeeeeaaaaallly fast through the middle of nowhere over sand and rocks and you'll understand why he's the best human on a bike. He doesn't win tours but he rides further and faster than anyone alive. Lachlan is an absolute legend and there is no equal.,0
Brian Martin,2020-11-23T00:33:09Z,I’m the weirdo seeing UFOs in films now. 1:46 over his right shoulder?? What the F,1
Willem Johannes,2020-11-03T19:16:41Z,nothing like a good cry on a bike ride,0
Samsonite Australia,2020-10-28T04:50:13Z,Great dude and great choice of luggage 😉 Forza Morton! 🚵‍♂️,0
Micah Jensen,2020-10-18T03:32:31Z,"Lachlan is breaking the mold. It doesn't matter what type of bike you ride, what gear you wear or where you go. Just go ride and have fun! Love this.",0
Sunbather,2020-10-15T23:27:13Z,this is great stuff. thanks to everbody involved. big kudos!,0
wakweika felix,2020-10-13T06:16:39Z,The production team at Rapha is AMAZING! Thanks for the awesome content!,0
Kelly Mckenzie,2020-08-28T07:49:02Z,"If anyone knows what tires he used, let me know, because that distance and terrain and no flats?!?!?!?! I want them. I understand that his skill on a bike is part of it and is unparalleled but I bet they were the other part.",0
Kelly Mckenzie,2020-08-28T07:37:17Z,Don't think I didn't see the ufo at 1:46. My theory is that it's ef's crew and that's who's in their ear during races.,0
Pär Helgesson,2020-08-25T17:29:08Z,Great movie!What rear and headlights is he using (make and model)?Thanks!,0
Donna Limburg,2020-07-31T14:24:56Z,That was EPIC!  Lachlan is the human form of what cyclists feel at their core.,0
eterlizzi,2020-07-26T04:07:27Z,UFO @ 1:47 what is that thing?,0
Shane Williams,2020-07-25T20:45:58Z,Amazing ride and inspiring video. 👍,0
Jay Kerrin,2020-07-25T19:43:34Z,Hey EF what was the bike set up for the ride. Is there a kit list? What tyres  were used for the mixed terrain?,0
The Bikepacking Adventurer,2020-07-24T22:42:24Z,"What a guy, reminds me so much of Taylor Phinney with his mannerisms. So chill and no f@cks given. Amazing, and would gladly shake his hand if I ever met him",0
Re Scavone,2020-07-24T04:14:06Z,Amazing,0
Danny Zuehlsdorf,2020-07-16T18:16:59Z,This is an amazing young man.  I love the way he chuckles a bit when retelling the darkest hours of the ride.  So cool. Thank you for this!,0
